Other,English
luca,000 pesos
luca,1
mango,1 peso
palo verde,1.000.000 USD
diego,10 pesos
gamba,100 pesos
palo,1000000 pesos
telo,a by-the-hour motel
chamuyar,A conversation where a man
pendejo,a kid human
Fangote,a lot
"a la guarda, a rolete, Montonera",A lot
Ranero,a neighborhood of Buenos Aires
goma,A woman's breast
"AMURADO, en chanceletas",Abandoned
Esquinazo,Abandonment
Payana,Ability game
Carpetero,able
Atrasado,absent-minded
Sartenazo,accidental
Guía,Accommodation cheat
Bate,accuses
Compadrada,action of a godfrathers
Furca,Action of distracting a person
Reviente,Action of exploding
Escrachar,action of putting in evidence
Lance,Action without security
Retambufa,active homosexual
Dante,active pederast
Pego,Adhesive
Changüí,advantage
Yeta,adverse luck
Beguen,affection
Metejón,Affection
Canusa,Affective of gray-headed
"abatatado, ablandado, jabón",afraid
ACHUCHARSE,Afraid
"Achuchado, ARRUGADO, Julepeado",Afraid (1)
ALMANAQUES,Age
Araña,Alarm voice
"ALPISTE, Beberaje, Bebestible, Chupe, chupi",Alcoholic drink
Drogui,Alcoholic drink (1)
"De queruza, Dequera",alerts
Sobre el pucho,all of a sudden
Tras cartón,All of a sudden
Blandengue,allusion to an erection
AZOTEA,altered mental abilities
Garufa,Amusement
Esquiyo,anger
"Chivatazo, Engrane, Esquiyo, Estrilo, Viaraza",Anger
"Mostaza, Roña, se armó la gorda, Tute",Anger (1)
Robreca,angry
"Breca, Cabrero, Chamuscado, Chinchudo, Chivado, Enchinchado, Enchinchado, Enculado, Enjetado, Entrompado, Ladeado",Angry
"Estrilado, Estrilento, Fulo",Angry (1)
"Hinchaguindas, Hinchapelotas, Hinchún, Jeringa, Ladiya, Moscón, Rompebolas",Annoying
ARO,Anus
berreta,Any falsified object
"ASNAF, Belín, minga, Naranja, un corno",Anything
ATORRA,Apocopation of arrogant
Bombero,arbitrate to a team
Grajera,Arrogant distinguished
Ratero,Aspiring bullfighter
"Liendre, Púa",Astute
Isa,Attention
"ARACA, Guarda",Attention!
tener gancho,Attraction
Entrador,audacious
Taura,Audacious
Chefun,Augmentative of funche
Capanga,Authoritarian
Mandamás,Authority
Piola,awake
Sobaquina,Axillary smell
Cola,back
Culata,Back pocket of the pant
AVERÍA,bad boy
Mufa,Bad humor
berreta,bad quality
Bagayito,Baggage
Fuelle,bandoneón
"ARRUGADO, Bandola",Bandoneón
Nacarado,Bandoneón (musical instrument)
"Fueyero, Fueyista",bandoneon player
"Banca, Tayador, Tayador, Tayarín",Banker
Corrido,Baquiano
"ALPISTERÍA, Borrachería, Chupería, Mamadero",Bar
Biorse,bathroom
Viorsi,Bathroom
jabonearse,be afraid
Copo,be taken charge of the risk
ARMADO,be very gifted sexually
"Chivateli, Chivato, Chivo",Bearded
"Biaba, marrusa",beating
"Fajada, Solfa",Beating
Compadre,Beautiful
Budín,Beautiful woman
Máquina,beauty
"Bomba, Bombón, Breva, Breva, Budinazo, Churrasca, Churros, Leona",Beauty
cartera,bed
