English,Other
if,-li
and,a potom
therefore,a proto
namely,a sice
thus,a tak
and so on,a tak dále
et cetera,a tak dále
etc.,a tak dále
neither,a také ne
therefore,a tedy
namely,a to
a.b.c.,abeceda
abc,abeceda
alphabet,abeceda
abecedarian,abecední
alphabetic,abecední
alphabetical,abecední
abnormality,abnormálnost
abnormal,abnormální
unnatural,abnormální
subscriber,abonent
subscribers,abonent
season ticket,abonentní vstupenka
subscription,abonmá
subscriptions,abonmá
abscess,absces
absolute,absolutní
blank,absolutní
clear,absolutní
complete,absolutní
dead,absolutní
flat,absolutní
implicit,absolutní
perfect,absolutní
plenary,absolutní
positive,absolutní
strict,absolutní
uncompromising,absolutní
undiluted,absolutní
undivided,absolutní
unmitigated,absolutní
absolutely,absolutně
dead,absolutně
flat,absolutně
perfectly,absolutně
vital,absolutně nutný
former student,absolvent
graduate,absolvent
graduates,absolvent
old boy,absolvent
alumni,absolvent univerzity
alumnus,absolvent univerzity
complete,absolvovat
completing,absolvovat
finish,absolvovat
graduate,absolvovat
graduates,absolvovat
pass out,absolvovat
go down,absolvovat univerzitu
completion,absolvování
graduation,absolvování
absorb,absorbovat
occlude,absorbovat
soak up,absorbovat
abstention,abstence
abstain,abstinovat
abstraction,abstrakce
abstract,abstraktní
conceptual,abstraktní
absurdity,absurdnost
nonsense,absurdnost
absurd,absurdní
farcical,absurdní
laughable,absurdní
preposterous,absurdní
senseless,absurdní
tomfool,absurdní
absurdly,absurdně
laughingly,absurdně
as,aby
in order,aby
in order that,aby
so as,aby
so that,aby
that,aby
hah!,ach!
achromatic,achromatický
adam's apple,adamovo jablko
adaptability,adaptabilita
adaptable,adaptabilní
adaptation,adaptace
alteration,adaptace
conversion,adaptace
adaptive,adaptivní
adapt,adaptovat
adapted,adaptovat
convert,adaptovat
converted,adaptovat
adequacy,adekvátnost
realistic,adekvátní
suitable,adekvátní
appropriately,adekvátně
adhesive,adhezní
additive,aditiv
alignment,adjustace
administration,administrativa
administrative,administrativní
adopted,adoptovaný
adopt,adoptovat
adoption,adoptování
adoration,adorace
address,adresa
addresses,adresa
direction,adresa
mailing address,adresa
address,adresovat
addressed,adresovat
addresses,adresovat
addressing,adresovat
direct,adresovat
directed,adresovat
urls,adresy url
directories,adresář
directory,adresář
attorney,advokát
attorneys,advokát
barrister,advokát
counsel,advokát
counsellor,advokát
counselor,advokát
lawyer,advokát
lawyers,advokát
solicitor,advokát
airline,aerolinie
airlines,aerolinie
aeroplane,aeroplán
airplane,aeroplán
frills,afektovanost
gentility,afektovanost
mannerism,afektovanost
affected,afektovaný
camp,afektovaný
genteel,afektovaný
mannered,afektovaný
mincing,afektovaný
minikin,afektovaný
stilted,afektovaný
studied,afektovaný
stuffy,afektovaný
theatrical,afektovaný
unnatural,afektovaný
affiliation,afilace
filiation,afilace
affinity,afinita
affix,afix
aphorism,aforismus
saw,aforismus
africa,afrika
dark continent,afrika
affair,aféra
affairs,aféra
scandal,aféra
agencies,agentura
agency,agentura
agility,agilnost
agile,agilní
agitate,agitovat
campaign,agitovat
campaigns,agitovat
canvass,agitovat
agglomeration,aglomerace
aggregate,agregát
assembly,agregát
device,agregát
devices,agregát
unit,agregát
units,agregát
aggression,agrese
aggressiveness,agresivita
truculence,agresivita
aggression,agresivnost
belligerency,agresivnost
belligerent,agresivní
