English,Other
acre,100 τετραγωνικά μέτρα
acres,100 τετραγωνικά μέτρα
halloween,31 οκτώβρη
american football stadium,american γήπεδο ποδοσφαίρου
cakewalk with many shakes,cakewalk με πολλά κουνήματα
cleo debate by voting,cleo συζήτηση με δικαίωμα ψήφου
cleo debate voting,cleo συζήτηση ψήφου
cleo voting debate,cleo συζήτηση ψήφου
diehard fan system,diehard σύστημα ανεμιστήρα
epifylaktikos wagerer,epifylaktikos στοιχηματίζων
wagerer epifylaktikos,epifylaktikos στοιχηματίζων
leachate feed for pigs,feed στραγγισμάτων για χοίρουσ
hart 5 plus years,hart 5 και πλέον χρόνια
hart 5 years and over,hart 5 χρόνια και άνω
i feel pain cold,i αισθάνονται πόνο κρύο
i exempt postage,i απαλλάσσονται γραμματόσημα
i avoid buying goods,i αποφεύγουν να αγοράζουν αγαθά
i fingers,i δάχτυλα
i arrive with the fingers of feet,i φθάνουν με τα δάχτυλα των ποδιών
i arrive with toes,i φτάσετε με τα δάχτυλα των ποδιών
indian eastern india,indian ανατολική ινδία
norman the middle ages,norman οι μεσαίωνα
print mixed,print αναμιγνύεται
thats it which you,thats αυτό που σασ
thats,thats που
thats that which you,thats που αυτό το οποίο σασ
thats who that,thats που που που
thats that,thats που ότι
thats what,thats τι
thats what your,thats τι σασ
transformer,transformers
yperekfrastheisa administrator for health,yperekfrastheisa διαχειριστή για την υγεία
abacus,άβακασ
innocent,άβγαλτοσ
inconvenient,άβολοσ
uncomfortable,άβολοσ
untractable,άβολοσ
gargoyle,άγαλμα
statue,άγαλμα
gargoyle,άγαλμα χρησιμεύων ωσ κρήνη
agamous,άγαμοσ
bachelor,άγαμοσ
celibate,άγαμοσ
single,άγαμοσ
unmarried,άγαμοσ
unwed,άγαμοσ
stag,άγαμοσ άνδρασ
announcement,άγγελμα
announcements,άγγελμα
annunciation,άγγελμα
despatch,άγγελμα
dispatch,άγγελμα
message,άγγελμα
messages,άγγελμα
angel,άγγελοσ
angels,άγγελοσ
touch,άγγιγμα
bobby,άγγλοσ αστυφύλακασ
barrister,άγγλοσ δικηγόροσ
tommy,άγγλοσ στρατιώτησ
tasteless,άγευστοσ
untasted,άγευστοσ
parties,άγημα
party,άγημα
saint,άγια
saints,άγια
bible,άγια γραφή
holy scripture,άγια γραφή
holy writ,άγια γραφή
altar,άγια τράπεζα
scriptural,άγιασ γραφήσ
chalice,άγιο ποτήριο
grail,άγιο ποτήριο
holy grail,άγιο ποτήριο
blessed,άγιοσ
holy,άγιοσ
saint,άγιοσ
saintlike,άγιοσ
saintly,άγιοσ
fishhook,άγκιστρο
gaff,άγκιστρο
hook,άγκιστρο
anchor,άγκυρα
stranger,άγνωστοσ
unbeknown,άγνωστοσ
unfamiliar,άγνωστοσ
unheard,άγνωστοσ
unidentified,άγνωστοσ
unknown,άγνωστοσ
barren,άγονοσ
fruitless,άγονοσ
infertile,άγονοσ
sterile,άγονοσ
unproductive,άγονοσ
unripe,άγουροσ
blank,άγραφοσ
unrecorded,άγραφοσ
unwritten,άγραφοσ
wildlife,άγρια ζωή
yell,άγρια φωνή
black,άγριοσ
feral,άγριοσ
ferocious,άγριοσ
fierce,άγριοσ
harsh,άγριοσ
lupin,άγριοσ
lupine,άγριοσ
sassy,άγριοσ
savage,άγριοσ
truculent,άγριοσ
violent,άγριοσ
wild,άγριοσ
mustang,άγριοσ ίπποσ τησ αμερικήσ
alert,άγρυπνοσ
awake,άγρυπνοσ
open-eyed,άγρυπνοσ
sleepless,άγρυπνοσ
wake,άγρυπνοσ
wakeful,άγρυπνοσ
watchdog,άγρυπνοσ
watchful,άγρυπνοσ
stress,άγχοσ
conduct,άγω
conducted,άγω
conducting,άγω
drive,άγω
drives,άγω
tearless,άδακρυσ
allowance,άδεια
leave,άδεια
leaves,άδεια
licence,άδεια
license,άδεια
licenses,άδεια
permission,άδεια
permissions,άδεια
permit,άδεια
permits,άδεια
pass,άδεια εισόδου
passes,άδεια εισόδου
depletion,άδειασμα
treeless plains of africa,άδενδρεσ πεδιάδεσ τησ αφρικήσ
savanna,άδενδροσ πεδιάσ
veld,άδενδροσ πεδιάσ τησ αφρικήσ
veldt,άδενδροσ πεδιάσ τησ αφρικήσ
latency,άδηλο
latent,άδηλοσ
hades,άδησ
inferno,άδησ
underworld,άδησ
unfairness,άδικο
wrong,άδικο
inequitable,άδικοσ
inequitous,άδικοσ
underserved,άδικοσ
undue,άδικοσ
unfair,άδικοσ
unjust,άδικοσ
unmerited,άδικοσ
unrighteous,άδικοσ
wrong,άδικοσ
