English,Other
a,a
aa,aa
aaa,aaa
aaron,aaron
ab,ab
abc,abc
alphabetical,abecedni
aberdeen,aberdeen
abraham,abraham
abs,abs
absolute,absolutna
graduate,absolvirati
graduated,absolvirati
graduates,absolvirati
absorption,absorpcija
abstract,abstrakten
abu,abu
ac,ac
acc,acc
acdbentity,acdbentity
acer,acer
acm,acm
acoustic,acoustic
ada,ada
adam,adam
adams,adams
adaptive,adaptive
adelaide,adelaide
adidas,adidas
adipex,adipex
admin,admin
adobe,adobe
adrian,adrian
adsl,adsl
adware,adware
ae,ae
af,af
afghanistan,afganistan
africa,afrika
african,afričan
african,afričanka
african,afriški
ag,ag
agencies,agencija
agency,agencija
aggregate,agregat
aggressive,agresiven
ah,ah
ai,ai
aj,aj
ak,ak
aka,aka
academy,akademija
academics,akademiki
academic,akademski
mission,akcija
missions,akcija
accreditation,akreditacija
accredited,akreditirani
acrylic,akril
acrobat,akrobat
acrobat,akrobatka
acts,akti
assets,aktiva
activated,aktivirana
activation,aktiviranje
activist,aktivist
activists,aktivist
activist,aktivistka
activists,aktivistka
actively,aktivno
activities,aktivnost
activity,aktivnost
batteries,akumulator
battery,akumulator
cordless,akumulatorski
acute,akuten
aquarium,akvarij
al,al
ala,ala
alabama,alabama
alan,alan
alarm,alarm
alaska,alaska
albania,albanija
albany,albany
albert,albert
alberta,alberta
album,album
albums,album
albuquerque,albuquerque
allergy,alergija
alex,alex
alexander,alexander
alexandria,alexandria
alfred,alfred
algebra,algebra
algorithm,algoritem
algorithms,algoritmi
ali,ali
but,ali
or,ali
whether,ali
alice,alice
alien,alien
alcohol,alkohol
allah,allah
allan,allan
allen,allen
alpha,alpha
alpine,alpine
alt,alt
alternative,alternativa
alternatives,alternativa
alternatively,alternativno
alto,alto
aluminium,aluminij
aluminum,aluminij
alumni,alumni
algeria,alžirija
amanda,amanda
amateur,amater
amateur,amaterka
amazon,amazon
ambien,ambien
ambient,ambient
amd,amd
america,amerika
americas,ameriki
american,američan
americans,američan
american,američanka
americans,američanka
american,ameriški
amino,amino
amp,amp
ampland,ampland
amsterdam,amsterdam
amy,amy
an,an
ana,ana
anaheim,anaheim
anal,anal
analyst,analitik
analysts,analitiki
analytical,analitično
analyses,analiza
analysis,analiza
analyze,analizirati
analyzed,analizirati
analog,analog
anatomy,anatomija
andale,andale
anderson,anderson
andorra,andora
andrea,andrea
andreas,andreas
andrew,andrew
andrews,andrews
andy,andy
angel,angel
angels,angel
angela,angela
angeles,angeles
english,angleščina
angola,angola
anime,anime
poll,anketa
polls,anketa
survey,anketa
surveys,anketa
respondents,anketiranci
survey,anketirati
surveys,anketirati
ann,ann
anna,anna
anne,anne
annie,annie
anonymous,anonimen
ensemble,ansambel
antarctica,antarktika
antenna,antena
anthony,anthony
anti,anti
antigua,antigua
antivirus,antivirus
antonio,antonio
anthropology,antropologija
aol,aol
ap,ap
apache,apache
apparatus,aparat
suites,apartmaji
api,api
apnic,apnic
calcium,apnik
lime,apno
apollo,apollo
app,app
apps,apps
apr,april
april,april
apt,apt
aqua,aqua
ar,ar
arab,arab
arabia,arabia
arabic,arabic
arcade,arcade
architectural,architectural
arctic,arctic
arena,arena
apprehension,aretacija
arrest,aretacija
apprehend,aretirati
arrest,aretirati
arrested,aretirati
arg,arg
argentina,argentina
argument,argument
arguments,argument
reasoning,argumentiranje
architect,arhitekt
architects,arhitekt
architecture,arhitektura
archive,arhiv
archives,arhiv
archived,arhivirana
arizona,arizona
arkansas,arkansas
arlington,arlington
army,armada
armenia,armenia
armstrong,armstrong
arnold,arnold
aroma,aroma
flavoring,aroma
arthur,arthur
arthritis,artritis
aruba,aruba
ace,as
ascii,ascii
ashley,ashley
asin,asin
asn,asn
asp,asp
ass,ass
asthma,astma
astrology,astrologija
astronomy,astronomija
asus,asus
ata,ata
dad,ata
father,ata
fathers,ata
athens,atene
ati,ati
atlanta,atlanta
atlantic,atlantic
atlas,atlas
athlete,atlet
athletes,atlet
athletics,atletika
athlete,atletinja
athletes,atletinja
athletic,atletska
atm,atm
atmosphere,atmosfera
atmospheric,atmosferska
atom,atom
atomic,atomsko
attribute,atribut
attributes,atributi
au,au
auburn,auburn
auckland,auckland
aud,aud
audi,audi
audio,audio
aurora,aurora
aus,aus
austin,austin
austria,austria
auto,auto
autos,autos
av,av
avatar,avatar
ave,ave
avenue,avenija
aug,avgust
august,avgust
avi,avi
aviation,aviacija
avon,avon
australia,avstralija
australian,avstralski
car,avto
cars,avto
bus,avtobus
buses,avtobus
coach,avtobus
coaches,avtobus
freeware,avtocesta
highway,avtocesta
highways,avtocesta
motorway,avtocesta
autograph,avtogram
indigenous,avtohtona
aboriginal,avtohtoni
automation,avtomatizacija
automate,avtomatizirati
automated,avtomatizirati
automatic,avtomatičen
automobile,avtomobil
automobiles,avtomobil
automotive,avtomobilska
tire,avtomobilska guma
tires,avtomobilska guma
autonomous,avtonomen
autonomy,avtonomija
author,avtor
authors,avtor
author,avtorica
authors,avtorica
authority,avtoriteta
copyrights,avtorske pravice
copyrighted,avtorsko
aw,aw
aye,aye
az,az
asbestos,azbest
azerbaijan,azerbajdžan
asia,azija
asian,azijec
asian,azijka
asian,azijski
sanctuary,azil
seekers,azil
b,b
ba,ba
babe,babe
babes,babes
backup,backup
baghdad,bagdad
bahamas,bahami
bahrain,bahrajn
bailey,bailey
fabulous,bajen
tale,bajka
tales,bajka
byte,bajt
copper,baker
bacteria,bakterija
bacterial,bakterijska
bali,bali
ballet,ballet
balloon,balon
baltimore,baltimore
banana,banana
bang,bang
bangbus,bangbus
bangkok,bangkok
bangladesh,bangladeša
bank,banka
banks,banke
note,bankovec
notes,bankovec
banner,banner
banking,bančništvo
bar,bar
bars,bar
barbados,barbados
barbara,barbara
barbie,barbie
barcelona,barcelona
barrier,bariera
barriers,bariera
marsh,barje
moor,barje
barnes,barnes
barry,barry
color,barva
colors,barva
colour,barva
colours,barva
dye,barva
paint,barva
tone,barva glasu
tones,barva glasu
dye,barvati
paint,barvati
painted,barvati
colored,barvni
baseball,baseball
basename,basename
fabulous,basenski
bass,bass
batteries,baterija
battery,baterija
torch,baterija
batman,batman
base,baza
bases,baza
database,baza podatkov
databases,baze podatkov
pool,bazen
pools,bazen
bb,bb
bbc,bbc
bbs,bbs
bbw,bbw
bc,bc
bd,bd
gdp,bdp
bdsm,bdsm
beastality,beastality
beastiality,beastiality
beatles,beatles
wake,bedeti
bedford,bedford
fugitive,begunec
refugee,begunec
refugees,begunec
fugitive,begunka
refugee,begunka
refugees,begunka
white,bel
belarus,belarus
notebook,beležnica
notebooks,beležnica
belfast,belfast
belgium,belgium
belize,belize
belkin,belkin
belle,belle
ben,ben
benchmark,benchmark
gasoline,bencin
petrol,bencin
benjamin,benjamin
bennett,bennett
benz,benz
viewing,bere
berkeley,berkeley
berlin,berlin
bermuda,bermuda
bernard,bernard
rage,bes
word,beseda
words,beseda
riot,besneti
bestiality,bestialnost
beta,beta
beth,beth
concrete,beton
betty,betty
beverly,beverly
glance,bežen pogled
glance,bežno pogledati
bg,bg
bi,bi
ought,bi
should,bi
wanna,bi
would,bi
bible,biblija
scripture,biblija
biblical,biblijski
bibliography,bibliografija
bibliographic,bibliografska
bull,bik
bike,bike
bikini,bikini
balance,bilanca
billy,billy
binary,binarni
bingo,bingo
bio,bio
biography,biografija
biographies,biografije
biol,biol
biology,biologija
biological,biološka
bios,bios
biotechnology,biotehnologija
biodiversity,biotska raznovrstnost
birmingham,birmingham
bureau,biro
pearl,biser
beads,biseri
pearls,biseri
smart,bister
essential,bistven
significantly,bistveno
substantially,bistveno
essence,bistvo
the essence,bistvo
am,biti
are,biti
be,biti
been,biti
being,biti
exist,biti
existed,biti
existing,biti
exists,biti
throb,biti
was,biti
were,biti
match,biti enak
matched,biti enak
matches,biti enak
consist,biti sestavljen iz
consisting,biti sestavljen iz
consists,biti sestavljen iz
beings,bitja
battle,bitka
fight,bitka
lounge,bivalni prostor
stay,bivanje
stays,bivanje
buffalo,bivol
former,bivši
biz,biz
bizrate,bizrate
bk,bk
bl,bl
blackjack,blackjack
blacks,blacks
gentle,blag
cashier,blagajnica
cashier,blagajnik
treasurer,blagajnik
cashiers,blagajniki
cloth,blago
clothes,blago
commodities,blago
commodity,blago
fabric,blago
fabrics,blago
goods,blago
merchandise,blago
mild,blago
bless,blagosloviti
blessed,blagoslovljeni
trademark,blagovna znamka
trademarks,blagovne znamke
blah,blah
blair,blair
blake,blake
blast,blast
fender,blatnik
wing,blatnik
wings,blatnik
muck,blato
mud,blato
insane,blazen
mad,blazen
cushion,blazina
pillow,blazina
pads,blazinice
relieve,blažiti
pale,bled
flash,blisk
flashes,blisk
lightning,blisk
adjacent,blizek
close,blizek
closer,blizek
closest,blizek
by,blizu
close,blizu
near,blizu
approach,bližanje
approaches,bližanje
approach,bližati se
approaches,bližati se
shortcuts,bližnjice
blog,blog
blogger,blogger
bloggers,bloggers
blogging,blogging
blogs,blogi
block,blok
blocks,blok
blond,blond
blonde,blond
bloomberg,bloomberg
blowjob,blowjob
blues,blues
bluetooth,bluetooth
blvd,blvd
bm,bm
bmw,bmw
bo,bo
gonna,bo
bob,bob
bobby,bobby
drum,boben
drums,boben
beaver,bober
boc,boc
botswana,bocvana
prospective,bodoči
god,bog
gods,bog
affluence,bogastvo
wealth,bogastvo
affluent,bogat
rich,bogat
wealthy,bogat
combat,boj
struggle,boj
combat,bojevati se
warrior,bojevnik
warriors,bojevnik
battlefield,bojišče
front,bojišče
ban,bojkot
boxing,boks
sparc,boksanje
ill,bolan
sick,bolan
disease,bolezen
diseases,bolezen
illness,bolezen
sickness,bolezen
painful,boleč
ache,bolečina
pain,bolečina
bulgaria,bolgarija
bolivia,bolivija
increasingly,bolj
prefer,bolj ceniti
preferred,bolj ceniti
prefers,bolj ceniti
better,boljše
superior,boljši
hospital,bolnica
hospitals,bolnica
nursing,bolniška nega
ward,bolniški oddelek
shall,bom
bomb,bomba
bomb,bombardirati
cotton,bombaž
shall,bomo
bon,bon
voucher,bon
candy,bonbon
boob,boob
boobs,boobs
booking,booking
bool,bool
boolean,boolean
boom,boom
booty,booty
pine,bor
fight,borba
fighter,borec
fighters,borec
militant,borec
fight,boriti se
fighting,boriti se
fought,boriti se
fighter,borka
fighters,borka
bosnia,bosna
boston,boston
boulevard,boulevard
boutique,boutique
bowling,bowling
boxed,boxed
christmas,božič
bp,bp
br,br
brad,brad
bradford,bradford
bradley,bradley
reader,bralec
readers,bralec
reader,bralka
readers,bralka
brandon,brandon
defend,braniti
plead,braniti
vindicate,braniti
reading,branje
readings,branje
brother,brat
brothers,brat
read,brati
reads,brati
groove,brazda
brazil,brazil
brazilian,brazilian
kick,brca
kick,brcniti
bank,breg
burden,breme
freight,breme
load,breme
loads,breme
buzz,brenčati
non,brez
without,brez
bottomless,brezdanji
idle,brezdelen
homeless,brezdomec
blameless,brezhiben
flawless,brezhiben
regardless,brezobziren
complimentary,brezplačen
free,brezplačen
senseless,brezčuten
wireless,brezžična
brian,brian
brighton,brighton
delete,brisanje
brisbane,brisbane
bristol,bristol
britain,britanija
britannica,britannica
shave,briti
shaved,briti
british,british
britney,britney
den,brlog
buzz,brneti
broadway,broadway
bronze,bron
brooklyn,brooklyn
paperback,broširano
brochure,brošura
brochures,brošura
pamphlet,brošura
browser,brskalnik
browsers,brskalniki
browse,brskanje
browsing,brskanje
bruce,bruce
brunei,brunei
brunswick,brunswick
brussels,bruselj
fierce,brutalen
gross,bruto
bryan,bryan
bryant,bryant
rule,brzdati
ruled,brzdati
rules,brzdati
ruling,brzdati
rapids,brzice
bs,bs
bt,bt
pin,bucika
pins,bucika
buck,buck
buddy,buddy
alert,buden
budapest,budimpešta
buf,buf
buffer,buffer
bufing,bufing
bukkake,bukkake
bump,bula
bulgarian,bulgarian
bunch,bunch
burke,burke
burlington,burlington
burst,burst
burton,burton
busty,busty
bhutan,butan
butane,butan
butt,butt
bump,buška
bw,bw
bye,bye
c,c
ca,ca
cab,cab
cache,cache
cached,cached
cad,cad
cadillac,cadillac
cafe,cafe
cal,cal
calgary,calgary
california,california
calvin,calvin
cam,cam
cambridge,cambridge
cameron,cameron
campbell,campbell
canberra,canberra
canon,canon
cant,cant
carb,carb
cardiff,cardiff
carey,carey
caribbean,caribbean
customs,carina
duties,carina
duty,carina
caring,caring
carl,carl
carlo,carlo
carlos,carlos
carmen,carmen
carol,carol
carolina,carolina
caroline,caroline
carroll,carroll
carter,carter
casa,casa
casey,casey
casio,casio
casting,casting
catherine,catherine
cayman,cayman
cb,cb
cbs,cbs
cc,cc
ccd,ccd
cd,cd
cdna,cdna
cds,cds
cdt,cdt
filter,cedilo
filters,cedilo
filter,cediti
filtering,cediti
filters,cediti
cedar,cedra
guild,ceh
all,cel
whole,cel
celebrities,celebrities
celebrity,celebrity
cell,celica
cells,celica
continent,celina
mainland,celina
cellular,cellular
even,celo
global,celoten
celtic,celtic
cement,cement
price,cena
prices,cena
inexpensive,cenen
price-list,cenik
tariff,cenik
appreciation,cenitev
calculation,cenitev
calculations,cenitev
pricing,cenitev
valuation,cenitev
appreciate,ceniti
appreciated,ceniti
calculate,ceniti
calculated,ceniti
value,ceniti
valued,ceniti
values,ceniti
affordable,cenovno
cent,cent
centered,centered
cents,cents
ceo,ceo
vaccine,cepivo
church,cerkev
churches,cerkev
choir,cerkveni zbor
emperor,cesar
imperial,cesarski
empire,cesarstvo
avenue,cesta
way,cesta
pipe,cev
pipes,cev
tube,cev
tubes,cev
hose,cev za zalivanje
cf,cf
cfr,cfr
cg,cg
cgi,cgi
ch,ch
chad,chad
chan,chan
changelog,changelog
char,char
charles,charles
charleston,charleston
charlie,charlie
charlotte,charlotte
checkout,checkout
cheers,cheers
chelsea,chelsea
chem,chem
chen,chen
chester,chester
chevrolet,chevrolet
chevy,chevy
chi,chi
chicago,chicago
chick,chick
cho,cho
chris,chris
christina,christina
christine,christine
christopher,christopher
chrysler,chrysler
chubby,chubby
chuck,chuck
ci,ci
cia,cia
cialis,cialis
ciao,ciao
cigarette,cigareta
cigarettes,cigareta
tions,cije
cycle,ciklus
cycles,ciklus
cylinder,cilinder
aim,cilj
aims,cilj
goal,cilj
goals,cilj
target,cilj
targets,cilj
destination,cilj potovanja
destinations,cilj potovanja
objectives,cilji
targeted,ciljno
rank,cin
ranks,cin
tin,cin
cincinnati,cincinnati
cindy,cindy
cingular,cingular
zinc,cink
cio,cio
cyprus,ciper
cir,cir
ulcer,cir
circus,cirkus
cisco,cisco
quotation,citat
quotations,citat
quote,citirati
quoted,citirati
quotes,citirati
citysearch,citysearch
civic,civic
civilian,civilist
civilization,civilizacija
civil,civilne
cj,cj
cl,cl
claire,claire
clara,clara
clark,clark
clarke,clarke
classic,classic
cleanup,cleanup
cleveland,cleveland
clinton,clinton
clip,clip
cluster,cluster
cm,cm
cms,cms
cn,cn
cnet,cnet
cnn,cnn
co,co
coaching,coaching
cock,cock
cocktail,cocktail
cohen,cohen
col,col
cole,cole
coleman,coleman
colin,colin
collector,collector
collins,collins
colorado,colorado
columbia,columbia
columbus,columbus
com,com
combo,combo
comm,comm
commons,commons
commonwealth,commonwealth
comp,comp
compaq,compaq
composite,composite
con,con
zone,cona
zones,cona
concord,concord
condo,condo
conf,conf
config,config
congo,congo
zoning,coniranje
connecticut,connecticut
cons,cons
const,const
continental,continental
cooper,cooper
copyright,copyright
cornell,cornell
cornwall,cornwall
corp,corp
corps,corps
corpus,corpus
cos,cos
costa,costa
county,county
cox,cox
cp,cp
cpu,cpu
cr,cr
craig,craig
craps,craps
crawford,crawford
creek,creek
crest,crest
crm,crm
cruz,cruz
cs,cs
css,css
cst,cst
ct,ct
ctrl,ctrl
cu,cu
cum,cum
cumshot,cumshot
cumshots,cumshots
rag,cunja
leak,curljati
curriculum,curriculum
curtis,curtis
suck,cuzati
sucking,cuzati
cv,cv
bloom,cvet
blossom,cvet
flower,cvetlica
flowers,cvetlica
florist,cvetličar
florists,cvetličar
florist,cvetličarka
florists,cvetličarka
floral,cvetno
cvs,cvs
cw,cw
cyber,cyber
cz,cz
d,d
da,da
that,da
yes,da
that,da bi
daisy,daisy
levy,dajatev
yield,dajati
yields,dajati
dakota,dakota
dale,dale
away,daleč
far,daleč
distance,daljava
distances,daljava
farther,dalje
further,dalje
far,daljnji
dallas,dallas
lady,dama
dame,dame
ladies,dame
damn,damn
dan,dan
day,dan
days,dan
dana,dana
today,danes
daniel,daniel
danish,danish
danny,danny
dans,dans
denmark,danska
donation,darilo
donations,darilo
gift,darilo
gifts,darilo
present,darilo
presents,darilo
darwin,darwin
das,das
dash,dash
dat,dat
date,datelj
dates,datelj
gave,dati
give,dati
given,dati
gives,dati
giving,dati
present,dati
presented,dati
presenting,dati
presents,dati
dating,dating
date,datum
dates,datum
dave,dave
tax,davek
taxes,davek
tribute,davek
david,david
davidson,davidson
davis,davis
dayton,dayton
db,db
dc,dc
dd,dd
ddr,ddr
de,de
dealtime,dealtime
fat,debel
thick,debel
thickness,debelina
colon,debelo črevo
obesity,debelost
debian,debian
trunk,deblo
deborah,deborah
debug,debug
debut,debut
dec,december
december,december
point,decimalna vejica
points,decimalna vejica
decimal,decimalno
heirloom,dediščina
heritage,dediščina
inheritance,dediščina
dee,dee
def,def
action,dejanje
actions,dejanje
deed,dejanje
actual,dejanski
factors,dejavniki
fact,dejstvo
facts,dejstvo
dean,dekan
girl,dekle
girls,dekle
decor,dekor
decorative,dekorativni
borough,del
del,del
part,del
parts,del
portion,del
portions,del
section,del
sections,del
worked,delal
did,delati
do,delati
does,delati
doing,delati
make,delati
makes,delati
making,delati
worker,delavec
workers,delavec
active,delaven
busy,delaven
worker,delavka
workers,delavka
workshop,delavnica
workshops,delavnica
delaware,delaware
particle,delcev
particles,delci
delegation,delegacija
partial,delen
quota,delež
share,delež
delhi,delhi
delight,delight
division,delitev
divisions,delitev
partition,delitev
divide,deliti
divided,deliti
part,deliti
parts,deliti
share,deliti
shared,deliti
sharing,deliti
dell,dell
stock,delnica
stocks,delnica
shares,delnice
shareholder,delničar
shareholders,delničar
partially,delno
employment,delo
job,delo
jobs,delo
labor,delo
labour,delo
work,delo
works,delo
employer,delodajalec
employers,delodajalec
partly,deloma
function,delovanje
functions,delovanje
impact,delovanje
impacts,delovanje
operation,delovanje
operations,delovanje
function,delovati
functioning,delovati
functions,delovati
operate,delovati
operated,delovati
operates,delovati
operating,delovati
workstation,delovna postaja
delta,delta
working,deluje
deluxe,deluxe
dem,dem
demo,demo
demographic,demografske
democracy,demokracija
democrat,demokrat
democrats,demokrati
democratic,demokratičen
demonstration,demonstracija
demonstrate,demonstrirati
demonstrated,demonstrirati
demonstrates,demonstrirati
money,denar
remittance,denarna pošiljka
monetary,denarne
purse,denarnica
wallet,denarnica
dennis,dennis
denver,denver
depot,depo
depression,depresija
dept,dept
der,der
derby,derby
derek,derek
des,des
right,desen
ten,deset
dozens,desetine
decade,desetletje
decades,desetletje
board,deska
boards,deska
desktop,desktop
detail,detajl
details,detajl
detective,detektiv
detective,detektivka
detector,detektor
