English,Other
the,-a
the,-en
aa,aa
aaa,aaa
aaron,aaron
ab,ab
abc,abc
aberdeen,aberdeen
subscription,abonnement
subscriptions,abonnement
subscriber,abonnent
subscribers,abonnenter
subscribe,abonnere
aboriginal,aboriginal
abortion,abort
abraham,abraham
abs,abs
absolutely,absolutt
vital,absolutt nødvendig
absolute,absolutte
absorption,absorpsjon
abstracts,abstracts
abstract,abstrakt
abu,abu
ac,ac
acc,acc
acdbentity,acdbentity
acer,acer
acm,acm
acre,acre
ada,ada
adam,adam
adams,adams
adapter,adapter
adapters,adapter
adaptor,adapter
adaptive,adaptive
addition,addisjon
additions,addisjon
adelaide,adelaide
access,adgang
admission,adgang
admissions,adgang
admittance,adgang
pass,adgangskort
passes,adgangskort
adidas,adidas
adipex,adipex
admin,admin
administration,administrasjon
administrative,administrative
administrator,administrator
administrators,administrator
administer,administrere
administered,administrere
adobe,adobe
adoption,adopsjon
adopt,adoptere
adopted,adoptert
address,adresse
addresses,adresse
address,adressere
addressed,adressere
addresses,adressere
addressing,adressere
direct,adressere
directed,adressere
adrian,adrian
apart,adskilt
adsl,adsl
warning,advarsel
warnings,advarsel
advocacy,advocacy
advocate,advokat
attorney,advokat
attorneys,advokat
lawyer,advokat
lawyers,advokat
solicitor,advokat
adware,adware
ae,ae
airplane,aeroplan
af,af
affected,affektert
affiliate,affiliate
afghanistan,afghanistan
africa,afrika
african,afrikaner
african,afrikansk
ag,ag
aggregate,aggregert
aggressive,aggressiv
ah,ah
ai,ai
airfare,airfare
aj,aj
ak,ak
aka,aka
academy,akademi
academics,akademikere
accreditation,akkreditering
accredited,akkreditert
just,akkurat
acne,akne
acrobat,akrobat
acrylic,akryl
axle,aksel
shaft,aksel
accent,aksent
acceptable,akseptabel
accept,akseptere
accepted,akseptere
accepting,akseptere
accepts,akseptere
axis,akser
shares,aksjer
stock,aksjer
stocks,aksjer
shareholder,aksjonær
shareholders,aksjonær
active,aktiv
activation,aktivering
activated,aktivert
activist,aktivist
activists,aktivist
activities,aktivitet
activity,aktivitet
actively,aktivt
acoustic,akustisk
acute,akutt
aquarium,akvarium
aquatic,akvatisk
al,al
eel,al
ala,ala
alabama,alabama
alan,alan
alarm,alarm
alaska,alaska
albania,albania
albany,albany
albert,albert
alberta,alberta
album,album
albums,album
albuquerque,albuquerque
age,alder
ages,alder
never,aldri
aging,aldring
alone,alene
alex,alex
alexander,alexander
alexandria,alexandria
alphabetical,alfabetisk
alfred,alfred
algebra,algebra
algeria,algerie
algerie,algerie
algorithm,algoritme
algorithms,algoritmer
ali,ali
alias,alias
alice,alice
alien,alien
alcohol,alkohol
allah,allah
allan,allan
all,alle
everybody,alle
