English,Other
mediterranean,"газар дундын тэнгис,газрын дундад тэнгисийн"
mediterranean sea,газрын дундад тэнгис
midlands,английн нутгийн төв хэсэг
milky way,"тэнгэрийн оёдол,тэнгэрийн заадал"
mongol,"монголын,монгол хүн/хэл,монгол хүнь монгол морь,монгол их хааны үр сад,монгол газар нутаг,монгол оюун ухаан"
mongolia,"Монгол,монгол улс"
moslem,"лал,лалын шашинтан,лалын"
nazi,"фашист,нацист"
negro,"негр,хар арьстан,негрийн,хар арьстан"
neptune,"далайн ван,Далай ван гариг,далай ван гариг"
new york,нью-йорк
new zeland,шинэ зеланд
newfoundland,ньюфаундленд нохой
nicaragua,никарагуа
nigeria,нигер улс
norse,"норвеги хүн,норвеги,норвегийн"
norseman,норвеги хүн
norway,"норвеги,норвеги хүн"
pakistan,пакистан
papuan,папуа хүн
pentagon,"АНУ-ын Цэргийн яам,таван өнцөгт,пентагон,америкийн цэргийн яам,ану-ын цэргийн яам"
persian,"перс хүн,перс хэл,перс,персийн"
persian gulf the,персийн булан
peru,перу
philippines,филиппинийн арлууд
poland,"Польш,польш"
polestar,"Алтан гадас од,алтан гадас од"
portugal,"Португали,португали"
prussian,"прусс хүн,прусс,пруссын"
romania,румын улс
romanian,"румын хүн,румын хэл,румын"
rome,"Ром хот,ром хот /италийн нийслэл/"
russia,"Орос улс,орос,орос улс"
sabbath,"амралтын өдөр(шашны),амралтын өдөр /шашны/"
scandinavia,"скандинав,Скандинавын хойг,скандинавын хойг"
scot,шотланд хүн
scotland,шотланд
slav,"сляван хүн/үндэстэн,славяны,сляван"
slovak,"словак хүн/хэл,словак,словакийн"
software developmet company,"Утас 99121796, speaker@mol.mn, www.stormpages.com/speaker"
spain,"Испани,испани"
swedish,"швед хэл,швед,шведийн"
syria,сири
tanzania,танзани
tunisia,тунис
turk,түрэг хүн
vatican,"Ватикан,ватикан"
venus,"Цолмон,сугар,баасан гариг,цолмон"
vietnam,"Вьетнам,вьетнам"
xmas,"Христосын мэндэлсэн өдөр,зул сарын баяр,христосын мэндэлсэн өдөр"
yankee,"янки,америк хүн"
yugoslav,"югослав хүн,югослав,югославын"
a,"тодорхойгүй гишүүн,нэгэн,ямар нэг"
a good deal,нэлээн
a long face,уруу царай
a m,үдээс өмнө /ante meridiem/
a month leaves or months leave,сарын амралт(э.з)
a/an,"нэр үгийн тодорхой бус ялгац гишүүн,нэг,нэгэн,ямар нэг"
aback,"ард, ардаас, гэдрэг,ар тийш,ард ардаас"
abacterial,бактергүй
abacus,сампин
abandon,"хаялах, хаях, орхих, татгалзах, нүүрэмгий зан, чөлөөтэй байдал,хаях орхих"
abandoned,"хаягдсан,завхай,эвдэрсэн,хаягдсан,биеэ эзэмдэж барьдаггүй,завхай шалиг"
abandonment,"хаях, ганцаардал, хаягдмал байдал, нүүрэмгий зан"
abase,"бууруулах, буулгах, доромжлох, басамжлах, дорд үзэх, тушаал, зэрэг бууруулах,тушаал зэрэг бууруулах"
abasement,"шалдаа буух, доромжлол, басамжлал,доромжлол басамжлал"
abash,"ичээх, балмагдуулах, эвгүй байдалд оруулах, аягүйтүүлэх,цочроох балмагдуулах"
abashed,"ичээх, зовоох,,ичиж зовсон,нүүр улайсан"
abashment,"сандрал, цочрол, аягүйтэл"
abate,"намжих, багасгах, намдах, зогсоох, хүчингүй болгох,эцэс болох"
abatement,"үнийн бууралт, хүчингүй болгох, үл хэрэгсэх,намдалт,үнийн бууралт хүчингүй болгох"
abattoir,"бойны газар,нядалгааны газар"
abbey,"хийд, чавганцын сүм, католик шажны хийд,католик шашны сүм,католик шашны хийд"
abbot,"хамба лам, да лам, ширээт лам, даа лам"
