English,Other
«ah,"""""ah,"
'ali,"""""ali,"
'aye,"""""aye,"
'cept,"""""cept,"
'cos,"""""cos,"
'd,"""""d,"
'de,"""""de,"
'you'd,"""""du skulle,"
'ee,"""""ee,"
«a,"""""en,"
'roughing,"""""grovbearbetning,"
'ho,"""""ho,"
'here's,"""""här är,"
'il,"""""il,"
'im,"""""im,"
'didn't,"""""inte,"
'don't,"""""inte,"
'i've,"""""jag har,"
'i'd,"""""jag skulle,"
'k,"""""k,"
'l,"""""l,"
'le,"""""le,"
'lena,"""""lena,"
'les,"""""les,"
'lo,"""""lo,"
'mary,"""""mary,"
'ole,"""""ole,"
'st,"""""st,"
'uns,"""""uns,"
«eh,"""""va,"
'where's,"""""var är,"
'was,"""""var,"
'were,"""""var,"
've,"""""ve,"
'who's,"""""vem är,"
'we're,"""""vi är,"
«oh,"""""åh,"
''tis,"'' tis,"
'' tis,"''tis,"
'en',"'a',"
'en,"'a,"
'ad,"'a.d,"
'a.d,"'ad,"
'är inte,"'ain't,'isn't,"
"""""ali","'ali,"
"""""aye","'aye,"
'bda,"'bda,"
"""""cept","'cept,"
"""""cos","'cos,"
"""""d","'d,"
"""""de","'de,"
"""""inte","'don't,'didn't,"
e:,"'e's,"
"""""ee","'ee,"
'va,"'eh,"
'jälp,"'elp,"
'em.',"'em. """","
"'em. """"","'em.',"
'a',"'en',"
'a,"'en,"
'mrs,"'fru,"
'ms,"'fröken,"
'medelt,"'gainst,"
'he,"'han,"
'han,"'he,"
"""""här är","'here's,"
'mr,"'herr,"
"""""ho","'ho,"
'jag',"'i',"
"""""jag skulle","'i'd,"
"""""jag har","'i've,"
'jag,"'i,"
"""""il","'il,"
"""""im","'im,"
'är,"'is,"
'i',"'jag',"
'i,"'jag,"
'elp,"'jälp,"
"""""k","'k,"
"""""l","'l,"
"""""le","'le,"
"""""lena","'lena,"
"""""les","'les,"
namnet,"'ll,"
"""""lo","'lo,"
"""""mary","'mary,"
'gainst,"'medelt,"
'mong,"'mong,"
'herr,"'mr,"
'fru,"'mrs,"
'fröken,"'ms,"
'n',"'n',"
'åh,"'oh,"
"""""ole","'ole,"
"""""grovbearbetning","'roughing,"
'runt fe',"'roun',"
'roun',"'runt fe',"
största,"'s,"
"""""st","'st,"
'twas,"'twas,"
mellandäck,"'tween,"
"""""uns","'uns,"
'eh,"'va,"
"""""ve","'ve,"
"""""vi är","'we're,"
"""""var","'were,'was,"
"""""var är","'where's,"
"""""vem är","'who's,"
"""""du skulle","'you'd,"
'ain't,"'är inte,"
'isn't,"'är inte,"
'is,"'är,"
'oh,"'åh,"
dealer,"-handlare,handlande,givare,givarinna,dilare,knarklangare,"
dealer's,"-handlare,handlande,givare,givarinna,dilare,knarklangare,"
dealers,"-handlare,handlande,givare,givarinna,dilare,knarklangare,"
eater,"-ätare,person som äter,ätäpple,"
eaters,"-ätare,person som äter,ätäpple,"
...jag,"...i,"
...i,"...jag,"
ith,": te,"
några få,"a few,"
åtskilligt,"a good deal,"
en hel del,"a good deal,a great many,some,"
ett stort antal,"a great many,"
lite,"a little,something,"
demand note,"a vista-växel,kravbrev,"
en kvinna som är lätt på foten,"a woman of easy virtue,"
per år,"a year,per annum,"
en',"a',"
ett,"a,an,the,one,one',ett,"
en,"a,an,the,one,one,juniper wood,cade,about,some,a,¡a,"
a.b.,"a.b.,"
växelström.,"a.c.,"
ad,"a.d,"
að,"a.d,"
a.g.,"a.g.,"
ah.,"a.h.,"
a.j.,"a.j.,"
a.l.,"a.l.,"
a.p.,"a.p.,"
a.r.,"a.r.,"
a.u.,"a.u.,"
a.w.,"a.w.,"
aã°,"aa °,"
aagot,"aagot,"
aamulla,"aamulla,"
aantal,"aantal,"
aard,"aard,"
arons,"aaron's,"
aaron,"aaron,"
años,"aastat,"
akter om,"abaft,"
övergiva,"abandon,discard,desert,forsake,jack in,jettison,jilt,throw overboard,plant,throw over,yield,slough off,drop,"
överge,"abandon,forsake,desert,discard,jack in,jettison,jilt,throw overboard,plant,throw over,yield,slough off,drop,"
lössläppt,"abandoned,"
övergiven,"abandoned,derelict,desolate,forlorn,lorn,orphan,"
hängivelse,"abandonment,"
lössläpthet,"abandonment,abandon,"
övergivande,"abandonment,desertion,dereliction,"
övergivenhet,"abandonment,desolation,desertion,"
abandonné,"abandonne,"
abandonne,"abandonné,"
förödmjuka sig,"abase oneself,"
mojna,"abate,"
abbas,"abbas,"
abbess,"abbedissa,"
abbedissa,"abbess,mother,"
klosterkyrka,"abbey,"
perch,"abborre,pinne,sittpinne,hönspinne,mätstång,remmare,klättra upp och sätta sig,slå sig ned,sätta sig,placera,sitta,"
perches,"abborre,pinne,sittpinne,hönspinne,mätstång,remmare,klättra upp och sätta sig,slå sig ned,sätta sig,placera,sitta,"
abbot,"abbot,"
abbot's,"abbot,"
abbots,"abbot,"
abbotsford,"abbotsford,"
förkortad,"abbreviated,potted,"
kortform,"abbreviation,"
förkortning,"abbreviation,shortening,abridgement,abridgment,contraction,"
abc-bok,"abc book,primer,"
abc,"abc,alfabet,"
abc,"abc,alphabet,"
abc book,"abc-bok,"
abdallah,"abdallah,"
abdikera,"abdicate,"
avsäga sig tronen,"abdicate,"
abdikation,"abdication,"
tronavsägelse,"abdication,"
abdication,"abdikation,avsägelse,tronavsägelse,"
abdicate,"abdikera,avsäga sig,avsäga sig tronen,"
abdicated,"abdikera,avsäga sig,avsäga sig tronen,"
abdomen,"abdomen,"
bakkropp,"abdomen,"
buk,"abdomen,belly,paunch,bilge,bunt,bow window,"
abdominal,"abdominal,"
buk-,"abdominal,"
abdominal,"abdominal,buk-,mag-,"
röva bort,"abduct,pillage,ravish,reave,reive,kidnap,"
enlevera,"abduct,run away with,"
bortförande,"abduction,"
enlevering,"abduction,"
till sängs,"abed,"
abels,"abel's,"
abel,"abel,"
abelard,"abelard,"
abel's,"abels,"
abenteuer,"abenteuer,"
buts,"aber,"
abercromby,"abercromby,"
aberration,"aberration,"
sinnesförvirring,"aberration,"
förvillelse,"aberration,error,"
abyssinia,"abessinien,"
abyssinian,"abessinier,"
abyssinians,"abessinier,"
abgrund,"abgrund,"
ebjatar,"abiathar,"
stå fast vid,"abide by,insist on,"
foga sig i,"abide,"
iakttagit,"abided,"
abigael,"abigael,"
abijah,"abijah,"
själsgåvor,"abilities,"
förmåga,"ability,capacity,capability,power,faculty,man of ability,talent,"
abîme,"abime,"
abimelek,"abimelech,"
abimelech,"abimelek,"
uselhet,"abjection,wretchedness,misery,"
avsvärjelse,"abjuration,"
avsvärja,"abjure,forswear,"
ablative,"ablativ,"
ablativ,"ablative,"
avljud,"ablaut,gradation,vowel gradation,"
starkt upplyst,"ablaze,"
eld och lågor,"ablaze,afire,aflame,"
i lågor,"ablaze,alight,"
arbetsför,"able-bodied,"
ablution,"ablution,"
ablution,"ablution,tvättning,"
ablutions,"ablution,tvättning,"
duktigt,"ably,efficiently,powerfully,soundly,hard,cleverly,"
skickligt,"ably,skillfully,deftly,skilfully,adroitly,"
aberrant,"abnorm,vilsen,anomal,"
abnorm,"abnormal,aberrant,freakish,freak,"
onormal,"abnormal,freak,steep,"
abnormitet,"abnormality,anomaly,aberration,abnormity,deformity,"
onormalt,"abnormally,"
abnormality,"abnormitet,"
abnormity,"abnormitet,monstrositet,"
boning,"abode,habitation,polishing,"
kokande,"aboil,ebullient,"
avskaffa,"abolish,annul,do away with,repeal,lift,abrogate,"
slopa,"abolish,reject,"
abolition,"abolition,"
avskaffande,"abolition,abolishment,annulment,repeal,abrogation,"
abolitionist,"abolitionist,"
abolitionists,"abolitionist,"
avskyvärd,"abominable,detestable,obnoxious,loathsome,heinous,loathful,abhorrent,obscene,odious,execrable,unspeakable,stinking,beastly,"
avskyvärt,"abominably,"
avskyvärdhet,"abomination,"
styggelse,"abomination,"
subscriptions,"abonnemang,"
subscription,"abonnemang,prenumeration,kontingent,"
subscriber,"abonnent,prenumerant,subskribent,bidragsgivare,tecknare,"
subscribers,"abonnenter,"
ur-,"aboriginal,"
abortera,"abort,"
bli rudimentär,"abort,"
få missfall,"abort,"
abortion,"abort,missfall,förkrympning,missbildad varelse,misslyckande,"
abort,"abortera,få missfall,bli rudimentär,misslyckas,"
abort,"abortion,"
förkrympning,"abortion,"
missbildad varelse,"abortion,"
abortiv,"abortive,"
felslagen,"abortive,"
fosterfördrivande,"abortive,"
ofullgången,"abortive,"
abou,"abou,"
aboukir,"aboukir,"
finnas i överflöd,"abound,"
överflöda,"abound,"
i omkrets,"about,"
sysselsatt med,"about,"
cirka,"about,approximately,circa,"
omkring,"about,around,round,about,around,round,"
inemot,"about,towards,"
framför allt,"above all,"
ovanstående,"above,"
ovanför,"above,above,over,"
ovan,"above,above,over,unaccustomed,unused,inexpert,hereinbefore,"
ovannämnd,"above-mentioned,above,foregoing,"
abradera,"abrade,"
nöta av,"abrade,"
skava av,"abrade,scrape,"
abrade,"abradera,skava av,nöta av,"
abraham's,"abrahams,"
abrahams,"abrahams,"
abrahams,"abrahams,abraham's,"
abram,"abram,"
slipmedel,"abrasive,"
i bredd,"abreast,"
jämsides,"abreast,"
abreise,"abreise,"
i omlopp,"abroad,"
i svang,"abroad,"
utomlands,"abroad,overseas,"
korthuggen,"abrupt,"
abrupt,"abrupt,plötslig,tvär,korthuggen,tvärhuggen,burdus,osammanhängande,brant,"
tvär,"abrupt,sudden,blunt,steep,brusque,refractory,sullen,sharp,gnarled,gnarly,"
abrupt,"abrupt,sudden,unceremonious,"
tvärt,"abruptly,squarely,at once,directly,"
magmuskler,"abs,"
abscess,"abscess,"
abscess,"abscess,böld,"
abschied,"abschied,"
amputation,"abscission,amputation,"
sinnesfrånvaro,"absence of mind,"
bortovaro,"absence,"
frånvaro,"absence,non-attendance,lack,"
frånvarande,"absent,dreamy,absent-minded,preoccupied,far-off,faraway,absentee,absently,"
disträ,"absent-minded,"
tankspridd,"absent-minded,abstracted,"
uteblivit,"absented,"
firning,"absenteeism,"
frånvaro utan giltigt förfall,"absenteeism,"
tankspriddhet,"absentmindedness,absence of mind,abstraction,abstractedness,"
absinthe,"absint,"
absinth,"absint,malört,"
absint,"absinthe,"
absolute,"absolut,fullständig,oinskränkt,"
absolutely,"absolut,fullständigt,komplett,stört,ovillkorligen,alldeles,oinskränkt,"
absolutely!,"absolut,fullständigt,komplett,stört,ovillkorligen,alldeles,oinskränkt,"
heart and soul,"absolut,helt och fullt,"
tvärsäker,"absolutely sure,positive,cocksure,"
ja absolut!,"absolutely!,"
stört,"absolutely,"
absolut,"absolutely,definitely,utterly,positively,quite,heart and soul,flatly,very,much,every time,rather,absolute,utter,teetotal,implicit,ultimate,irrelative,essential,unqualified,unquestioning,strict,dead,"
ovillkorligen,"absolutely,perforce,needs,"
absolution,"absolution,"
syndaförlåtelse,"absolution,"
absolution,"absolution,frikännande,syndaförlåtelse,"
teetotalism,"absolutism,"
absolutism,"absolutism,envälde,"
absolutism,"absolutism,teetotalism,"
ge absolution,"absolve,"
frikänna,"absolve,acquit,exonerate,find not guilty,"
absolvera,"absolve,complete,"
absorbera,"absorb,imbibe,occlude,"
absorbé,"absorbe,"
ingick i,"absorbed,"
fördjupad,"absorbed,immersed,"
absorberande material,"absorbent,"
absorptionsmedel,"absorbent,"
absorberande,"absorbent,absorbing,"
absorb,"absorbera,uppsluka,suga upp,"
absorbs,"absorbera,uppsluka,suga upp,"
absorbent,"absorberande,absorptionsmedel,absorberande material,"
absorbing,"absorberande,allt uppslukande,"
allt uppslukande,"absorbing,"
absorbe,"absorbé,"
absorption,"absorption,"
absorption,"absorption,försjunkenhet,"
röstnedläggelse,"abstention,abstinence,"
abstrahera,"abstract,"
abstrakt begrepp,"abstract,"
göra sammandrag av,"abstract,"
abstrakt,"abstract,transcendental,notional,abstractly,"
abstraktion,"abstraction,abstractedness,"
abstracting,"abstrahera,göra sammandrag av,avskilja,stjäla,"
abstracts,"abstrakt begrepp,sammandrag,abstrahera,göra sammandrag av,avskilja,stjäla,"
abstractly,"abstrakt,"
abstract,"abstrakt,abstrakt begrepp,sammandrag,abstrahera,göra sammandrag av,avskilja,stjäla,"
abstractedness,"abstraktion,tankspriddhet,"
abstraction,"abstraktion,tankspriddhet,avskiljande,"
abstractions,"abstraktion,tankspriddhet,avskiljande,"
abstrus,"abstruse,"
svårfattlig,"abstruse,deep,"
avvita,"absurd,"
absurd,"absurd,fantastic,fantastical,incongruous,"
absurd,"absurd,orimlig,befängd,bakvänd,besatt,avvita,barock,galen,löjlig,"
befängd,"absurd,ridiculous,fantastic,fantastical,"
absurdities,"absurditet,orimlighet,befängdhet,besatthet,"
absurdity,"absurditet,orimlighet,befängdhet,besatthet,"
befängdhet,"absurdity,"
absurditet,"absurdity,absurdness,incongruity,"
orimlighet,"absurdity,incongruity,absurdness,exorbitance,exorbitancy,bull,"
absurt,"absurdly,"
absurdly,"absurt,"
abteilung,"abteilung,"
abul,"abul,"
överflöd,"abundance,opulence,affluence,superabundance,superfluity,cornucopia,luxuriance,luxury,overabundance,redundance,redundancy,exuberance,plenitude,"
abundancia,"abundancia,"
ymnig,"abundant,plentiful,bounteous,exuberant,ample,lavish,"
överflödande,"abundant,superabundant,overabundant,exuberant,lavish,luxuriant,opulent,plentiful,affluent,profuse,"
en buss,"abus,"
skymfa,"abuse,insult,affront,outrage,offend,vituperate,libel,"
missbruk,"abuse,misuse,addiction,"
missbruka,"abuse,misuse,impose on,misapply,"
ovettig,"abusive,scolding,injurious,"
sidostöd,"abutment,"
brofäste,"abutment,bankseat,"
anliggande,"abutting,"
abwesenheit,"abwesenheit,"
abydos,"abydos,"
avgrund,"abyss,gulf,chasm,pit,hell,"
abessinien,"abyssinia,"
abessinier,"abyssinian,"
abélard,"abélard,"
abime,"abîme,"
växelström,"ac,"
akacia,"acacia,"
acad,"acad,"
akademiska,"academia,"
akademisk,"academic,academical,scholarly,scholastic,graduate,formal,"
akademiledamot,"academician,"
acadians,"acadians,"
acaso,"acaso,"
tillträda,"accede to,enter upon,take over,assume,"
ansluta sig till,"accede to,join,associate oneself with,fall in with,latch on to,attach oneself to,espouse,second,"
anslutit,"acceded,"
anslutande,"acceding,"
ge gas,"accelerate,"
accelerera,"accelerate,speed up,scorch,"
accelererad,"accelerated,"
accelererande,"accelerating,"
acceleration,"acceleration,hastighetsökning,"
acceleration,"acceleration,pickup,"
accelerator,"accelerator,"
accelerator,"accelerator,gaspedal,"
gaspedal,"accelerator,throttle,gas pedal,"
speed up,"accelerera,forcera,uppsnabba,"
accelerate,"accelerera,ge gas,"
accelerated,"accelererad,"
accelerating,"accelererande,"
accenttecken,"accent,"
stress mark,"accent,"
accent,"accent,brytning,betoning,tonvikt,accenttecken,betona,accentuera,"
accents,"accent,brytning,betoning,tonvikt,accenttecken,betona,accentuera,"
accent,"accent,name,stress mark,"
accentuera,"accentuate,accent,"
accentuering,"accentuation,"
accentuate,"accentuera,betona,"
accentuated,"accentuera,betona,"
accentuation,"accentuering,betoning,"
godta,"accept,approve,"
godtaga,"accept,approve,"
acceptera,"accept,approve,take,"
accepta,"accepta,"
acceptably,"acceptabelt,"
antagbar,"acceptable,admissible,"
acceptabel,"acceptable,passable,"
godtagbar,"acceptable,pleadable,"
acceptabelt,"acceptably,"
accept,"acceptance,"
accepterande,"acceptance,"
anammande,"acceptance,"
godtagande,"acceptance,approval,"
vedertagen betydelse,"acceptation,"
accepté,"accepte,"
allmänt vedertagen,"accepted,"
antagen,"accepted,"
accepterad,"accepted,current,established,"
accepting,"acceptera,"
accept,"acceptera,godta,antaga,anta,mottaga,emottaga,inse,godtaga,anamma,"
accepts,"acceptera,godta,antaga,anta,mottaga,emottaga,inse,godtaga,anamma,"
accepted,"accepterad,allmänt vedertagen,antagen,"
accepte,"accepté,"
tillträde,"access,entry,admission,entrance,entree,admittance,accession,ingress,intromission,"
åtkomlig,"accessible,reachable,attainable,get-at-able,come-at-able,"
tillbehör,"accessories,fittings,gadget,implement,attachment,appendage,paraphernalia,fixings,appurtenance,pertinence,"
accessoarer,"accessories,furnishings,"
olyckshändelse,"accident,"
olycka,"accident,misfortune,disaster,bad luck,ill luck,unhappiness,misery,mischance,crash,affliction,calamity,wretchedness,woe,infelicity,"
hasardartad,"accidental,"
tillfälligt förtecken,"accidental,"
olyckor,"accidents,"
acklamation,"acclamation,"
bifallsrop,"acclamation,"
acklimatisera,"acclimatize,acclimate,season,"
ackommodera,"accommodate,"
inrymma,"accommodate,grant,"
rymma,"accommodate,hold,escape,contain,take,stow,admit,carry,seat,run away,elope,desert,abscond,flit,"
jämka,"accommodate,move,"
tillmötesgå,"accommodate,oblige,"
ackommodation,"accommodation,"
förläggning,"accommodation,location,"
logi,"accommodation,lodging,quarters,shelter,"
beledsagning,"accompaniment,concomitance,"
ackompanjemang,"accompaniment,vamp,backing,descant,"
ackompanjera,"accompany,"
åtfölja,"accompany,attend,attend on,follow,"
beledsaga,"accompany,companion,follow,attend,"
medbrottsling,"accomplice,complice,accessory,confederate,party,accessary,"
fulländad,"accomplished,consummate,finished,essential,ideal,"
fullbordande,"accomplishment,fulfillment,fulfilment,consummation,"
fint sätt,"accomplishments,"
vara ense,"accord,agree,"
stämma överens,"accord,suit,fit,cohere,coincide,consist,"
enlig,"accordant,"
accordin',"accordin ',"
accordin ',"accordin',"
alltefter,"according to,"
jämlikt,"according to,"
enligt,"according to,under,pursuant to,as per,after,on,to,"
i enlighet därmed,"accordingly,"
dragspel,"accordion,"
handklaver,"accordion,"
göra reda för,"account for,"
vara en förklaring till,"account for,"
redovisa,"account for,give an account,"
redogöra för,"account for,report on,give an account of,"
räkenskap,"account,"
konto,"account,charge account,konto,"
anse som,"account,esteem,"
referat,"account,report,"
redogörelse,"account,statement,report,exposition,"
ansvarighet,"accountability,liability,responsibility,"
bokförare,"accountant,bookkeeper,"
bokföring,"accounting,bookkeeping,accountancy,"
handelsräkning,"accounts,commercial arithmetic,"
mundering,"accoutrement,kit,"
ackreditera,"accredit,open a credit for,"
ackreditering,"accreditation,"
ackrediterad,"accredited,"
allmänt antagen,"accredited,"
växa till,"accrete,"
växa ihop,"accrete,knit,"
hopväxning,"accretion,"
tillväxa,"accrue,"
tillfalla,"accrue,fall to,fall on,pass on to,pass to,"
ackumulera,"accumulate,"
samla på sig,"accumulate,"
hopa sig,"accumulate,aggregate,crowd,"
hopa,"accumulate,heap up,amass,aggregate,cumulate,"
ackumulation,"accumulation,"
anhopning,"accumulation,accretion,piling up,jam,collection,"
hopande,"accumulation,aggregation,"
ackumulator,"accumulator,"
akribi,"accuracy,"
exakthet,"accuracy,precision,exactitude,exactness,veracity,fidelity,truth,"
