Word,Meaning
i ferd-busy,ferd
i.e.,lage
lang) color,brytning
oppkalt etter) named after,kalle opp etter
skog),skau
with seg) be/feel ashamed,skamme
å by) to bid,by
ware,"-tøy, -varer"
wise,-messig
a,"et, en"
a bit,"en smule, litt"
a bout,omgang
a clean slate,rent rulleblad
a cold (sickness),forkjølelse
a cozy person,kosedyr
a drunk,fyllik
a few,noen få
a grasp,fatt
a grip,fatt
a lot,"mange, mye"
a matter of form only,proforma
a pet toy,kosedyr
a push,dytt
a remote spot,avkrok
a right angle,"vinkelrett, rett vinkel"
a round,omgang
a set,sett
a shopping spree,handlerunde
aback,"bakk, mar"
abacus,kuleramme
abaft,akter
abandon,"oppgi, forlate"
abandoned,"løssluppen, forlatt"
abandonment,oppgivelse
abash,gjøre skamfull
abate,"forringe, minske"
abatement,"minking, reduksjon"
abbess,abbedisse
abbey,abbedi
abbot,abbed
abbreviate,forkorte
abbreviation,forkortelse
abdicate,frasi seg
abdication,frasigelse
abdomen,"underliv, mave, buk"
abdominal,"buk-, underlivs-"
abdominal cavity,bukhule
abduct,"bortføre, kidnappe"
abduction,"bortføring, kidnapping"
abductor,"bortfører, kidnapper"
aberration,"villfarelse, avvik"
abet,hjelpe
abeyance,uavgjorthet
abhorrence,vemmelse
abhorrent,"avskyelig, vemmelig"
abide,"stå, holde fast ved, avvente"
ability,dyktighet
abject,ynke
able,dyktig
able to,i stand til
ablebodied,"arbeidsfør, kraftig"
abnormal,abnorm
abnormality,abnormitet
aboard,om bord
abolish,"inndra, avskaffe"
abominable,avskyelig
abomination,"avskyelighet, avsky"
aboriginal,opprinnelig
aborigines,urinnbyggere
abort,abortere
abortion,"abort, misfoster"
abortive,mislykket
about,"i nærheten, omkring, ved, circa, omtrent, om"
above,"over, oppe, ovenpå, ovenfor, mer enn"
above all,"fremfor alt, først og fremst"
abrasive,selvheftende
abreast,side om side
abridge,"forkorte, sammendra"
abridgement,"utdrag, forkortelse"
abroad,"utenfor, utenlands"
abrupt,"plutselig, bratt"
abscess,"svulst, byll"
abscond,"stikke av, rømme"
absence,"mangel, fravær"
absent,fraværende
absent minded,distrè
absorb,absorbere
absorbed in (with seg),fordype
abstract,referat
abundance,"overflod, rikelig"
abundant,fyldig
abuse,"skjelle ut, misbruk, misbruke"
abyss,avgrunn
academic,"akademiker, akademisk"
accede to,"etterkomme, imøtekomme"
accelerator,akselerator
accelerator pedal,gasspedal
accent,"tonefall, brytning, uttale, aksent"
accentuate,"fremheve, betone"
accentuation,"betoning, aksentuering"
accept,"godta, ta imot, innforstått, godkjenne"
acceptable,akseptabelt
acceptance,godtagelse
accepted,"godkjent, godtatt"
acceptor,akseptant
access,"adgang, tilgang"
accession,"tiltredelse, tilgang"
accessories,tilbehør
accessory,"medskyldig, ekstra"
accident,ulykke
acclamation,bifallsrop
accommodate,"imøtekomme, tilpasse"
accommodation,avtale
accompany,ledsage
accomplish,"fullføre, greie"
accord,"samsvar, innvilge, enighet, forsone"
accordance,overensstemmelse
according to,ifølge
accordingly,følgelig
accordion,trekkspill
account,"konto, regning, skildring"
accountable,ansvarlig
accountant,"revisor, bokholder"
accountbook,regnskapsbok
accounts,regnskap
accredit,akkreditere
accredited,anerkjent
accumulate,"samle, hope seg opp"
accumulation,opphopning
accumulator,akkumulator
accuracy,nøyaktighet
accurate,nøyaktig
accusation,anklage
accuse,anklage
accuser,anklager
accustom,venne
accustomed,"vanlig, vant"
ace,ess
ache,verke
achieve,"vinne, fullføre, utrette"
achievement,"dåd, bedrift, fullføring"
achored in,forankret
acid,"sur, syre"
acid rain,sur nedbør
acidity,surhet
acidulous,syrlig
acknowledge,"erkjenne, bekrefte, innrømme"
acknowledgement,"innrømmelse, anerkjennelse, erkjennelse"
acoustics,akustikk
acquaint,gjøre kjent
acquaintance,"bekjentskap, kjenning, bekjent"
acquire,"innhente, erverve, oppnå"
acquirement,ervervelse
acquisition,ervervelse
acquit,frikjenne
acquittal,frikjenning
acreage,flateinnhold
across,tvers over
across from,mot
act,"handle, gjerning, lov, spille, akt, handling"
acting,"spill, handling"
action,"gjerning, prosess, inngripen, handling"
activated,aktivert
active,"virksom, aktiv"
activity,"aktivitet, virksomhet"
activity pack,aktivitetspakke
actor,skuespiller
actress,skuespiller
actual,"virkelig, reell, faktisk"
acute,"gløgg, skarp"
ad,annonse
adamant,"ubøyelig, steinhard"
adapt,"tilpasse, bearbeide"
add,"legge til, addere, skyte inn, tilsette, knytte"
add to,supplere
added,innskutt
addict,"misbruker, avhengig"
addicted,avhengig
addiction,avhengighet
addictive,avhengighetsskapende
addition,"tilføyelse, addisjon"
additive,tilsetning
address,"henvende, adresse, tiltale, henvendelse"
addressed,henvendt
adequacy,tilstrekkelighet
adequate,"tilstrekkelig, passende"
adhere,henge fast
adherent,tilhenger
adhesive tape,limbånd
adieu,"farvel, ha det, adjø"
adios,ha det
adjacent,"nærliggende, tilstøtende"
adjoining,nærliggende
adjourn,"heve, utsette"
adjunct,"tillegg, medhjelper, tilleggs-"
adjust,instille
adjustment,instilling
administer,"forvalte, administrere, styre"
administration,forvaltning
administrative,administrativ
administrator,forvalter
admire,beundre
admiring,tilbedende
admissible,tillatelig
admission,"innrømmelse, adgang, innleggelse"
admission fee,inngangspenger
admit,innrømme
admonish,"formane, påminne"
ado,larm
adolescence,oppvekst
adolescent,halvvoksen
adopt,innta
adorable,bedårende
adoring,tilbedende
