Word,Meaning
maasika,aardvark
sivettihyeena,aardwolf
aaronin,Aaronic
manilla,abaca
taaksepäin,aback
merikorva,abalone
luopua,abandon
hylätty,abandoned
hylkääminen,abandonment
nöyryyttää,abase
masennettuina,abased
alennustila,abasement
saattaa hapeamaan,abash
hämillään,abashed
emäksetön,abasic
hillitä,abate
torjunta,abatement
teurastamo,abattoir
apotin arvo,abbacy
abbedissan,abbatial
abbedissa,abbess
luostarikirkko,abbey
apotti,abbot
lyhentää,abbreviate
lyhenne,abbreviation
luopua,abdicate
kruunusta luopuminen,abdication
vatsa,abdomen
vatsa-,abdominal
laparoskopinen,abdominoscopy
loitontava,abducent
ryöstää,abduct
sieppaus,abduction
naisenryöstäjä,abductor
poikittain,abeam
aakkosellinen,abecedarian
vuoteenomana,abed
abelin,Abelian
poikkeavuudelle,aberrancy
poikkeuksellinen,aberrant
poikkeama,aberration
yllyttää,abet
avunanto,abetment
yllyttäjä,abettor
ratkaisun viipyminen,abeyance
kammoksumme,abhor
kammo,abhorrence
vastenmielinen,abhorrent
asua,abide
noudattaville,abiding
abietiini,abietic
abieser,Abiezer
kyky,ability
eloton,abiotic
viheliäinen,abject
alennustila,abjection
säälittävää,abjectly
halpamaisuudessa,abjectness
luopua jstk valallisesti,abjure
ablaatio,ablation
ablatiivi,ablative
lämmönsuojuksen,ablator
ilmiliekeissä,ablaze
pystyy,able
kyvykkäimmistä,ablest
puhdistautuminen,ablution
taitavasti,ably
kieltäymys,abnegation
poikkeava,abnormal
poikkeavuus,abnormality
poikkeuksellisen,abnormally
epämuodostuma,abnormity
alkuasukas,Abo
laivaan,aboard
asunto,abode
lakkauttaa,abolish
lakkauttamista,abolishment
poistaminen,abolition
vastustamisesta,abolitionism
neekeriorjuudestustaja,abolitionist
juoksutusmahaa,abomasum
iljettävä,abominable
inhota,abominate
inhottavuus,abomination
että ulkomailla,aborad
aboriginaalien,aboriginal
alkuasukas,aborigine
keskeyttää,abort
epäonnistunut,aborted
keskenmenon,abortifacient
abortti,abortion
sikiönlähdettäjä,abortionist
epäonnistunut,abortive
runsaasti,abound
innokkaat,abounding
noin,about
edellä,above
rehellinen,aboveboard
maanpäälliset,aboveground
simsalabim,abracadabra
hiertää,abrade
hankauslaite,abrader
abrahamin,Abrahamic
hiertymä,abrasion
hiova,abrasive
rinnakkain,abreast
lyhentää,abridge
lyhennetty,abridged
