English,Other
...is provided for in the budget,د...په پودِجې كې اټكل شوى دى
(chancellor of)the exchequer,دخزانې وزير په بريتانيا كې دمالي چارو مسوول دى.(بر)دماليې وزير،دخزانې وزير دخزانې وزير په بريتانيا كې دمالي چارو مسوول دى.(بر)دماليې وزير،دخزانې وزير
(compulsory)military service,جبري عسكري خدمت
(french)foreign legion,(فرانسوي)بهرنى غونډ،دفرانسې په پوځ كې دخدمت لپاره دبهرنيورضاكاروسرتېروغونډ
(gmt),نړيوال وخت
(high) ranking officials,جګپوړي مقامات – صاحب منصبان
(in)public service,دخلكو خدمت(دخلكوپه خدمت كې)
(see)which way the cat jumps (informal),دمقابل لورې غبرګون سنجول،ديوې چارې اړخونه سنجول
€communist international bureau(1947-1956),د کمونستانو نړۍ واله مؤسسه
10 downing street,دبريتانيا دلومړي وزيراستوګنځى او د كابينې دغونډو ځاىدبريتانيا دلومړي وزيراستوګنځى او د كابينې دغونډو ځاى
2-d,۲-ډ
3-d,۳-ډ
3-d area,۳-ډ سيمه
3-d bar,۳-ډ پټه
3-d column,۳-ډ ستن
3-d effect,۳-ډ اغېز
3-d line,۳-ډ ليكه
3-d pie,۳-ډ ګردۍ
3-d reference,۳-ډ اخځ
3-d style,۳-ډ ډول
3-d surface,۳-ډ مخ
3-d walls and floor,۳-ډ دیوالونه او چت
3des,3DES
3rd party,۳م ګړى
8-bit color,8-بایټه رنګ
802.1x,802.1X
a,دانګليسي ژبې دالفبا لومړی توری
a barrage of propaganda,تبليغاتي وينا
a biter,منځګړى،حَكَم
a company business must have capital.,تجارتي شِركت بايد پانګه ولري
a couple of days ago,يو-دوه ورځې مخكې
a fresh wave of riots,دبلواوو تازه څپه،داړودوړنوې څپه
a landmark court decision,دمحكمې داسې مهمه فيصله چې په راتلونكي وخت كې ورباندې استناد وشي
a large vote was polled for president,زياتې رايې ولسمشرترلاسه كړې
a man of the people,دخلكوخوښ شخصيت،پرخلكوګران شخصيت
a network of international traffickers,دنړيوالوقاچاق وړونكيوشبكه
a person of good/high standing,دښه نوم اوشهرت خاوند،دمقام اورتبې|لرونكى،نامتو،مخور،نوميالى
a rule no longer in operation,منسوخ قانون
a stitch in time,په وخت اقدام،ديوې پېښې تركېدووړاندې مخنيوى
a torpedo-boat,توغندى ويشتونكى
aa,AA
aal,AAL
aback,بيرته ، شاته
abandon,خوشى كول، پرېښودل، له ټولوادعاوڅخه تېريدل.
abandon all hopes,لاس مينځل ، تمه نه کول ، نهيلي کېدل
abandoned,متروك، لنډه غر، فاسد
abandonee,پريښودل شوى وي. متروك له، هغه څوك چه يوه خرابه دبيمى په صورت ور
abandonment,پرېښودنه، ترك
abase,ټيټول، رټل سپكول
abased,ټيټ شوى، سپك شوى
abasement,سپكوالى ټيټوالى .
abash,شرمول ، ناارامه كول ، اريانول
abash less,بى شرمه
abashment,شرمندګي
abassador at large,د يوۀ سفير لويه (يا اصلي) دنده دا ده چې دخپل هيواد او هغه هيواد تر منځ اړيکې پراخي (غښتلي) کړي چي دی پکښي سفير دی)ګرځنده سفير،آزاد سفير
abassador extraordinary,فوق العاده سفير
abassador plenipotentiary,تام الاختيار سفير
abassador with plenary power,تام الاختيار سفير
abate,(ج) ( دقانونى وارث څخه پخوا ) يوشى نيول، غصبول. ( شمير ): (اندازه )، ټيټول ( درجه، رتبه )
abatement,غصب، نيونه. لږ ونه، ټيټونه،(ح) دميراث داندازى ) لږول.
abaxial,له محورڅخه ليرى .
abbess,ساتونکی ، امر (مو)
abbey,لنګر (خانقاه)، دير، صومعه
abbot,دصومعی ، مشردخانقا
abbreviate,لنډول، وړوكى كول ، تلخيص، مخفف كول .
abbreviation,لنډيز، اختصار، مخفف
abc weapons,اتومي –بيالوژيكي اوكيميايي وسلې
abdicate,پريښودل (په رسمي توګه): خلع کول(دځان يابل) لاس اخيستل، لاس لنډول
abdicate power,له واك يا قدرته څنګ ته كېدل،واك لېږدول،واك انتقالول
abdication,ګوښه کېدنه ، لاس لنډونه ، لاس اخيستنه
abdomen,نس ، خيټه ، ګيډه
abduct,تښتول،برمته كول،يرغملول ، د چا د غوښتنې خلاف څوک ايسارول
abduction,تښتونه، اختطاف ( جر) دزخم يا كسر څخه وروسته دجسم دځينو برخو بيلول: دغړو ( يو له بل څخه ) دجلا كېدو فعاليت.
abecedarian,ابجد ته منسوب : ابجد ويونکي : دالفباپه ترتيب : ( امر ) مبتدي زده کونکی : دالفبا ښوونکی .
abed,په بستره کې
aberrate,بې لارې کيدل : سمه لار پريښودل
aberration,(له سمې طبيعي معمولي لارې څخه) كږېدل: ذهني انحراف.
abet,پارول ( بدوکاروته ): مرسته کول ( په بدوکارو کښې ): لمسول .
abeyance,ټال ، ځنډ ، ډيل
abeyant,ځنډيدلی ، ټال شوی .
abhor,کرکه کول، بدوړل ، وېرېدل ( له کوم شي څخه ).
abhorrence,کرکه ، ډډه کول ، وېره.
abhorrent,كركجن
abid by,ژمن پاته كېدل،كلك درېدل
abide,اوسېدل، پاتې كېدل ( پرځاى ): زغمل: مخامخ كېدل
abide by /keep one’s promise,پرخپله ژمنه درېدل،ژمنه پوره كول
abide by one’s words,پرخپله ژبه درېدل
abide by regulations,دقانون پيروي كول،له قانون سره سم چلېدل،مقررات|رعايتول
abide by the rules,مقررات رعايتول
abider,ولاړ ( پرخپلې خبرې عمل ).
abiding popularity,تلپاتى شهرت – محبوبيت
ability,وړوالى: توان، مهارت،قابليت.
abject,ټيټ، خوار، رټلى،سپك.
abjure,په لوړه پرېښودل م، سوګند): دنه منلو لوړه كول ( د).
abjure citizenship,تابعيت پرېښودل،تابعيت بدلول
ablation,ايسته كول: پرې كول: له منځه وړل.
ablative,(ګر) جرى (حالت) لكه كاله ته، له كاله څخه، په كاله كښې.
ablaze,ځلاند لګېدلى ( په اور ): مشتمل.
able,وړ، تكړه،قابل.
able-bodied,قوي، روغ ( جسماً).
abloom,دغوړېدلو په حال كې: پرغوړېدو (ګل ).
ablush,دخجالت په حال كې، سور( له خجالت څخه ): شرمنده.
ablution,اودس، غسل، دخاصو مراسمو دپاره دځان پرولل.
abnegate,انكار كول، پرېښودل.
abnegation,انكار، ځان هيرونه.
abnegator,منكر: ځان هيروونكى.
abnormal,غير نور مال، بې قاعده،غير طبيعي، غير عادي.
abnormality,بې قاعده ګي.
abnormally,په غير طبيعي توګه
aboard,په ( بېړۍ، اورګاډى، الوتكه ) كې يا باندې.
abolish,له منځه وړل، لغوكول.
abolitionist,دهر شي په تېره بيا دمرييتوب دلغو كولو پرخوا.
abominable,كركجن.
abominate,كركه كول: ډېربدوړل.
abondon,خوشي کول ، پريښودل ، له ټولو ادعاوڅخه تېريدل
abondonment,پريښودنه ، ترک
aboral,( د) له خولې څخه ليرى.
aborigines,پخوانى اوسېدونكى ( ديوې سيمې )، اصلي، لومړنى، بومي.
abort,وتن
abortifacient,داولادزيانولو عامل.
abortion,(طب) بې وخته زيږېدنه، دحامله توب په لومړيو درومياشتو كې
abortive,پخواله وخته زېږېدلى: ناكام: نيمګړى: له ودې لوېدلى: شنډ.
abortive attack,ناكامه حمله ،نكام بريد
abortive attempt,ناكام بريد(دچا دوژلو)
abortive coup,ناكامه كودِتا
abortive coup(d’etat),ناكامه كودتا
abortive mission,دتخنيكي ستونزې له امله دفضانوردانوماموريت(سفر) ناكام ؤ.ناكام ماموريت
abound,پرپيمانه، زښت، ډېر، ( پيداكېدل ).
abounding,پرېمانه، ډېر، كوټه.
about,په اړه
above,پورته ( له ): پاس ( تر): لوړ ( له ) ( په درجه، مقدار، شمېر او ارزښت كې ).
above mentioned,پاس يادشوى، پروتنى.
above named,نوموړى
aboveboard,څرګند، په ډانګ پېيلى: بې پلمې.
abrade,موښل، سولول، ګرول، توږل، شو كاريكول.
abrasion,سولونه، ګرونه، توږنه.
abrasive,هغه شى چې دموښلو سولولو،ګرولو او توږلو دپاره استعمالېږي لكه دتېغ دتيره كولو څرخ.
abreast,په كتار_ په يوه ليكه ( چه مخونه يې يوې خواته وي ): څنګ پرڅنګ.
abridge,لنډول، لږول، نيمګړى كول.
abridgement,لنډيز، لنډون، لږوالى، لږونه.
abroad,په پراخه سيمه (كې): به، په سارا: له كوره دباندې: باندنى هيواد (كې، ته).
abrogate,لغو كول: له منځه وړل: منسوخ كول.
abrogation,لغو كونه: له منځه وړنه باطلونه.
abrogation of a treaty,دتړون فسخه يا الغا
abrogator,باطلوونكى: له منځه وړونكى.
abrupt,ناڅاپه، ناببره، يوه ناڅاپه، مخ په ځوړ، ناڅاپې ( بدلون ).
abruption,ناڅاپي ( پرې كېدنه، بېلېدنه ).
abruptly,ناڅاپه، ناببره، په ستغه لهجه.
abscess,دانه، ښنځه، ښنځكۍ، دوجود په كومه يوه برخه كې دزوو ( نو) ټولېدنه.
abscond,تښتېدل اوپټېدل ( په تيره بياله قانون څخه ).
absence,غيرحاضرى، وركه،نشتوالى.
absence of right,دحق نشتوالى،ناحق والى
absent,غير حاضر، ورك، نشت.
absent without leave(awol),ناسوبتيا،غير حاضري
absentee,ورك، بې پتې، غايب.
absentee ballot,غيرِحُضوري رايپاڼه(د هغوكسانو لپاره چې دپُستې له لارې رايې وكوي)
absentee vote,ناحضوري رايه(دپُستې يا له بلې لارې)
absentee voter,غيابي راى وركوونكى،ناحاضره راى وركوونكى
absentee voting,غيابي رايه وركول
absentminded,بې پامه، هير جن، چورتي.
absolute,بشپړه، پوره، بې حده، مطلق: يقيني او مثبت، بوب ( خالص ) اّّزاد ( دنورو شيانو له قيد او ارتباط څخه ): قايم بالذات.
absolute authority,مُطلق واك
absolute cell reference,د خوني نږه اخځ
absolute link,نږه پیوند
absolute majority,مطلق اكثريت ،بشپړاكثريت مطلق اكثريت دا دى چې د مقننه جرګې د ټولوغړيوترنيمايي زيات وي.مطلق اكثريت(چې ترنيمايي يوزيات وي)
absolute monarchy,مطلقه سلطنت،ټولواكي
absolute positioning,نږه ځایونه
absolute power,مطلق واك،بشپړواك
absolute privilege,بشپړ مصونيت،بشپړخونديتوب
absolute reference,نږه اخځ
absolute url,نږه URL
absolute zero,مطلق صفر يعنې ( ٢٧٣-) درجې سانتي ګريد.
absolutely,بشپړه- په يقيني او قطعي صورت، په مطلق ډول، بېخي.
absolutism,هغه تيورى چې حاكم دمطلق واك څښتن بولى.
absolutist,دټولواكۍ ( مطلقيت ) پرخوا.
absolve,بخښل ( دچاګناه، چاته پور): خلاصول ( له تور څخه: معافول.
absorb,زغمل ( لكه سپنج چي اوبه زغمي: جذبول: حل كول ( په ځاى كې ) نېول ( وخت ): اړول ( پام ).
absorbed,زغملى: جذب شوى: نيولى ( وخت ): اوښتى ( پام ).
absorbent,جذبوونكى ( درطوبت اوبو، رڼا…
absorbing,په زړه پورې.
absorption,زغمېدنه: حل كېدنه: توجه اوښتنه.
abstain,ډډه كول ( له ): لاس اخيستل ( له ).
abstain from voting,له راى وركولوډډه كول،سپينه رايه وركول، رايه نه وركول
abstainer,لاس اخيستونكى ( په تيره له شرابو څخه )
abstemious,اعتدال ساتونكى ( په خوراك او څښاك كې ).
abstemiously,په اعتدال: په امساك.
abstemiousness,اعتدال اوسوګتى ( په خوراك او څښاك كې ).
abstention,ډډه كول: دممتنعې راى وركول.
abstentionist,په سياسي چارو كې د بې پلويتوب پلوى،ممتنع
abstinence,لاس اخيستنه: ډډه كول.
abstinent,ځان ساتونكى ( له كوم خوند، هوس څخه ): پرهېزګار.
abstinently,دپرهېز په توګه
abstract,مجرد، ذهني ( چه په طبيعت كي موجود نه وي لكه هندسې شكلونه ). خلاصه، لنډيز لېرې كول: بيلول: تجريدول: خلاصه كول ( فل ) تجرېدول ( لكه ديوه شي دخصوصي مواردو له كتنې څخه وروسته دهغه په باب ديوه عام مفهوم وروسته دهغه په باب ديوه عام مفهوم قايمول ).
abstracted,بېل شوى، ګوښى شوى.
abstraction,بېلونه: تجريد، بېلېدنه.
abstruse,پېچلى، نغښتى (كلام): پېچلى ( چې پوهېدل يې ګران وي ).
abstrusely,په پېچلي ( توګه ).
abstruseness,پېچلتوب ( دكلام )
absurd,چټي، پوچ، بې معنى، مبتذل.
absurdity,چټې توب، پو چوالى،او.
absurdly,په نامعقولۍ: په بې ربطۍ: په چټي ( توګه ).
absurdness,بې ربطې: ابتذال.
abundance,پريماني، ډېرښت
abundancy,زياتوالى، پريماني.
abundant,زيات، ډېر، خوراډېر.
abundantly,پرېمانه
abuse,ناوړه استعمال، ناوړه، ناجايزه، ښكنځا: ګټه، ټګي، غولونه، ژوبلونه، تېرى. ناوړه او بېځايه استعمالول ناوړه ګټه كول ( له ): ټګي كول ( په اعتماد كې ): تېر ايستل: تېرى كول.
abuse of human rights,دبشري حقونوتېرى –سرغړونه
abuse of power,له واكه ناوړه استفاده،واك اواختيار ناسم كارول
abuse one’s power,له واك يا اختياره ناوړه كار اخيستل
abusive,ناوړه
abusive terms,سپكوونكي الفاظ،سپكې سپورې
abusive use of authority,له واكه ناوړه استفاده
abusively,غولوونكى: تېرى كوونكى په ناوړه توګه.
abusiveness,بېځايه، له ټګي ډك
abut,تكيه كول ( په ): نښتل ( له ).
abutment,سره لګېدنه، هغه برخه چې په بل باندې تكيه وى: دتكيې ځاى.
abuttal,سرحد، وېش.
abysm,ډېر ژور: بې تله ( پايه ): بې حده ( ژور).
abysmal,ژور، بې حده ( ژور ) ناپايه.
abyss,بې حده ژور ډنډ، داوبو ګرځنى ( ګرداب ) : دوږخ: ډېر ژور: دسيند ژورې ( برخې ): نه اندازه كېدونكې كنده.
abyssal,بې تله: ناپايه
acacia,غز ( يو بوټى چې له لښتو څخه يې ټوكړى اودل كېږي ) غز( يوه ونه چې سرې لښتى لري ): اكاسي ( ونه ).
academic,داپلا تون فلسفې ښوونځى پورې مربوط: علمي، هنري ټولنې ته منسوب: شكاك: په علمي توګه: رسمي: نظري ( نه عملي ): اپلاتوني فيلسوف: دعلمي هنري ټولنې غړى.
academic exchange,علمي او كلتوري راكړې وركړېعلمي او كلتوري راكړې وركړې
academic freedom,د بحثونو او څېړنو آزادي
academist,اكاډمۍ غړى
academy,(لر) داپلاتون فلسفې ښوونځى: ټولنه (علمى، هنرى).
acce,زموږحكومت له تړون سره سلا شو(پرګدۍ)كښېناستل،سلاكېدل،موافقه كول
accede,رسېدل ( تخت، منصب، رتبې ته ): يوځاى كېدل ( له ): موافقت كول ( له ).
accede to/ascend/come to/mount/take the throne,پرګدۍ(دپاچهۍ)كښېناستل،پاچاكېدل،سلطنت ته رسېدل
acceder,موافقت.
accelerant,ګړندى كوونكى دګړنديتوب عامل.
accelerate,ګړندى كول: ګړنديتوب راوستل ( په تګ، پرمختګ، پېښدوكى ): سرعت وركول.
accelerate the efforts,هلې ځلې چټكول
acceleration,چټكونه
accelerator,ګړندېوال
accelerator key,چټكوونې كيلي
accent,خجنښه
accent acute,خج زور
