English,Other
corroborates,", apstiprina"
contemplates,", plāno"
prorated,", sadalīts"
cooperates,", sadarbojas"
abbot,abats
the abbot,abats
abyssinia,abesīnijā
both,abi
amphibian,abinieks
the subscription,abonements
subscription concert,abonements koncerts
subscriber,abonents
subscribed,abonējis
subscribe,abonēt
subscribe to,abonēt
subscription,abonēšana
subscribing,abonēšanas
aborigines,aborigēni
aboriginal,aborigēnu
abortion,aborts
miscarriage,aborts
the abortion,aborts
abortion pill,aborts pill
abound in,abound
double-edged,abpusēji griezīgs
two-edged,abpusēji griezīgs
abrasive,abrazīvs
abrasive material,abrazīvs materiāls
abbreviation,abreviatūra
absalom,absaloms
absentee rate,absentee likme
absentee landlord,absentee saimnieks
absentee ballot,absentee vēlēšanu
alumni,absolventi
alumnus,absolvents
graduate education,absolvents izglītība
graduated,absolvējis
graduated wage,absolvējis algu
graduated colour,absolvējis krāsa
graduated pension,absolvējis pensija
graduated deterrent,absolvējis preventīvs
graduate,absolvēt
absolute frequency,absolūtais biežums
absolute ceiling,absolūtais griesti
absolute loader,absolūtais iekrāvējs
absolute scale,absolūtais skala
absolute threshold,absolūtais slieksnis
absolute space,absolūtais telpa
absolutely,absolūti
absolutism,absolūtisms
absolute,absolūts
sheer,absolūts
absolute pitch,absolūts piķis
absolute majority,absolūts vairākums
absolute zero,absolūtā nulle
absolute-zero,absolūtā nulle
absolute alcohol,absolūtā spirta
absolute temperature,absolūtā temperatūra
absolute viscosity,absolūtā viskozitāte
absolute value,absolūtā vērtība
absorbency,absorbcija
absorption,absorbcija
absorption band,absorbcija band
absorbtion,absorbcijas
the absorbtion,absorbcijas
absorption coefficient,absorbcijas koeficients
absorption indicator,absorbcijas rādītājs
absorbing capacity,absorbcijas spēja
absorption unit,absorbcijas vienību
absorbs,absorbē
absorbent,absorbējošs
absorbing,absorbējošs
absorbent material,absorbējošs materiāls
absorbent cotton,absorbējošu kokvilnas
absorb,absorbēt
absorb-able,absorbēt-spējīgs
absorber,absorbētājs
abstraction,abstrakcija
book learning,abstraktas zināšanas
abstractly,abstrakti
abstract,abstrakts
transcendental,abstrakts
abstract thought,abstrakts doma
abstract noun,abstrakts lietvārds
abstract artist,abstrakts mākslinieks
abstract entity,abstrakts subjekts
abstract expressionism,abstraktā ekspresionisma
abstract art,abstraktā māksla
the absurd,absurda
absurdly,absurdi
absurd,absurds
absurdity,absurds
inept,absurds
nonsense,absurds
the absurdity,absurds
abu dhabi,abū dabī
acetaldehyde,acetaldehīds
acetyl,acetil
acetyl group,acetil grupa
acetyl radical,acetil radikāls
acetyl chloride,acetilhlorīdu
acetylene,acetilēns
the acetylene,acetilēns
acetylation,acetilēšana
acetate,acetāts
the acetate,acetāts
acetate disk,acetāts disks
acetate rayon,acetāts viskoze
acid tasting,acid degustācija
acid forming,acid formēšana
acid head,acid galva
acid dye,acid krāsviela
acid wash,acid mazgāšana
acid loving,acid mīlošs
acid precipitation,acid nokrišņi
acid hydrogen,acid ūdeņradis
acyclic,acikliskās
eyes,acis
meshes,acis
the acre,acre
acre foot,acre kāju
acrylic acid,acrylsāure
drooping,acs
eye,acs
mesh,acs
the eye,acs
eye socket,acs ligzda
drooping signal,acs signāls
mesh topology,acs topoloģija
eye bath,acs vanna
eyeball,acs ābols
aztec,acteku
eye specialist,acu
eye-servant,acu kalps
eyewash,acu komprese
eye liner,acu laineris
eye-liner,acu laineris
eye level,acu līmenī
eye blink,acu mirkšķināšanas
eye opener,acu nazis
eye-opener,acu nazis
eye catching,acu nozvejojot
eye sight,acu skatiena
eye-glance,acu skatiens
eye-shade,acu toni
eye up,acu up
eye tooth,acu zobu
eyeliner,acu zīmulis
eye shadow,acu ēnas
eye-shadow,acu ēnas
bystander,aculiecinieks
eyewitness,aculiecinieks
trice,acumirklis
twinkling,acumirklis
instantaneous death,acumirklīga nāve
axiomatically,acīm redzami
visibly,acīm redzami
demonstrated need,acīmredzamas vajadzības
manifestly,acīmredzami
patently,acīmredzami
apparently,acīmredzot
evidently,acīmredzot
obviously,acīmredzot
exerts,acīs
adhoc,ad hoc
ad noun,ad lietvārds
ad nominal,ad nominālā
ad sum,ad summa
adapter,adapteris
adaptation,adaptācija
the adaptation,adaptācija
adaptive,adaptīvā
needle,adata
needle man,adata cilvēks
needle work,adata darbs
needle shaped,adata formas
needle woman,adata sieviete
needle game,adata spēle
needle match,adata spēles
needle cord,adata vads
needles,adatas
the needle,adatas
adequately,adekvāti
adequate,adekvāts
adenosine,adenozīna
adenine,adenīns
adiabatic,adiabatiskā
adiabatic process,adiabātisks process
addis ababa,adisabeba
adjutant,adjutants
aide,adjutants
aide-de-camp,adjutants
adjutant general,adjutants vispārējā
administrator,administrators
receptionist,administrators
the administrator,administrators
administrative unit,administratīva vienība
administrative division,administratīvais iedalījums
administrative district,administratīvais rajons
administratively,administratīvi
administrative,administratīvs
administrative hearing,administratīvās tiesas sēde
administrative law,administratīvās tiesības
the administration,administrācija
administrated,administrē
administration of oath,administrēšana zvēresta
administrating,administrēšanas
admiralty,admiralitāte
admiralty board,admiralitātes board
admiralty mile,admiralitātes jūdze
admiralty law,admiralitātes likums
the admiralty,admiralty
admiral,admirālis
the admiral,admirālis
admiral nelson,admirālis nelsons
adobe house,adobe māja
adoptee,adoptētais
adoptive,adoptēts
adoptive parent,adoptētāja
adopter,adoptētājs
adrenaline,adrenalīns
address,adrese
the address,adrese
