Word,Meaning
aardvark,maasika 
aardwolf,sivettihyeena 
aaronic,Aaronin 
abaca,manilla 
aback,taaksepäin 
abalone,merikorva 
abandon,luopua 
abandoned,hylätty 
abandonment,hylkääminen 
abase,nöyryyttää 
abased,masennettuina 
abasement,alennustila 
abash,saattaa hapeamaan 
abashed,hämillään 
abasic,emäksetön 
abate,hillitä 
abatement,torjunta 
abattoir,teurastamo 
abbacy,apotin arvo 
abbatial,abbedissan 
abbess,abbedissa 
abbey,luostarikirkko 
abbot,apotti 
abbreviate,lyhentää 
abbreviation,lyhenne 
abdicate,luopua 
abdication,kruunusta luopuminen 
abdomen,vatsa 
abdominal,vatsa- 
abdominoscopy,laparoskopinen 
abducent,loitontava 
abduct,ryöstää 
abduction,sieppaus 
abductor,naisenryöstäjä 
abeam,poikittain 
abecedarian,aakkosellinen 
abed,vuoteenomana 
abelian,Abelin 
aberrancy,poikkeavuudelle 
aberrant,poikkeuksellinen 
aberration,poikkeama 
abet,yllyttää 
abetment,avunanto 
abettor,yllyttäjä 
abeyance,ratkaisun viipyminen 
abhor,kammoksumme 
abhorrence,kammo 
abhorrent,vastenmielinen 
abide,asua 
abiding,noudattaville 
abietic,abietiini 
abiezer,Abieser 
ability,kyky 
abiotic,eloton 
abject,viheliäinen 
abjection,alennustila 
abjectly,säälittävää 
abjectness,halpamaisuudessa 
abjure,luopua jstk valallisesti 
ablation,ablaatio 
ablative,ablatiivi 
ablator,lämmönsuojuksen 
ablaze,ilmiliekeissä 
able,pystyy 
ablest,kyvykkäimmistä 
ablution,puhdistautuminen 
ably,taitavasti 
abnegation,kieltäymys 
abnormal,poikkeava 
abnormality,poikkeavuus 
abnormally,poikkeuksellisen 
abnormity,epämuodostuma 
abo,Alkuasukas 
aboard,laivaan 
abode,asunto 
abolish,lakkauttaa 
abolishment,lakkauttamista 
abolition,poistaminen 
abolitionism,vastustamisesta 
abolitionist,neekeriorjuudestustaja 
abomasum,juoksutusmahaa 
abominable,iljettävä 
abominate,inhota 
abomination,inhottavuus 
aborad,että ulkomailla 
aboriginal,aboriginaalien 
aborigine,alkuasukas 
abort,keskeyttää 
aborted,epäonnistunut 
abortifacient,keskenmenon 
abortion,abortti 
abortionist,sikiönlähdettäjä 
abortive,epäonnistunut 
abound,runsaasti 
abounding,innokkaat 
about,noin 
above,edellä 
aboveboard,rehellinen 
aboveground,maanpäälliset 
abracadabra,simsalabim 
abrade,hiertää 
abrader,hankauslaite 
abrahamic,Abrahamin 
abrasion,hiertymä 
abrasive,hiova 
abreast,rinnakkain 
abridge,lyhentää 
abridged,lyhennetty 
abridgment,lyhennelmä 
abrin,abriini 
abroad,ulkomailla 
abrogate,kumota 
abrogation,kumoamista 
abrogator,Abrogatorille 
abrupt,äkillinen 
abruptly,äkillisesti 
abruptness,jyrkkyyttä 
abscess,paise 
absciss,-tys 
abscissa,abskissa 
abscissae,abskissoja 
abscond,livistää 
