English,Other
future,{adj} آت
peccant,{adj} آثم
unrighteous,{adj} آثم
athenian,{adj} آثيني
monotone,"{adj} آحادي النغم, آحادي الصوت, روتيني"
another,"{adj} آخر, ثان"
else,"{adj} آخر, ثان"
other,"{adj} آخر, ثان"
human,"{adj} آدمي, بشري, إنساني"
aryan,{adj} آري هندي
azotic,{adj} آزوتي
enthralling,{adj} آسر
sorry,"{adj} آسف, متأسف, مؤسف, حزين, مثير للشفقة, أسف"
asiatic,{adj} آسيوي
pedigreed,{adj} آصل
necrophagous,{adj} آكل الجيف
ichthyophagous,{adj} آكل للأسماك
anthropophagic,{adj} آكلي لحوم البشر
instrumental,"{adj} آلاتي موسيقي, مساهم, ذرائعي, واسطي, وسيلي"
power driven,{adj} آلي
self acting,"{adj} آلي, ذاتي الفعل"
powered,"{adj} آلي, قوي, ضعيف"
commanding,"{adj} آمر, مسيطر, مشرف ( على ), متسلط"
safe,"{adj} آمن, موثوق, مأمون, سالم, متين, حذر, غير مؤذ, واثق, مطمئن"
obsolescent,"{adj} آيل إلي القدم, آيل إلي الزوال"
amputated,{adj} أبتر
tailless,{adj} أبتر
childless,{adj} أبتر لا أولاد له
alphabetical,"{adj} أبجدي, مرتب حسب الحروف الأبجدية"
perpetual,"{adj} أبدي, دائم, ثابت, دائم الازهار"
indestructible,"{adj} أبدي, غير قابل للأتلاف, غير قابل للتخريب"
incessant,"{adj} أبدي, متواصل, مستمر"
endless,"{adj} أبدي, موت, مؤبد"
diocesan,{adj} أبرشي
parishional,{adj} أبرشي
ulterior,"{adj} أبعد, خفي, تال"
piebald,{adj} أبقع
foxed,{adj} أبقع ملطخ ببقع
dumb,"{adj} أبكم, أخرس, مغفل, أعجم, صامت"
voiceless,"{adj} أبكم, صامت"
speechless,"{adj} أبكم, صامت, اخرس"
feeble minded,{adj} أبله
goofy,"{adj} أبله, أحمق"
screwed,"{adj} أبله, ثمل"
gaga,"{adj} أبله, ساذج"
imbecile,"{adj} أبله, معتوه, مخبل"
apocryphal,{adj} أبو كريفاوي
fatherly,{adj} أبوي
spearing,{adj} أبوي
paternal,"{adj} أبوي, موروث من الأب, من جهة الأب"
parental,"{adj} أبوي, والدي"
