Word,Meaning
خرسومبه,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
لېښۍ,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
ونکه,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
رواش,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
ریى,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
سخارېل,"(Botany) rhubarb, any of several varieties of edible plant from the genus Rheum (used as a food and medication)"
ګلګون,"(Botany) rose, pink, rose colored, roseate"
شيرچايي,"(Botany) rose, pink, rose colored, roseate"
ګلابي رنګه,"(Botany) rose, pink, rose colored, roseate"
جړه,"(Botany) rose, pink, rose colored, roseate"
سورکوکو,"(Botany) rose, pink, rose colored, roseate"
ګل ګلاب,"(Botany) rose, pink, rose colored, roseate"
ګل ګلاپ,"(Botany) rose, pink, rose colored, roseate"
ګلاب,"(Botany) rose, pink, rose colored, roseate"
ګلابي رنګ,"(Botany) rose, pink, rose colored, roseate"
ګلابي,"(Botany) rose, pink, rose colored, roseatehairdresser, stylist, coiffure, barber"
جوټ,"(Cooking) chicken, broiler, fowl, (Slang) cop, police officer1: sad, upset, joyless, unhappy, disconsolate, dolorous, lachrymose, melancholy, sorrowful, funeral, mournful, wailful, sorry, weary, depressing, depressed, cheerless, distressing, dismal, forlorn, gloomy, grim, miserable, rueful, sullen, afflicted, stricken, desolate, distressed, afflicter, person who afflicts, one who causes suffering 2: vain, useless, worthless, futile, pointless, aimless, unavailing, wasted, wretched, unsuccessful 3: importune, inadvisable, interfering, intrusive, obtrusive, officious, unwelcome, intruder, borecounterpart, homologue, homologous"
چوزه,"(Cooking) chicken, broiler, fowl, (Slang) cop, police officerbabe, angel"
چغل,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers)"
چغلیګر,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers)"
چوغليګر,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers)"
سخن چين,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers)"
شموټګر,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers)"
چوغل,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers), informer, delator"
خبرڅاڼی,"(Derogatory Slang) informer, sneak, snitch, stool pigeon, cookie, file planted on a user's hard disk by an Internet site (Computers), informer, delator, telltale, taleteller, talebearer"
شليته,"(Derogatory Slang) prostitute, pig, slut, (derogatory) shrew, jade"
رندي,"(derogatory) craftiness, cunning, shrewdness"
کنجوس,"(derogatory) mean, miserly, skinflint, miser, tightwad, avaricious, grasping, greedy, mean, tightfisted, scant, skimpy, spare, stingy, curmudgeon, churl, hog (Slang)"
تورپوستکی,"(derogatory) nigger, (derogatory) negro"
تور پوستى,"(derogatory) nigger, (derogatory) negro"
زنګي,"(derogatory) nigger, (derogatory) negro"
اورنوسى,"(derogatory) old-fashioned, tasteless, rake"
منفعت جو,"(derogatory) profiteer, scrounger"
استفاده جو,"(derogatory) profiteer, scrounger,"
خوسابوی کول,"(derogatory) stink, reek, smell, stink"
ګرانېدل,(Figurative) become more expensive
دښت,"(Geography) steppe, broad grassy plain (especially the plains of southeast Russia and southwest Asia)"
شاګۍ,"(Geography) steppe, broad grassy plain (especially the plains of southeast Russia and southwest Asia), plain, prairie, lowland"
ډاګ,"(Geography) steppe, broad grassy plain (especially the plains of southeast Russia and southwest Asia), unbuilt groundcourier, letters, mail, epistle, post, literature, arts, job, office, appointment, position, station, place, situation, program"
ملکيتي,"(Grammar) possessive, form which shows ownership or belonging, possessive"
څرنګواليز,"(Grammar) qualifier, modifier, qualifying, training, moderating"
وصفي,"(Grammar) qualifier, modifier, qualifying, training, moderating"
اوبيار,"(History) cupbearer, person who fills and serves wineglasses"
اګو,(Informal) auntie
ترورکه,(Informal) auntie
ټېغونه ايستل,"(Informal) belch, burp"
جېسل,"(Informal) bother, worry, annoy, embitter, tick off, irritate, aggravate, vex, grate, irk, give up, weary"
چېړل,"(Informal) bother, worry, annoy, embitter, tick off, tease, chaff, rally, twit, bother"
سوی سګرېټ,"(Informal) cigar butt, cigarette end"
چيخا,"(Informal) doggie, lapdog"
چخا,"(Informal) doggie, lapdog"
کوچ,"(Informal) doggie, lapdogbutter, creamdecampmentsettee, couch, davenport, canape, chesterfield"
غيبت کول,"(Informal) gossip, talk about the private affairs of others, spread rumors"
انکو,"(Informal) grandmother, grannie"
شابښ,"(Informal) great, fantastic, brilliant, great, that's great, premium gasoline, super, over, above, superior in quantity or quality"
زرزرې,"(Informal) irritating, pain in the neck, difficult person, hard person, difficult, labored, hard, arduous, awkward, uneasy, tough, severe, tricky, onerous, troublesome, toilsome, trying, nasty, painful, burdensome, frustrating, distressing"
پيسره,"(Informal) ugly, sorry, mean, scabby"
مشاته,"(Informal) ugly, sorry, mean, scabby"
مشاده,"(Informal) ugly, sorry, mean, scabby"
بلل,"1: call, draft, cry, appeal, beckon, summon, designate, call for, name, page, term, title 2: invite, ask, bid 3: value, evaluate, assess, estimate, respect, consider, calculate, believe, judge, try, arbitrate, sit in judgment, adjudicate, decide, decree, rule, hand down"
رانيول,"1: catch, capture, get, seize, snare, trick, catch at 2: buy, purchase, buy over, take, take up, cover, nobble"
ښکل,"1: draw, design, sketch, draft, define, line, style, trace over, trace, mark, spoor, write, delimit, delineate 2: extract, mine, quarry, remove from, pull out, abstract, excerpt, elicit, read out, express, frame, lever"
بړقول,"1: gleam, glisten, glimmer, glint, polish, gloss 2: make someone laugh, set off laughing, tickle"
ختل,"1: go up, climb, ascend, walk-up, go uphill, get into, rise, mount, ride, get on, join in, raise the bid, clamber, scale 2: turn out that, prove to be 3: trample on, trip on, stamp, strike the floor or ground forcefully with one's foot 4: protrude, stand out, couple, pair"
جار ايستل,"1: hold, detain, restrain, delay, keep, retain, stop, blow, carry, catch up, reserve, book, memorize, withhold 2: vomit, throw up, be sick"
لوستل,"1: lira, coin and monetary unit of Italy, coin and monetary unit of Turkey, read, view written letters and convert them into words which have meaning, learn, interpret, scan 2: vomit, throw up, be sick"
ښکېلول,"1: oppress, suppress, grind 2: implicate, imply, concern, connote, entangle, predicate, dip, involve"
ټپول,"1: pat, tap, strum 2: encourage, cheer on, support, animate, comfort, fortify, hearten, inspirit, spur, egg on, urge on"
ځيځېرل,"1: persecute, work against 2: fly in pieces"
ځځېرل,"1: persecute, work against, humiliate, humble, put someone down, abase, give offence, mortify, put down, crow 2: chop, mince, axe, hash, chaff, crush, run over something, mash, grind, pound, squeeze, sweep, run over, slash, break, overwhelm, flatten, squash, grin, crack, batter, smash, tread, overwrite"
ځرول,"1: put up with, tolerate, allow, suffer, bear 2: digest, stomach, put up with (Informal)"
موښل,"1: rub, scrub, scrape, chafe, fritter, scour, stone 2: anoint"
ويل,"1: say, opinion, something that is said, tell, mention, put, state, admit 2: lira, coin and monetary unit of Italy, coin and monetary unit of Turkey, read, view written letters and convert them into words which have meaning, learn, interpret, scan"
حلول,"1: solve, settle, clear up, remove, annul, resolve, figure out 2: dissolve, deactivate, disband, break up"
اخستل,"1: take, catch, take up, pick up, book, acquire, capture, take in, have, take over, occupy, get on, seize, assume 2: buy, purchase, buy over, cover, nobble"
بوول,"1: take, take away, lead away, drive, march away, bring 2: earn, make, gain, make profit, come off the best, benefit, get, acquire, save, reap, conduct, lead, handle, herd, behave"
اوښتل,"1: turn over, topple, tip, overbalance, capsize, turn turtle 2: pass through, clear, get over, take the plunge, overcome, pass, cross, jump over, rush 3: overflow, boil over, run over, brim over, overfill, spill, burst, effervesce, outflank, load, push off, shove off, pass along, go past, overshoot, overrun, overpass, exceed, overstep, outrun, overtake, poke, outdistance, beat in, better, surpass, cover, criss cross, jut, leapfrog, lick, outbalance, outstrip, outrank, outweigh, pace, rise, top"
ګرزول,"1: wind up, power, put on, run, carry on, wind, carry, work, blow, operate 2: turn, churn, circle, revolve, rotate, sour, spin, swivel, tumble, twist 3: deviate, veer, deflect, skew, break, stray 4: vomit, throw up, be sick"
عمل کول,"act, advance, do, dealt, proceed, practice, open, make, operate, dispense, use, apply, function, run, go, activate, perform, carry out, effectuatedefecate"
تريوول,"add salt, salt, cure, pickle, salt away"
د دوی,"adjpostheir, them, belonging to them"
بالغېدل,"adult, grown-up, fully grown, mature"
غمجنول,"afflict, aggrieve, sadden, distress, depress, darken, cast a gloom over someone"
لام تړل,"align, range"
هماغه,"alike, even, nay, yet, same, identical thing, aforesaid item, previously mentioned thing, actual, selfsame"
يرغلل,"attack, assault, charge, hit, go at, strike, contravene, dispute, fall to, impugn, set about, waylay"
راښکل,"attract, appeal to, charm, draw, catch, allure, carry, drag along, drive, train, coach, rush, entrain, bring, school"
ځانګړول,"attribute, allocate, assign, award, grant, predicate, allot, impute, allow, ascribe, set down, put down, affect, appropriate, impinge, involve"
څنګ کول,"avoid, evade, avert, shun, sidestep, fence, fend, flee, stave off, get round"
چنې وهنه,"bargaining, haggling, haggle"
غپل,"bark, yowl, bay, cry, woof, speak harshly and loudly, howl, wail, emit a long distressful cry, call, shed tears of sorrow or pain"
پسولل,"beautify, embellish, pretty up, ornament, grace, bedeck, improve, glamorise"
حصارول,"besiege, surround, delay, postpone, make late, put off, be retired, put back, stay, protract, set back, retard"
شرط تړل,"bet, gamble, game, wager"
بهتر,"better, leading, special, top, right, best, in a superior way, to a greater degree, superior, preferable, improvement"
کښې ايستل,"bind, commit, engage, secure, pledge, retain, insert, run, implicate, imply, concern, connote, entangle, predicate, dip, involve"
ساډۍ,"bird brained, idiot, imbecile, blockhead, silly, half wit, jerk, moron, fool, idiotic, stupid, imbecilic, dull, insensate, moronic, nitwit"
کبيسه,"bissextile, leap year, year that has 366 days (as opposed to 365)"
چاودول,"blast, blow out, set, set off, touch off"
ښوڅل,"bore a hole, pit, pierce, penetrate, perforate, puncture, pick, prick, break through, punch"
شلول,"break, break up, break off, separate, split, sever, snap, divide, sunder, tear, tear up, rip, rip off, rip up, cut up, bite, jagdisrupt, torpedo, debase, indent, lacerate, rend, riveslit, snag, smite, cleave, unseam"
کې ايستل,"bring down, get off, lower, scroll down, send down, hang, wash, bind, commit, engage, secure, pledge, retain, insert, run, trap, snare, ensnare"
سورول,"bring someone up, raise, move up a class, take up, escalate, push up, send up, appreciate, heighten, mount, rise, inflate, bring upoverstimulate, annoy, irritate, fret, peeve, rile, flustersip, take a small drink, drink a small amount of liquid"
ډاګيزول,"bring to light, reveal, disclose, proclaim, betray, break, divulge, bare, expose, announce, declare, report, foreshadow, indicate, bespeak, advertise, portend, predicate, broadcast, call, bill, count, represent, show, put out"
پېرودل,"buy, purchase, buy over, take, take up, cover, nobble"
رابلل,"call, draft, cry, appeal, beckon, summon, designate, call for, name, page, term, title, convoke, cite, send for, convene"
قرارول,"calm, pacify, deaden, soothe, appease, assuage, settle, sober, still, chasten, becalm, tranquilize, ease, quiet, relieve someone's mind, relievealleviate, solace, salve, succor, unburden"
باعث کېدل,"cause, give rise to, chat"
مخه بدلول,"ccompdeviate, veer, deflect, skew, break, stray"
تصديقول,"certificate, certify, assure, attest, bear witness, testify, depose, evidence"
ټټر وهل,"challenge, defy, dare, pick a quarrel with, brave, baffle, take on, affront, confront"
سپين لمنې,"chaste, pure, celibate"
پاک لمنه,"chaste, pure, celibate, virtuous, righteous"
ټوکرېيل,"chop, mince, axe, hash, chaff"
ګرژول,"claw, scratch, scratch off"
کويل,"clean, wash, mop, scour, wipe, polish off, rub, clean out"
اغوستل,"cloth, don, array, dress, robe, face, endue, invest, line, panel"
جبرانول,"compensate, satisfy"
سکيندل,"compensate, satisfy pant, steam"
تدوينول,compile
