English,Other
ok,$WI_PHON:`O·K· || 0259;028A;'ke026A;`$WI_FREQUENCY:8$WI_POS:48 $WI_CONJ:`15` zgoda; pozwolenie $WI_PHON:`O·K· || 0259;028A;'ke026A;`$WI_FREQUENCY:62$WI_POS:50 $WI_CONJ:`235` uzyskać (czyjąś) zgodę $WI_PHON:`O·K· || 0259;028A;'ke026A;`$WI_FREQUENCY:9$WI_POS:52 tak; zgoda; dobrze; okej O·K· || əʊ'keɪ adj. w porządku; dobrze
anglicise,'Angli·cize || 'æŋglisaɪs v. angielszczyć
anglicize,'Angli·cize || 'æŋglisaɪz v. $WI_CONJ:`275`
arabic,'Arءآic || 'ærəbɪk n. język arabski; arabski 'Arءآic || 'ærəbɪk adj. arabski
baltic,'Balشic || 'bɔːltɪk adj. bałtycki
british,'Britةsh || 'brɪtɪʃ adj. brytyjski; Brytyjczycy
briton,'Britدn || 'brɪtn n. Brytyj-czyk/ka; obywatel/ka brytyjsk-i/a
buddhism,'Budؤhism || 'bʊdɪzm n. buddyzm
celtic,'Celtةc || 'keltɪk adj. celtycki
englishman,'Engجishحan || 'ɪŋglɪʃmən n. Anglik; Angielka
gaelic,'Gaelةc || 'gelɪk adj. celtycki 'Gaelةc || 'gelɪk n. język celtycki
jewish,'Jew·ish || 'dʒuːɪʃ adj. żydowski
marxism,'Marx·ism || 'mɑːksɪzm n. marksizm
marxist,"'Marx·ist || 'mɑːksɪst n. marksist, marksistka 'Marx·ist || 'mɑːksɪst adj. marksistowski"
methodist,"'Meth·od·ist || 'meθədɪst n. metodysta, metodystka 'Meth·od·ist || 'meθədɪst adj. metodystyczny"
stoicism,'Sto·i·cism || 'stoʊɪsɪzm n. stoicyzm
absolutely,'abسoجuteجy || 'æbsəluːtlɪ adv. całkowicie; zupełnie; oczywiście
abstinent,'abسtiخent || 'æbstɪnənt adj. wstrzemięźliwy; praktykujący abstynencję
acting,'acting || 'æktɪŋ n. gra; sztuka aktorska 'acting || 'æktɪŋ adj. pełniący obowiązki
accurate,'acأuزate || 'ækjərət adj. dokładny
activist,'acشiضist || 'æktɪvɪst n. aktywist(k)a; działacz/ka
actually,'acشuءlجy || 'æktʃʊəli adv. naprawdę; faktycznie; prawdę mówiąc
acupuncture,"'acص,puncشure || 'ækjʊpʌŋktʃə n. akupunktura"
advertiser,'adضerشisإr || 'ædvətaizər n. reklama; reklamowanie
aerobics,'aerدآics || eə'rəʊbɪks n. aerobik
affluent,'afئluإnt || 'æflʊənt adj. zamożny
aftermath,'afشerحath || 'ɑːftəmæθ n. następstwo
agitated,'agةشatإd || 'ædʒɪteɪd adj. zdenerwowany
agonizing,'agدخizةng || 'ægənaɪzɪŋ adj. dręczący; rozdzierający
agony,'agدخy || 'ægənaɪz n. męczarnia; agonia
aimless,'aimجess || 'eɪmləs adj. bezcelowy
airing,'airing || 'eərɪŋ n. omówienie; dyskusja; przewietrzanie i suszenie
alcoholism,'alأoبolةsm || 'ælkəhɒlɪzm n. alkoholizm
alienate,'alةenءte || 'eɪlɪəneɪt v. zrażać; wyobcowywać
alkaline,'alثaجine || 'ælkəlaɪn adj. zasadowy
ambient,'amآiإnt || 'æmbɪənt adj. otaczający; nastrojowy
anarchist,'anءrchةst || 'ænəkɪst n. anarchist(k)a
analyst,'anءجyst || 'ænəlɪst n. analityk
ancestry,'anأesشry || 'ænsestrɪ n. przodkowie; ród
anchorman,'anأhorحanנ|| 'æŋkə(r)mən n. prezenter/ka telewizyjn-y/a lub radiow-y/a
animated,'anةmatإd || ''ænɪmeɪtɪd adj. ożywiony; rysunkowy
animator,'anةحaشor || ''ænɪmətə(r) n. animator/ka
aniseed,'anةسeed || 'ænɪsiːd n. anyż
answerable,'anسwerءآle || 'ɑːnsərəbl adj. odpowiedzialny przed kimś (za coś)
antidote,'anشiؤote || 'æntɪdəʊt n. odtrutka; antidotum
appetizer,"'ap·pe·tiz·er || 'æpɪtaɪzə n. przystawka, przekąska"
appetizing,'apذeشizةng || 'æpɪtaɪzɪŋ adj. apetyczny; smakowity
archery,'archإrع || 'ɑːtʃərɪ n. łucznictwo
archway,'archطay || 'ɑːtʃweɪz n. sklepione przejście
armful,'armئul || 'ɑːmfʊl n. naręcze
arsonist,'arsonةst || 'ɑːsənɪst n. podpalacz/ka
artistry,'artةstزy || 'ɑːtɪstrɪ n. sztuka; mistrzostwo
architecture,'arأhiشecشure || 'ɑːkɪtektʃə(r) n. architektura
arguably,'arاuءآly || 'ɑːgjʊəblɪ adv. prawdopodobnie
arrogant,'arزoاant || 'ærəgənt adj. arogancki
artifice,'arشiئice || 'ɑːtɪfɪs n. sztuczka; podstęp
atrophy,'atزoذhy || 'ætrəfɪ n. atrofia 'atزoذhy || 'ætrəfɪ v. popadać w atrofię
automate,'auشoحate || 'ɔːtəmeɪt v. automatyzować
awkwardness,'awk·wardness || 'ɔːkwədnɪs n. niezdarność; skrępowanie
outmoded,'aʊt'məʊdɪd adj. niemodny
outsider,'aʊt'saɪdə(r) n. osoba z zewnątrz; obcy; zawodnik/koń nie mający szans zwycięstwa
outstanding,'aʊt'stændɪŋ adj. doskonały; znakomity; (o zapłacie itp.) zaległy
outstandingly,'aʊt'stændɪŋlɪ adv. doskonale; znakomicie
outback,'aʊtbæk n. odludzie
outburst,'aʊtbɜrst /-bɜːst n. wybuch
outdoor,'aʊtdɔr /-dɔː adj. na dworze; na świeżym powietrzu
outdoors,'aʊtdɔrz /-dɔːz adv. na dworze; na zewnątrz
outfit,'aʊtfɪt n. kostium; ubranie; organizacja; firma
outgoing,'aʊtgəʊɪŋ adj. towarzyski; bezpośredni; ustępujący; pocztę do wysłania
outcry,'aʊtkraɪ n. głośny sprzeciw; krzyk
outcrop,'aʊtkrɑp /-krɒp n. wychodnia
outcast,'aʊtkæst /-kɑːst n. wyrzutek
outcome,'aʊtkʌm n. rezultat; wynik
outline,'aʊtlaɪn n. zarys; kontur 'aʊtlaɪn v. nakreślać w ogólnym zarysie
outlying,'aʊtlaɪɪŋ adj. oddalony; odosobniony
outlet,'aʊtlet n. ujście (dla czegoś); punkt; wylot; odpływ
outlay,'aʊtleɪ n. nakład; wydatek
outlook,'aʊtlʊk n. pogląd na świat; perspektywy
outpost,'aʊtpəʊst n. placówka; bastion
output,'aʊtpʊt n. produkcja; wytwórczość; dane z komputera
