Word,Meaning
a.m.,(Ante meridian) paradite
ai,Artificial Intelligence = Inteligjencë Artificiale
abergavenny,qytet në Wales
abraham,e. man's name
abrahams,e. man's name
abram,e. man's name
actaeon,Personazh në milologjinë greke
aesculapius,perëndia e mjekësisë në Romën antike
aeson,Aeson (Greqia e lashtë)
aesop,Esopi (Greqia e lashtë)
aeternitas,personifikim i pavdekësisë te Romakët e lashtë
afghanistan,Afganistan
afghans,afganistanezë
africa,Afrika
agamemnon,Agamemnon (Mbret në mitologjinë greke)
agenor,Agenor (mbret në mitologjinë greke)
alarbus,personazh i Shekspirit
albania,Shqipëria
albanian,"e. shqiptar; a. shqiptar; gjuhë shqipe in Albanian = në gjuhën shqipe, shqip"
albany,Albany
alencon,qytet në Francë
aleppo,qytet në Siri
alexander,Aleksandër
alexandria,Aleksandria
algiers,Algjer kryeqytet i Algjerisë
alice,emër gruaje
almain,Gjermani
althaea,karakter në mitologjinë greke
amazon,lumë në Amerikën Latine
anaximander,Anaksimandër (filozof i lashtë grek)
andrew,emër personi
andromache,karakter në mitologjinë greke
angus,rajon në Skotland
ann,Ana
anthony,emër personi
antiochus,dinasti mbretërish në Siri
antonio,emër personi
antony,emër personi
apennines,Male në Itali
apollo,1. Zoti i Diellit (mitologjia greke) 2. modeli i bukurisë
arabia,Arabia
argentine,Argjentina
ariadne,Ariana (mitologjia greke)
aristotle,Aristotel
armenia,Armenia
arthur,Artur
artois,rajon në Francë
asher,emër çifut
asia,Azia
augusta,Augusta (qytet në USA)
austria,Austria
baghdad,Bagdad
beijing,Pekin
breaking news,Lajme të një rëndësie të veçantë
byzantium,Bizanti (emri antik për Stambollin)
cnn,(Cable News Network) Rrjeti amerikan i lajmeve qe transmetohet nepermjet sistemit cablor televiziv
caesar,Çezari (Perandor romak)
california,Kalifornia
commons,Dhoma e përfaqësuesve në Angli
copyright,e drejta e kopjimit
corinth,qytet në Greqinë e Lashtë
cyprus,Qipro
democritus,Demokrati
denmark,Danimarka
descartes,Dekarti
dispatches,"dërgon, mesazhet"
el.,"(Elevation) kuotë, nivel"
egypt,Egjypt
eleanor,Leonora
ellen,Elena
england,e. Angli
eritrea,Eritrea
ethiopia,Etiopia
euro-atlantic,Euro-atlantike
europe,Europë
european,e. europian
europeans,europeanët
gdp,(GROSS DOMESTIC PRODUCT) Prodhimi i përgjithshem vjetor = vlera e mallrave dhe e sherbimeve te nje vendi brenda nje viti.
geneva,Gjeneva
germany,Gjermania
god,Zot
good afternoon,Mirëdita
good bye,Mirupafshim
good evening,Mirëmbrëma
good morning,Mirëmëngjes
good night,Natën e mirë
h-bomb,bombë me hidrogjen
have a nice day,Ditën e mirë
he had,Ai kishte
he had been,Ai kishte qenë
he had had,Ai kishte pasur
he has,Ai ka
he has been,Ai ka qenë
he has had,Ai ka pasur
he is,Ai është
he was,Ai ishte
he will be,Ai do të jetë
he will have,"Ai do të ketë, Ajo do të ketë"
he will have been,Ai do të ketë qenë
he will have had,Ai do të ketë pasur
he would be,Ai do të ishte
he would have,Ai do të kishte
he would have been,Ai do të kishte qenë
he would have had,Ai do të kishte pasur
hegel,"George Wilhelm Friedrich Hegel (1770-1831) Filozof gjerman, mbrojtes dhe zhvillues i idealizmit absolut. Për Hegelin, Natyra është Shpirti i dukshëm ndërsa Shpirti është Natyra e padukshme."
hi,Tunjatjeta
homer,Homeri
i am,Unë jam
i am fine,jam mirë
i had,Unë kisha
i had been,Unë kisha qenë
i had had,Unë kisha pasur
i have,Unë kam
i have been,Unë kam qenë
i have had,Unë kam pasur
i shall be,Unë do të jem
i shall have,Unë do të kem
i shall have been,Unë do të kem qenë
i shall have had,Unë do të kem pasur
i should be,Unë do të isha
i should have,Unë do të kisha
i should have been,Unë do të kisha qenë
i should have had,Unë do të kisha pasur
i was,Unë isha
iceland,Islanda
interior ministry,Ministria e Brendëshme
iran,Irani
iraq,Irak
iraqi,irakian
