English,Other
aghiuţă,Old Nick / Harry / Scratch / Gooseberry a-l fura Aghiuţă = to let the dutsman get hold of smb l-a luat Aghiuţă = he has kicked the bucket lua-te-ar Aghiuţă = go to hell lua-te-ar Aghiuţă = why don' you get lost? get lost!
america,ai descoperit America! = the Dutch have taken Holland!
ana,a duce de la Ana al Caiafa = to drive from post to pillar
barbăcot,small long-bearded dwarf
belzebut,Beelzebub
brumar,pop. November
brumărel,pop. wine month pop. October
capricorn,astr. Capricorn entom. Capricorn beetle (Cerambyx) Tropicul Capricornului = the Tropic of Capricorn
crăciun,Christmas presc. X-mas (timpul Crăciunului) = Christmas time / tide (timpul Crăciunului) = Yule tide Moş Crăciun = (old) Father Christmas Moş Crăciun = Santa Claus pom de Crăciun = Christmas tree
dumnezeu,"God the Supreme Being the Holy One (idol) = şi fig. god, idol biciul lui Dumnezeu = the scourge of God dacă vrea / dă Dumnezeu = (if it) please God. Dumnezeu ştie! (solemn) = God / Heaven knows! Dumnezeu ştie! = Goodness knows! nu are nici un Dumnezeu = it has neither rhyme nor reason Dumnezeule! = dear me! Dumnezeule! = good / great Heavens! Dumnezeule! = good Lord! Dumnezeule! = Holy smoke! Dumnezeule! amer. = son of a gun! ferească Dumnezeu! = God / Heaven forbid! mulţumesc lui Dumnezeu = thank God / goodness omul lui Dumnezeu = God-fearing man omul lui Dumnezeu = pious soul / man pâinea lui Dumnezeu = (man) with a heart of gold păcat de Dumnezeu! = it is a great pity! păcat de Dumnezeu! = it is a thousand pities! pentru Dumnezeu! (solemn) = for God's / Heaven's sake! pentru Dumnezeu! = for goodness' / mercy's sake! pentru numele lui Dumnezeu = in God's holy name! să dea Dumnezeu! = may it please God to grant it! să dea Dumnezeu! = would to God it were so!"
dunăre,the Danuble a fi Dunăre turbată / de mânie = to boil / bubble over with rage
ene,moş Ene fam. = the sandman moş Ene fam. = the dustman a venit moş Ene pe la gene fam. = the sandman / the dustman is coming a-l fura moş Ene fam. = to go to the land of nod
flămânzilă,(in Romanian folk tales) glutton pop. greedy guts
georgicele,lit. the Georgics
gerar,pop. (ianuarie) = January înv. wolf month
gerilă,pop. (Moş Gerilă) = Jack Frost Frosty fig. chilly mortal cold subject hothouse plant
gustar,pop. August
ignat,(St.) Ignatius (December 20)
ispas,pop. ascension.
junimea,ist. the Junimea literary circle
mesia,Messiah
michiduţă,"(drac) = little imp, flibbertigibbet (drac) = urchin"
n,v. nu
nichipercea,pop. (dracul) = Old Scratch / Gooseberry pop. (dracul) = the Old Gentleman
pegas,mit. astr. fig. Pegasus
preacurata,the Holy Virgin
precistă,Maica Precistă = v. Preacurata
proteu,Proteus
păcală,merry jester Păcală = wag (name of such a charact. in Romanian tales and anecd.)
româncă,Romanian (woman / girl) pop. (ţărancă) = peasant woman
soviet,Soviet pl. the Soviets Sovietul naţionalităţilor = the Soviet of Nationalities Sovietul Suprem = the Supreme Soviet Sovietul Uniunii = the Soviet of the Union
stradivarius,muz. Stradivarius muz. Strad
tedeum,rel. Te deum
venus,mit. astr. Venus
vărsătorul,astr. the Water carrier astr. Aquarius
zorilă,personification of the dawn in Romanian folk tales calf born at dawn
a,"of the (exprimă surprinderea) = a(h)! (aşa stau lucrurile) = oh! (aşa stau lucrurile) = I see! (exprimă durerea sau bucuria) = v. ah (foarte bine) = (very) well (foarte bine) = all right (foarte bine) = O.K. a2 apiece each has înv. hath (înaintea infinitivului) = to (comparativ) = like (comparativ) = of (în compuşi) = v. afund, alături a doua = the second a lui Ion = (of) John's a lui Ion = of John a mare = big / capital A a mea = mine a merge = to go a mic = small / little a mirosi a ... = to smell of ... a noastră = ours a suna a ... = to sound like ... a suna a gol = to sound hollow a trei lei bucata = three lei apiece / each / the piece aduce a poveste = that sounds like a fairy tale ce simt eu nu-i a bine = I have strange misgivings / forebodings ce simt eu nu-i a bine = my heart / mind misgives me el a fost = he has been el a fost = he was femeia = the woman mamă a doi copii = mother of two children se găteşte a furtună = there is a storm gathering / brewing seamănă a ploaie = it looks like rain"
a posteriori,a posteriori
a-fir-a-păr,to a hair / nicety in full detail
aba,(stofă) = dreadnought (cu sens general) = rough wool (haină) = frieze coat (haină) = rough woollen coat (palton) = bearskin overcoat
abac,mat. abacus bead / counting frame
abacă,arhit. abacus
abajur,(lamp) shade (lamp) screen (de hârtie) = paper shade
abandon,jur. abandonment of domicile jur. desertion jur. renunciation of rights com. abandonment psih. abandon
abandona,"(a părăsi) = to abandon (a părăsi) = to desert (a părăsi) = to quit (a renunţa la ... ) = to renounce mil. to abandon mil. to surrender (drepturi, pretenţii etc.) = to relinquish (un joc etc.) = to throw up (un joc etc.) = to forsake (un bolnav etc.) = to give over / up sport. = to abandon"
abandonare,abandonment abandoning etc.
abanos,bot. ebony tree (Diospyros ebenum) (lemn) = ebony ca abanosul = ebony de abanos = ebony negru ca abanosul = jet-black ca abanosul = poetic ebon a sta / a se ţine abanos = to carry one's age well
abataj,min. working min. stope min. coal-face (ca procedeu) = hewing silv. felling (al vitelor) = slaughter mar. careening abataj cameră = panel working abataj frontal = normal face
