Word,Meaning
aaron,аарон
aaronic,ааронового
aback,ззаду
abandon,відмовитися від
abandoned,покинутий
abandoned infant,відмовилися малюкової
abandoned ship,покинутий корабель
abandoning,відмова
abandonment,відмова
abandons,втрачених викликів
abased,принижений
abated,зменшилися
abba,авва
abbas,аббас
abbot,абат
abbreviated,скорочений
abbreviation,скорочення
abdication,зречення
abdomen,живіт
abdominal,черевної
abdominal cavity,черевна порожнина
abdominal delivery,абдомінальногорозродження
abdominal muscle,м'яз живота
abdominal pregnancy,позаматкова вагітність
abduct,викрадати
abducted,викрадені
abducting,викрадення
abduction,викрадення
abe,абе
abel,абель
abetted,підбурюванні
abhor,ненавидіти
abhorred,відраза
abhorrence,відраза
abhorrent,огидний
abhorring,ненавидячи
abhors,не терпить
abide,дотримуватися
abide by,дотримуватися
abiding,незмінний
abigail,камеристка
ability,здатність
ability to pay,платоспроможність
abject,мерзенний
ablaze,палатиме
able,в стані
able bodied,працездатного
abner,авнер
abnormal,ненормальний
abnormal condition,аномальне умова
abnormal psychology,психопатологія
abnormality,ненормальність
abnormally,аномально
aboard,на борту
abode,житло
abolish,скасовувати
abolished,скасовано
abolishes,скасовує
abolishing,скасування
abolishment,відміна
abolition,відміна
abominable,огидний
abominably,огидно
abomination,мерзота
aboriginal,абориген
aborigines,тубільці
abort,викинути
aborted,перервана
abortion,аборт
abortion pill,аборт таблетки
abortive,абортивний
abound,буяти
abound in,рясніють
abounded,рясніла
abound-in,рясніють в
abounding,буяє
abounds,рясніє
abound-with,рясніють-с
about,близько
about face,про особу
about time,про час
about to,збираюся
about turn,про свою чергу
about-face,поворот кругом
about-turn,поворот кругом
above,вище
above all,понад усе
above board,вище борту
above mentioned,вищезгаданий
above named,вищезгаданий
above par,вище номіналу
above stairs,вище сходи
above suspicion,поза підозрою
above the line promotion,вище просування лінії
above yourself,над собою
above-board,вище дошка
abraham,авраам
abraham lincoln,авраам лінкольн
abrahamic,авраамів
abram,абрам
abrasion,стирання
abrasive,абразивний
abrasive material,абразивний матеріал
abreast,в ряд
abreast of,в курсі
abridged,скорочений
abroad,за кордоном
abrogate,скасовувати
abrogated,скасовані
abrogates,скасовує
abrogating,скасовуючи
abrogation,відміна
abrupt,крутий
abruption,розрив
abruptly,різко
absalom,авессалом
abscess,абсцес
absconding,сховатися
absence,відсутність
absence makes the heart grow fonder,розлука зміцнює почуття
absence of mind,відсутність уваги
absence of postage,відсутність поштові
absent,відсутнім
absent minded,неуважно
absent mindedly,неуважно
absent mindedness,відсутня мислення
absent oneself,ухилятися
absentee,відсутній
absentee ballot,заочне голосування
absentee landlord,"землевласник, який не проживає в своєму маєтку"
absentee rate,заочне ставка
absenteeism,абсентеїзм
absenteeism rate,коефіцієнт прогулів
absently,неуважно
absent-minded,неуважний
absolute,абсолютна
absolute alcohol,чистий спирт
absolute ceiling,абсолютне стелю
absolute frequency,абсолютна частота
absolute loader,абсолютний завантажувач
absolute majority,абсолютна більшість
absolute pitch,абсолютний слух
absolute scale,абсолютна шкала
absolute space,абсолютний простір
absolute temperature,абсолютна температура
absolute threshold,абсолютний поріг
absolute value,абсолютна величина
absolute viscosity,абсолютна в'язкість
absolute zero,абсолютний нуль
absolutely,абсолютно
absolute-zero,абсолютного нуля
absolutism,абсолютизм
absolutist,абсолютист
absolve,звільняти
absolved,звільняється
absolves,звільняє
absolving,виправдання
absorb,поглинати
absorb ability,поглинають здатність
absorb-able,поглинати-стані
absorbed,поглинута
absorbency,поглинальна здатність
absorbent,абсорбент
absorbent cotton,вата
absorbent material,абсорбуючий матеріал
absorber,поглинач
absorbing,поглинаючий
absorbing capacity,поглинальна здатність
absorbs,поглинає
absorbtion,поглинання
absorption,поглинання
absorption band,смуга поглинання
absorption coefficient,коефіцієнт поглинання
absorption indicator,індикатор поглинання
absorption unit,блок поглинання
abstain,утримуватися
abstained,утрималися
abstaining,стриманість
abstains,утримується
abstention,стриманість
abstinence,стриманість
abstract,абстрактний
abstract art,абстрактне мистецтво
abstract artist,абстрактний художник
abstract entity,абстрактна сутність
abstract expressionism,абстрактний експресіонізм
abstract noun,абстрактне іменник
abstract thought,абстрактне мислення
abstracted,розсіяний
abstracted theme,реферувати тема
abstraction,абстракція
abstractly,абстрактно
absurd,абсурд
absurdities test,безглуздості тест
absurdity,безглуздість
absurdly,абсурдно
abu,абу
abu dhabi,абу дабі
abuja,абуджа
abundance,достаток
abundant,рясний
abundant proof,рясні докази
abundantly,рясно
abuse,зловживання
abused,насильству
abuser,кривдник
abuses,порушення
abusing,зловживаючи
abusive,образливий
abusively,образливо
abut,примикати
abut on,межувати
abutting,примикає
abuzz,дзижчить
abysmal,жахливий
abyss,прірву
abyssinia,абіссінія
acacia,акація
academe,наукових кіл
academia,академія
academic,навчальний
academic administrator,академічний адміністратор
academic costume,академічний костюм
academic degree,вчений ступінь
academic department,академічний відділ
academic freedom,свобода викладання
academic gown,академічна мантія
academic relation,академічна ставлення
academic requirement,академічна вимога
academic robe,академічний одяг
academic session,академічна сесія
academic term,академічний термін
academic year,навчальний рік
academical,академічний
academically,академічно
academician,академік
academy,академія
academy award,премія академії
academy of music,музична школа
acadian,акадіана
acarology,акарологія
accede,приєднуватися
accede to,приєднатися до
accelerate,прискорювати
accelerated,прискорений
accelerates,прискорює
accelerating,прискорює
accelerating premium,прискорення преміум
acceleration,прискорення
acceleration unit,блок прискорення
accelerator,прискорювач
accelerometer,акселерометр
accent,акцент
accentuate,акцентувати
accept,приймати
accept a bid,прийняти пропозицію
acceptability,прийнятність
acceptable,прийнятний
acceptably,допустимо
acceptance,прийняття
acceptance sampling,вибірки прийняття
acceptant,акцептант
accepted,прийнятий
accepting,приймаючий
acceptor,акцептант
acceptor rna,акцептор рнк
accepts,приймає
access,доступ
access road,під'їзний шлях
access time,час доступу
accessed,доступ
accesses,доступ
accessibility,доступність
accessible,доступною
accessing,доступу
accession,вступ
accessories,аксесуари
accessory,аксесуар
accessory equipment,допоміжне обладнання
accessory fruit,аксесуари фрукти
accessory nerve,додатковий нерв
accident,аварія
accident prone,аварія схильні
accident surgery,хірургія нещасних випадків
accidental,випадковий
accidental injury,випадковий шкоду
accidentally,випадково
accidently,випадково
acclaim,вигуки схвалення
acclaimed,проголошений
acclamation,аккламацією
acclimation,акліматизація
acclimatization,акліматизація
accolade,акколада
accommodate,вміщувати
accommodated,розміщені
accommodates,вміщує
accommodating,послужливий
accommodation,житло
accommodation address,адреса до запитання
accommodation reflex,у готелі рефлекс
accommodations,розміщення
accomodate,розміщення
accomodate oneself,розмістити себе
accomodation,розміщення
accompanied,супроводжуваний
accompanies,супроводжує
accompaniment,супровід
accompany,супроводжувати
accompany back,супроводжувати назад
accompanying,супроводжуючий
accompanying vein,супроводжує вена
accomplice,спільник
accomplish,виконувати
accomplished,здійснюється
accomplished fact,доконаний факт
accomplishes,виконує
accomplishing,досягнення
accomplishment,досягнення
accord,угоду
accordance,відповідність
accordant,відповідний
according,згідно
according as,в залежності від того
according to,відповідно до
accordingly,відповідно
accosted,звернувся
account,рахунок
account book,бухгалтерська книга
account executive,діловод
account for,враховувати
account payable,кредиторська заборгованість
account representative,представник рахунок
account statement,виписка з рахунку
accountability,підзвітність
accountable,звітувати
accountancy,бухгалтерський облік
accountant,бухгалтер
accounted,склали
accounting,облік
accounting data,дані бухгалтерського обліку
accounting entry,бухгалтерська проводка
accounting firm,бухгалтерська фірма
accounting principle,принцип обліку
accounting standard,обліковий стандарт
accounting system,система обліку
accredit,акредитувати
accreditation,акредитація
accredited,акредитований
accrediting,акредитації
accretion,аккреция
accrual,нарахування
accrual basis,принцип нарахування
accrue,наростати
accrued,нарахований
acculturation,аккультурации
accumulate,накопичувати
accumulated,накопичений
accumulates,накопичується
accumulating,накопичення
accumulation,накопичення
accumulative,накопичений
accuracy,точність
accurate,точний
accurately,точно
accursed,проклята
accusation,обвинувачення
accuse,звинувачувати
accused,обвинувачений
accuser,обвинувач
accuses,звинувачує
accusing,обвинувачення
accustom,привчати
accustomed,звиклий
ace,туз
acetaldehyde,ацетальдегід
acetamide,ацетамид
acetate,ацетат
acetate disk,ацетат диск
acetate rayon,ацетат район
acetic,оцтовий
acetic acid,оцтова кислота
acetum,оцту
acetyl,ацетил
acetyl chloride,ацетилхлоридом
acetyl group,група ацетил
acetyl radical,ацетил
acetylation,ацетилювання
acetylene,ацетилен
achaemenid,ахеменідів
ache,біль
acheulean,ашельського
achievable,досяжний
achieve,досягати
achieved,досягнутий
achievement,досягнення
achievement oriented,досягнення орієнтованих
achiever,встигає учень
achieves,досягає
achieving,досягнення
achilles heel,ахіллесова п'ята
aching,болящий
achor,ахор
achy,хворий
acid,кислота
acid drop,льодяник
acid dye,кислотний барвник
acid fast,кислота швидко
acid forming,кислотообразующие
acid head,глава кислоти
acid house,будинок кислоти
acid hydrogen,кислоти водень
acid loving,кислоти любити
acid precipitation,кислотні опади
acid rain,кислотний дощ
acid tasting,кислоти вин
acid test,серйозне випробування
acid wash,кислотна промивка
acidic,кислий
acidic hydrogen,кислотний водень
acidification,підкислення
acidity,кислотність
acidity of wine,кислотність вина
acidulated,кислуватий
acknowledge,визнавати
