Word,Meaning
aaronic,ārona
aback,atmuguriski
abandon,pamest
abandoned,pamests
abandoned infant,pamesta zīdainis
abandoned ship,pamesta kuģis
abandoning,atteikšanos
abandonment,pamešana
abandons,atmet
abased,pazemots
abated,mazinājušies
abbot,abats
abbreviated,saīsināti
abbreviation,abreviatūra
abdication,atteikšanās
abdomen,vēders
abdominal,vēdera
abdominal cavity,vēdera dobums
abdominal delivery,vēdera piegāde
abdominal muscle,vēdera muskuļu
abdominal pregnancy,vēdera grūtniecība
abduct,nolaupīt
abducted,nolaupīja
abducting,nolaupījis
abduction,nolaupīšana
abetted,atbalstījušas
abhor,neieredzēt
abhorrence,pretīgums
abhorrent,pretīgs
abide,ievērot
abide by,ievērot
abiding,paliekošs
abigail,istabene
ability,spēja
ability to pay,maksātspēja
abject,nožēlojams
ablaze,liesmās
able,spējīgs
able bodied,spēj veselajiem
abnormal,nenormāls
abnormal condition,patoloģiska nosacījums
abnormal psychology,psihopatoloģija
abnormality,anomālija
abnormally,nenormāli
aboard,uz klāja
abode,uzturēšanās vieta
abolish,atcelt
abolished,atcelts
abolishes,atceļ
abolishing,atceļot
abolishment,atcelšana
abolition,atcelšana
abominable,pretīgs
abomination,riebums
aboriginal,aborigēnu
aborigines,aborigēni
abort,ciest neveiksmi
aborted,pārtraukta
abortion,aborts
abortion pill,aborts pill
abortive,neveiksmīgs
abound,netrūkst
abound in,abound
abound-in,netrūkst-in
abound-with,netrūkst-ar
about,par
about face,par sejas
about time,pēdējais laiks
about to,par to
about turn,par kārtas
about-face,par-face
about-turn,par-turn
above,iepriekš
above all,galvenokārt
above board,virs klāja
above mentioned,iepriekšminēto
above named,iepriekš nosauca
above par,virs nominālvērtības
above stairs,virs kāpnes
above suspicion,iepriekš aizdomām
above the line promotion,virs līnijas veicināšanu
above yourself,iepriekš sevi
above-board,iepriekš board
abrahamic,ābrama
abrasion,nobrāzums
abrasive,abrazīvs
abrasive material,abrazīvs materiāls
abreast,traversā
abreast of,neatpaliktu no
abridged,saīsināts
abroad,uz ārzemēm
abrogate,atcelt
abrogated,atcelts
abrogates,atceļ
abrogating,atceļot
abrogation,atcelšana
abrupt,pēkšņs
abruption,atdalīšanās
abruptly,pēkšņi
absalom,absaloms
absconding,bēgšanas
absence,trūkums
absence makes the heart grow fonder,trūkums liek sirds augt fonder
absence of mind,izklaidība
absence of postage,neesamība pastmarkas
absent,iztrūkstošs
absent minded,prom domājošiem
absent mindedly,prombūtnē mindedly
absent mindedness,prombūtnē mindedness
absent oneself,neierasties
absentee,promesošais
absentee ballot,absentee vēlēšanu
absentee landlord,absentee saimnieks
absentee rate,absentee likme
absenteeism,neierašanās darbā
absenteeism rate,neierašanās darbā likme
absently,izklaidīgi
absent-minded,izklaidīgs
absolute,absolūts
absolute alcohol,absolūtā spirta
absolute ceiling,absolūtais griesti
absolute frequency,absolūtais biežums
absolute loader,absolūtais iekrāvējs
absolute majority,absolūts vairākums
absolute pitch,absolūts piķis
absolute scale,absolūtais skala
absolute space,absolūtais telpa
absolute temperature,absolūtā temperatūra
absolute threshold,absolūtais slieksnis
absolute value,absolūtā vērtība
absolute viscosity,absolūtā viskozitāte
absolute zero,absolūtā nulle
absolutely,absolūti
absolute-zero,absolūtā nulle
absolutism,absolūtisms
