English,Other
airbus,"""airbus"""
cut corners,"""apkarpo"
the arsenal,"""arsenal"""
ave maria,"""ave maria"""
chelsea,"""chelsea"""
chelsea-bun,"""chelsea""-bandelė"
chelsea-pensioner,"""chelsea""-pensininkas"
chevron,"""chevron"""
color line,"""color line"
down beat,"""down beat"
drag-bar,"""drag-baras"
drag-hook,"""drag-kablys"
fatah rc,"""fatah"" rc"
fulham,"""fulham"""
golden state,"""golden state"
grammy,"""grammy"""
grand slam,"""grand slam"""
hulu,"""hulu"""
liverpool,"""liverpool"""
microsoft,"""microsoft"""
out-luster,"""out-blizgesys"
out-of-door,"""out-of-durys"
out-of-doors,"""out-of-durų"
out-of-pocket,"""out-of-pocket"
pan am,"""pan am"""
first come first served,"""pirmas atėjai, pirmas gavai"
reflex action,"""reflex action"""
royalty,"""royalty"
rubicon,"""rubicon"
spiegel,"""spiegel"""
state-of-the-art,"""state-of-the-art"
tour de force,"""tour de jėga"
washington monument,"""washington monument"""
ironmaking,", geležies"
forfeited service,", prarastas tarnyba"
notions communes,", sąvokos komunos"
pretends,", tariasi"
ante,-ante
butanone,-butanono
by-line,-line
th,-oji
sales-person,-pardavimo asmuo
minute mark,-ąją minutę
thea,a
aaronic,aarono
abbot,abatas
the abbot,abatas
the abdication,abdykowanie
impassive,abejingas
indifferent,abejingas
lackadaisical,abejingas
indifferent integration,abejingi integracija
indifferent attitude,abejingi požiūris
indifference,abejingumas
the indifference,abejingumas
indifference schedule,abejingumas grafikas
indifference series,abejingumas serija
indifference point,abejingumas taškas
indifference curve,abejingumo kreivė
doubting,abejojimas
doubted,abejojo
doubt,abejonė
doubtful authorship,abejotina autorystė
doubtful ownership,abejotina nuosavybė
doubtful title,abejotina pavadinimas
doubtful writing,abejotina rašymas
doubtful debt,abejotina skola
doubtful article,abejotina straipsnis
doubtful word,abejotina žodis
disputable,abejotinas
doubtful,abejotinas
dubious,abejotinas
questionable,abejotinas
equivocal speech,abejotini kalba
two-handed,abiem rankomis
mutually,abipusiai
cross product,abipusiai produktų
mutually inclusive,abipusiai įskaičiuota
mutual,abipusis
reciprocal,abipusis
reciprocal cross,abipusis kryžius
reciprocally,abipusiškai
reciprocity,abipusiškumas
shunammite,abišaga
abner,abneras
season ticket,abonementas
subscriber,abonentas
post-paid,abonentinių
aboriginal,aborigenas
abortion,abortas
the abortion,abortas
abortion pill,abortas tabletes
abram,abramas
abraham,abraomas
abraham lincoln,abraomas linkolnas
abrasion,abrazija
abrasive,abrazyvinis
