Word,Meaning
(سائل) منظف,{n.} detergent (liquid)
آب,"{n.} August, papa"
آباء الكنيسة,{n.} patristics
آباء بالتربية,{n.} foster parents
آبق,{n.} fugitive
آت,{adj.} future
آت,"{n.} coming, at [comp.]"
آت قريبا,{adj.} forthcoming
آت من وراء البحر,{adj.} ultramarine
آثار,"{n.} monuments, remnant, sequel"
آثار أقدام,{n.} trace
آثار الصبا,{n.} juvenilia
آثار المؤلف,{n.} canon
آثار حادثة ما,{n.} aftermath
آثار حضارة أو شعب ما,"{n.} archaeology, archeology"
آثار قديمة,{n.} antiquities
آثام,{n.} trespasses
آثر,{v.} prefer
آثم,"{adj.} peccant, unholy, vicious, unrighteous"
آثم,"{n.} transgressor, wrongdoer, offender, trespasser"
آثيني,{adj.} Athenian
آجر قاس جدا,{n.} clinker
آجرة,"{n.} brick, tile"
آحادي الجانب,{adj.} unilateral
آحادي الصوت,{adj.} monotone
آحادي القرن حيوان خرافي,{n.} unicorn
آحادي النغم,{adj.} monotone
آحادي بادئة,{n.} mono
آخذ العطلة,{n.} vacationer
آخذ بالعين,{adj.} bewitching
آخذ في النقص,{v.} decrease
آخر,"{adj.} another, else, different, other, last, latest, utmost"
آخر,{n.} decline
آخر حروف الأبجدية اليونانية,{n.} omega
آخر دخول في الخامسة مساءا,Latest entry at 5 p.m.
آخر صيحات الموضة,{n.} high fashion
آخر ليلة,{n.} last night
آخر مرة,{adj.} last time
آخر نداء للصعود على متن الطائرة رحلة رقم مائة وعشرين.,Final boarding call for flight 120.
آخر نفس فيه,on his last legs
آخرون,{n.} others
آداب,{n.} decency
آداب المجتمع,{n.} propriety
آداب المعاشرة,{n.} etiquette
آداب المهنة,{n.} ethics
آدم الانسان الأول,{n.} Adam
آدمي,{adj.} human
آذار,{n.} March
آذان الجدي,{n.} plantain
آذان الدب,{n.} mullein
آذى,"{v.} annoy, damage, disagree, harm, hurt, impair, injure, lacerate, malign, offend, prejudice, prey on, reflect, smear, make mischief, work mischief"
آذى أذيا شديدا,{v.} smite
آراء,"{n.} marbles, thinner"
آراء المرء السياسية,{n.} politics
آرغوس عملاق أسطوري,{n.} Argus
آري هندي,{adj.} Aryan
آز,{adj.} wheezy
آزر,"{v.} friend, go for smb."
آزوتي,{adj.} azotic
آسر,"{adj.} captivating, catchy, enthralling, fascinating"
آسر,"{n.} catching, catch, enthalpy"
آسف,"{adj.} regretful, sorry, repentant"
آسف الرقم خطأ.,"i'm sorry,ÂÓÝ ÇáÑÞã ÎØÃ. (you have the wrong number.)"
آسف لأني جعلتك تنتظر.,I am sorry to have kept you waiting.
آسف لا أستطيع الحضور.,Sorry&ÂÓÝ áÇ ÃÓÊØíÚ ÇáÍÖæÑ. (I can't come.)
آسف ليس لدي وقت.,Sorry*ÂÓÝ áíÓ áÏí æÞÊ. (I don't have any time.)
آسف هذا ليس توقيعي.,i'm sorry/ÂÓÝ åÐÇ áíÓ ÊæÞíÚí. (this isn't my signature.)
آسن,"{adj.} stagnant, putrefactive, putrid"
آسن,"{n.} stagnation, stagnancy"
آسي,"{v.} comfort, commiserate"
آسي شاطره اساه,{v.} condole
آسيوي,{adj.} asiatic
آصل,{adj.} pedigreed
آفاق,{n.} outlook
آفاق جديدة,{n.} new vistas
آفة,{n.} lesion
آفة زراعية,{n.} blight
آفة مهلكة,{n.} Cancer
آكال,{n.} corrosive
آكل,{v.} feed
آكل الجيف,{adj.} necrophagous
آكل اللوطس,{n.} lotus
آكل النمل,{n.} anteater
آكل لحم البشر,{n.} cannibal
آكل للأسماك,{adj.} ichthyophagous
آكلي لحم بشر,{adj.} cannibalistic
آكلي لحوم البشر,{adj.} anthropophagic
آل,{n.} mirage
آل إلى,"{v.} descend, devolve"
آلات,{n.} rig
آلات الحرب,{n.} enginery
آلات النفخ,"{n.} wind instrument, wind"
آلات النقر,{n.} percussion
آلات برم الأخشاب,{n.} wood wind instruments
آلات نفخ خشبية,{n.} wood wind
آلات وترية,{n.} strings
آلاتي,{n.} instrumentalist
آلاتي موسيقي,{adj.} instrumental
آلام البطن,{n.} abdominal pains
آلام المخاض,{n.} throe
آلة,"{n.} instrument, tool, machine, contrivance"
آلة أوتوماتيكية,"{adj.} automatic, automatical"
آلة البيع يقطع نقدية,{n.} vending machine
آلة التبزير,{n.} seeding machine
آلة التسجيل,{n.} tape recorder
آلة التطعيم,{n.} grafter
آلة الحفر,{n.} dredge
آلة السدس,{n.} sextant
آلة العرض السينمائي المنزلقة,{n.} slide projector
آلة بارعة,{n.} ingenuity
آلة تحزم,{n.} binder
آلة تحصد,{n.} binder
آلة تسجيل,{n.} recorder
آلة تسجيل المحادثات التلفوية,{n.} telephone answering machine
آلة تصوير,"{n.} camera, copier"
آلة حاسبة,{n.} calculator
آلة حاسبة صغيرة,{n.} calculator
آلة خشبية للتعذيب,{n.} pillory
آلة ذات حركة ذاتية,{n.} automaton
آلة رافعة,{n.} windlass
آلة رفع الصيد,{n.} fishing tackle
آلة صغيرة,"{n.} counter, gadget"
آلة طابعة,{n.} printer
آلة قديمة,{n.} crock
آلة كاتبة,{n.} typewriter
آلة لإستئصال اللوزتين,{n.} guillotine
آلة لتسييح المعادن,{n.} brake
آلة لنزع الشعر,{n.} epilator
آلة من آلات النفخ الموسيقية,{n.} reed
آلة نثر البذور,{n.} sowing machine
آلة نسخ الرسائل,{n.} mimeograph
آلهة البيت عند الرومان,{n.} penates
آلو,{interj.} hello
آلي,"{adj.} mechanical, power driven, powered, self-acting"
آلي الحركة,"{adj.} automatic, automatical"
آلية,{n.} machinery
آلية الشيء,{n.} mechanization
آمر,"{adj.} commanding, warned"
آمر,"{n.} commandant, commander"
آمر السجن,{n.} warden
آمر القلعة,{n.} castellan
آمر جازم,{adj.} authoritative
آمري,{adj.} peremptory
آمن,{adj.} safe
آمن,{n.} saffian
آمن مضجعا ل,{v.} berth
آمين,{n.} amen
آنسة,Ms.
آنسة,"{n.} madam, young lady, girl, madame, Miss, sister, damsel, maid"
آنف,{adj.} former
آنفا,{adv.} above
آني,{adj.} current
آني,"{adv.} hitherto, for the time being"
آنية,{n.} glass
آنية المائدة الفضية,{n.} silverware
آنية خزفية,"{n.} chinaware, earthenware, crackle"
آنية زجاجية,{n.} glassware
آنية زجاجية بلورية,{n.} cut glass
آنية فخارية,"{n.} crockery, pottery"
آنية معدنية براقة,{n.} brass
آنية من الصين,{n.} China
آهل بالسكان,{n.} population
آية,"{n.} prodigy, verse"
آية من الكتاب المقدس,{n.} text
آيتى إلاهة إغريقية,{n.} Ate
آيل إلي الزوال,{adj.} obsolescent
آيل إلي القدم,{n.} obsolescence
آيل الي الزوال,{n.} obsolescence
آيل للسقوط,"{adj.} ramshackle, rickety"
آيلة,{n.} hind
أ تفهمني,do you follow me
أب,"{n.} father, dad"
أب أو أم بالمعمودية,"{n.} godfather, godmother"
أب بالعماد,{n.} godfather
أباد,"{v.} destroy, annihilate, extirpate, exterminate, eradicate, polish off, mow, devour"
أبتر,"{adj.} amputated, tailless"
أبتر لا أولاد له,{adj.} childless
أبجد,{v.} alphabetize
أبجدي,"{adj.} alphabetic, alphabetical"
أبجديا وفقا للترتيب الأبجدي,{adv.} alphabetically
أبحث عن ...,I'm looking for ...
أبحث عن شيء أبيض.,I'm looking for something in white.
أبحث عن شيء أخضر.,I'm looking for something in green.
أبحث عن شيء أسود.,I'm looking for something in black.
أبحث عن شيء بيج.,I'm looking for something in beige.
أبحث عن قطعة مجوهرات صغيرة.,I'm looking for a small piece of jewelry.
أبحث عن لوحات لفنانين فرنسيين مشهورين.,I'm looking for paintings by well known French artists.
أبحر,"{v.} navigate, sail, ride, ferry, cruise, set sail, push off, point"
أبحر بيخت,{v.} yacht
أبحر في إتجاه معين,{v.} stand
أبحر في مهب الريح,{v.} weather
أبحر من الشاطئ,{v.} put oneself out
أبحلق,{v.} glance at
أبحلق في,{v.} glare at
أبحلق في شخص ما,{adv.} glower at smb.
أبد,{n.} life
أبد,{v.} perpetuate
أبدا,"{adv.} in all, bit by bit, never, not in the least, not on your life, no way, no, always, ever, eternally"
أبدا,{v.} allay
أبدع,"{v.} create, originate"
أبدى,"{v.} exhibit, exercise, bare, mark, manifest"
