English,Other
that one,", et üks"
even tempered,", isegi karastatud"
even-song,", isegi laulu"
how lead,", kuidas plii"
inescapably,", meenub"
acquires,", omandab"
thea,a
ay,aa
primer,aabits
abrahamic,aabrahami
adamic,aadama
adam's apple,aadama õun
gentry,aadel
nobility,aadel
nobleman,aadlik
noblemen,aadlikud
nobles,aadlikud
address,aadress
sita,aadress
the address,aadress
address list,aadress nimekirjas
address table,aadress tabel
addresses,aadressid
address book,aadressiraamat
adriatic,aadria
africa,aafrika
african,aafrika
the africa,aafrika
african american,aafrika ameerika
acre,aaker
the acre,aaker
acre foot,aaker suu
acre inch,aaker tolline
acres,aakrit
aloe,aaloe
lunch hour,aamiaistunti
an early bird,aamuvirkku
the early bird catches the worm (bones for the late-comers.),aamuvirkku ussi (kondid hilja tulijate.)
treasure-hunt,aardejaht
treasure chest,aardelaegas
treasure trove,aardelaegas
treasure,aare
treasure ship,aare laeva
ary,aarne
aaronic,aaroni
treasure house,aarrekammio
loop,aas
looped,aasa
asaph,aasaf
asia,aasia
asian,aasia
asiatic,aasia
asiatic buffalo,aasia pühvlid
the year,aasta
year,aasta
year end,aasta lõpus
vintage,aastakäik
vintage year,aastakäik
in starts,aastal algab
year dot,aastal dot
in microcosm,aastal mikrokosmost
year book,aastal raamat
annual,aastane
anniversary,aastapäev
the anniversary,aastapäeva
yearbook,aastaraamatu
year around,aastaringselt
year long,aastaringselt
year round,aastaringselt
annually,aastas
per annum,aastas
onwards,aastast
years,aastat
millennia,aastatuhandete
atom,aatom
the atom,aatom
atomic-number,aatomi arv
atomic-energy,aatomi energia
atom-bomb,aatomi pomm
atomic,aatomi-
atomic energy,aatomienergia
atomic power,aatomienergia
atomic physics,aatomifüüsikat
atom bomb,aatomipomm
atomic bombs,aatomipommide
interatomic,aatomitevahelisi
atomic weight,aatommass
atrium,aatriumis
agio,aažio
shoulder blade,abaluu
shoulder-blade,abaluu
abyssinia,abessiinia
aid,abi
assistance,abi
the aid,abi
the assistance,abi
ancillary,abi-
marries,abiellub
remarry,abielluda
marry money,abielluda raha
marry up,abielluda üles
espouse,abielluma
get married,abielluma
marry,abielluma
wed,abielluma
espousal,abiellumine
marrying,abiellumine
marriageable,abiellumisealine
marriage licence,abiellumisluba
marriage license,abiellumisluba
marriage,abielu
the adultery,abielu
wedlock,abielu
