Word,Meaning
a,{art} أداة تعريف إنجليزية غير
a bit,قليلا
a bit jealous,غيور قليلا
a bit of advice,نصيحة بسيطة
a bit of luck,حظ قليل
a bit of money,مبلغ قليل من المال
a bit of news,أخبار قليلة
a bit of skirt,بها بعض من المخاطرة
a bolt from the blue,"مفاجأة تامة, صاعقة مدوية"
a bomb,{n} قنبلة ذرية
a capella,{adv} بدون مصاحبة من الالات الموسيقية
a cappella,{adv} بدون مصاحبة من الالات الموسيقية
a few,{adj} بضعة
a glass of tomato juice,كأس من عصير الطماطم.
a glut on the market,وفرة فى الأسواق
a great deal,كثير جدا
a green salad with french dressing,سلطة خضراء بمرق التوابل الفرنسية.
a la,"وفقا ل, بحسب"
a little,"{adj} قليلا, قليل"
"a little more, please",المزيد من فضلك.
a lot,كثيرا
a lot of,كثيرا من
a mess of pottage,صحن حساء
"a one way ticket, please",تذكرة ذهاب فقط من فضلك.
a pack of filtered cigarettes,علبة سجائر بالفلتر.
a pack of king size cigarettes,علبة سجائر حجم كبير.
a pack of light cigarettes,علبة سجائر خفيفة.
a pack of menthol cigarettes,علبة سجائر بالنعناع.
a pack of mild cigarettes,علبة سجائر متوسطة.
a pack of slim cigarettes,علبة سجائر رفيعة.
a pack of strong cigarettes,علبة سجائر قوية.
a pack of ultra light cigarettes,علبة سجائر خفيفة للغاية.
a pack of unfiltered cigarettes,علبة سجائر بدون فلتر.
a piece of cake,"{n} هين, سهل"
a pig in a poke,كالقط في الكيس
"a round trip ticket, please",تذكرة ذهاب وعودة من فضلك.
"a soft perm, please",تموج خفيف من فضلك.
"a ticket to ..., please",تذكرة إلى ... من فضلك.
a.b.c,"{n} حروف الأبجدية, مبادئ علم ما, حروف الهخاء, الحروف الأبجدية, الألف باء, ألف با س, الأبجدية"
a.d,بعد الميلاد
a.m,"في الصباح, صباحي, صباحا"
a.p,إقامة كاملة
aardwolf,{n} ذئب الأرض
aback,{adv} الى الوراء
abacus,{n} طبلية تاج
abaddon,{n} الجحيم
abaft,"{adv} وراء من خلف, في مؤخرة كذا"
abalienate,{v} حول ممتلكات لشخص آخر
abalone,{n} أذن البحر
abandon,"{v} رحل يهجر, تنازل عن يهجر يترك, تخلى, أقلع عن"
abandoned,"{adj} مهجور, منبوذ, مهمل"
abandonee,{n} المتنازل له
abandonment,"{n} ترك تنازل هجر, حماسة"
abase,"{v} ذل, حقر"
abase oneself,"{v} قلل من قدره, أهان, حقر نفسه"
abasement,"{n} احتقار, إذلال"
abash,"{v} أضعف ثقة شخص بنفسه, خجل"
abashed,{adj} خجول
abashment,{n} الخجل
abate,"{v} خفف هدأ, انحسر"
abatement,"{n} مبلغ يسقط من قيمة الضريبة, انحسار, خمود"
abatis,{n} الحظار عائق من الأشجار مقطوعة يسد به الطريق
abattoir,{n} مسلخ مجزر
abb,{n} دير
abbacy,{n} دير
abbess,{n} دير
abbey,"{n} دير, كنيسة, كنيسة كبيرة"
abbot,{n} رئيس الدير
abbreviate,{v} اختصر
abbreviated,{adj} مختصر
abbreviation,{n} الاختصار
abc,"{n} حروف الأبجدية, مبادئ علم ما, حروف الهخاء, الحروف الأبجدية, الألف باء, ألف با س, الأبجدية"
abc book,{n} كتاب الحروف الهجائية
abdicate,"{v} تخلى عن العرش, تنازل"
abdication,{n} التنازل
abdomen,"{n} باطن, بطن, جوف"
abdominal pains,{n} آلام البطن
abducent,{adj} المبعد
abduct,{v} خطف
abduction,{n} اختطاف
abductor,{n} مختطف
abeam,{adv} مقابلا لمنتصف جانب السفينة
abecedarian,"{n} ألهجائي, الأبجدية"
abed,{adj} مضطجع مكوع فى الفراش
abele,{n} الحور الأبيض
aberrance,{n} ضلال
aberrant,"{adj} ضال, شاذ, منحرف شاذ"
aberration,"{n} شذوذ, انحراف"
abet,"{v} حرض, ساعد في الجريمة"
abetment,{n} التحريض
abettor,{n} محرض
abeyance,{n} تعليق
abhor,"{v} مقت, كره"
abhorrence,{n} اشمئزاز
abhorrent,"{adj} ماقت, مشمئز, كريه, مكروه"
abide,"{v} بقي, التزم"
abide by,"زعن, استجاب, تقيد, احترم"
abiding,"{adj} ثابت, دائم, مستمر"
ability,"{n} قدرة, حول, طاقة, القدرة, تمكن, كفاءة, قوة, مقدرة"
abiogenesis,{n} التولد التلقائى
