English,Other
wise,-messig
minded,-sinnet
ware,"-tøy, -varer"
whit sunday,1. pinsedag
whit monday,2. pinsedag
halloween,Allehelgensaften
united states of america,Amerikas forente stater
athens,Athen
centigrade,Celsius
denmark,Danmark
danish,Dansk
ec,EU
england,England
europe,Europa
eoropean,"Europeisk, Europeer"
finland,Finland
florence,Firenze
pedestrian,Fotgjenger
france,Frankrike
french,Fransk
god,Gud
gothenburg,Gøteborg
greece,Hellas
japan,Japan
japanese,"Japaner, Japansk"
chinese,"Kinesisk, Kineser"
christ,Kristus
copenhagen,København
cologne,Køln
latin,Latinsk
morocco,Marokko
moscow,Moskva
munich,Munchen
naples,Napoli
dutchland,Nederland
holland,"Nederland, Holland"
dutch,Nederlandsk
negro,Neger
negroes,Negrer
nordic,Nordisk
norwegian,"Nordmann, Norsk"
norway,Norge
sandman,Ole Lukkøye
portuguese,Portugisisk
prague,Praha
easter,Påske
little red riding hood,Rødhette
scandinavia,Skandinavia
pacific ocean,Stillehavet
great britain,Storbritannia
united kingdom,Storbritannia
sweden,Sverige
warzaw,Warsawa
abbot,abbed
abbey,abbedi
abbess,abbedisse
abnormal,abnorm
abnormality,abnormitet
subscriber,"abonnent, bidragsyter"
miscarriage,abort
abortion,"abort, misfoster"
abort,abortere
miscarry,"abortere, slå feil"
imperative,"absolutt nødvendig, imperativ, myndig"
absorb,absorbere
think in abstract terms,abstrahere
preposterous,"absurd, meningsløs"
nobility,adel
titled,adelig
noble,"adelig, fornem, edel"
nobleman,adelsmann
peer,"adelsmann, likemann, stirre, like"
peerage,"adelsstand, adelstittel"
no trespassing,adgang forbudt
entry,"adgang, inntreden, innførsel, stikkord"
access,"adgang, tilgang"
ennoble,adle
knight someone,adle
raise to nobility,adle
obey,"adlyde, adlyd"
administrative,administrativ
manage,"administrere, styre, greie, forvalte"
directory,adressebok
advocate,advokat
attorney,advokat
barrister,advokat
lawyer,"advokat, jurist"
sentimental value,affeksjonsverdi
mannerism,affekterthet
eve,aften
play-act,agere
aggression,aggresjon
academic,"akademiker, akademisk"
sled,"ake, slede, kjelke"
chord,akkord
accredit,akkreditere
accumulator,akkumulator
storage battery,akkumulator
tumbler,"akrobat, ølglass, vannglass"
axis,aksel
axle,aksel
accelerator,akselerator
acceptable,akseptabelt
acceptor,akseptant
stock,"aksje, beholdning, bestand, skjefte, lager"
mutual fund,aksjefond
stockbroker,aksjemekler
limited company,aksjeselskap
shareholder,aksjonær
regard,"aktelse, an, betrakte, ense, blikk, hensyn, se på"
respect,"aktelse, respektere, respekt"
abaft,akter
aft,akter-
activated,aktivert
activity,"aktivitet, virksomhet"
activity pack,aktivitetspakke
prosecutor,aktor
topical,aktuell
current,"aktuell, inneværende, strøm, gangbar"
respectable,"aktverdig, skikkelig"
acoustics,akustikk
water-colour,"akvarell, vannfarge"
albanian,albaner
albania,albania
elbow,albue
altogether,"aldeles, alt i alt, ganske"
age,alder
old age,alderdom
elderly,aldrende
never,aldri
alphabet,alfabet
everybody,alle
all but,alle untatt
everyone,"alle, enhver"
each,"alle, hver enkelt"
allegorical,allegorisk
allergy,allergi
allergic,allergisk
ubiquitous,allestedsnærværende
anyway,"allikevel, helst"
nevertheless,"allikevel, ikke desto mindre"
omnipotent,allmektig
common good,allmenngyldig
general value,allmenngyldig
all-around,allsidig
versatile,allsidig
invariably,alltid
ever,"alltid, stadig, noensinne"
omniscient,allvitende
avenue,allé
alley,"allé, smug"
elm,alm
universal suffrage,alminnelig stemmerett
common,"alminnelig, allmenn, vanlig, gjennomgående"
alms,almisse
alpine,alpe-
everything,alt
the lot,alt
all,"alt, alle"
already,"alt, allerede"
balcony,"altan, balkong"
altar,alter
omnivorous,altetende
handyman,altmuligmann
universal,"altomfattende, alminnelig, universell"
aluminium,aluminium
aluminum,aluminium
alum,alun
gravity,"alvor, tyngde, tyngdekraft"
earnest,alvorlig
grievous,alvorlig
serious,alvorlig
embassy,ambassade
ambassador,ambassadør
anvil,ambolt
wet-nurse,amme
charm,"amulett, trylleformular, sjarm, sjarmere"
illiterate,analfabet
illiteracy,analfabetisme
analogous,analog
analogy,"analogi, overensstemmelse"
analogic,analogisk
analysis,analyse
analyse,analysere
pineapple,ananas
anatomy,anatomi
recommend,anbefale
recommendation,anbefaling
institutionalize,anbringe på institusjon
station,"anbringe, stilling, stasjon"
application,"anbringelse, anvendelse, påmelding, flid, søknad"
duck,"and, dukke"
portion,"andel, porsjon, del"
proportion,"andel, proporsjon, forhold"
breathless,andpusten
puffed,andpusten
other,"andre, annet, annen, øvrig"
inkling,anelse
recognize,"anerkjenne, innrømme, gjenkjenne"
recognition,"anerkjennelse, erkjennelse, gjenkjennelse"
accredited,anerkjent
ring leader,"anfører, hovedmann"
quotationmark,anførselstegn
saxon,"angelsaksisk, angelsakser"
repentance,anger
penitent,angerfull
alleged,"angivelig, påstått"
informer,angiver
repent,angre
remorseful,angrende
repentant,angrende
onset,angrep
attack,"angrep, angripe"
gangrenous,angrepet av koldbrann
regarding,angående
pendant,anheng
ankle,ankel
anchor,"anker, ankre"
anchorage,ankerplass
berth,ankerplass
accusation,anklage
accuse,anklage
prosecute,"anklage, sette under tiltale"
accuser,anklager
arrival,ankomst
occasion,"anledning, begivenhet"
opportunity,"anledning, sjanse"
talent,anlegg
proceed against,anlegge sak mot
business deal,anliggende
case,anliggende
approaching,anmarsj
drawing close,anmarsj
overbearing,anmassende
reviewer,anmelder
solicit,"anmode om, be innstendig om"
else,"annen, ellers"
every other,annenhver
runner-up,annenplass
second-rate,annenrangs
elsewhere,annensteds
ad,annonse
advertisement,annonse
anonymous,anonym
anonymity,anonymitet
sideboard,anretningsbord
invoke,"anrope, påkalle"
on the staff,ansatt
look upon,anse
