English,Other
( American (a piece of) sticking plaster with a dressing used to cover a wound etc,một loại băng keo dùng để băng tạm lên vết thương
( American a dog that is trained to guide a blind person; guide dog,Chó dẫn đường
( British a cut piece of potato (fried); French friesAmerican,khoai tây mỏng rán
( British a note equal to half a crotchet in length; eighth noteAmerican,nốt móc đơn
( British a pen with a small metal ball at its point that puts ink onto paper,bút bi
"( British a small, thick piece of glass fixed in the surface of a road to reflect light and guide drivers at night.",hàng đinh phản chiếu trên xa lộ
"( British the main street of a town etc, usually with shops etc.",đại lộ
( also teeny-weenytiːniˈwiːni) an informal or child’s word for tiny,nhỏ xíu
"( anatomy an air-filled hollow in the bones of the skull, connected with the nose",xoang
( anatomy either half of the part of the body on which one sits,mông đít
( anatomy one of the two glands in the male body in which sperm is produced.,tinh hoàn
( anatomy the firm flesh in which the teeth grow,lợi
( anatomy the lower part of the food passage in man and animals,ruột
( anatomy the part of the digestive system below the stomach; the intestines,ruột
( computing a floppy disk.,đĩa mềm
"( computing a type of radio technology that uses short-wave radio frequencies to connect computers, mobile phones/cell phones, and other electronic devices without the need for wires",bluetooth
"( informal any food (eg cake, ice-cream) which is particularly enjoyable to eat",thức ăn
"( informal the jaws or mouth, especially of an animal",hàm động vật
"( legal in law, a warning",cảnh cáo
( legal to give a warning to,cảnh báo
"( mathematics a flat shape that has four straight sides, none of which are parallel; trapeziumAmerican .",thuộc hình thang
"( mathematics a flat shape that has four straight sides, none of which are parallel; trapezoidBritish .",hình thang
"( mathematics a flat shape that has four straight sides, only two of which are parallel; trapeziumBritish .",thuộc hình thang
"( mathematics a flat shape that has four straight sides, only two of which are parallel; trapezoidAmerican .",hình thang
"( mathematics a fraction that is written as one number below a line and one above it, for example as in ¾; common fractionAmerican .",phân số
"( medical a person who takes the place of another (especially a doctor, dentist etc) for a time",người thay thế
( medical a sudden stiffening or jerking of the muscles of the body,co giật
( medical relating to the medical care given to women who are expecting a baby; prenatal,tiền sản
( medical short for premenstrual syndrome; the pain and unpleasant feeling that some women experience just before their period starts each month,hội chứng tiền kinh nguyệt
"( old-fashioned a polite title for a boy, in writing or in speaking",cậu (xưng hô)
"( singular a game for two people, played on a board (a draughtboard, American checkerboard) exactly like a chessboard, with twenty-four discs: checkersAmerican",cờ đam
( slang to work as a prostitute; to solicit clients.,làm điếm
"( sometimes in plural the whole organization which is concerned with the running of trains, the building of tracks etc; railroadAmerican",ngành đường sắt
( used by children a mother.,mẹ
( used by or to children grandmother,bà
( written short for terabyte.,terabyte
((to or in) the place) to or in which,nơi mà
"(American also sport) designed, or suitable, for sport",phù hợp với thể thao
"(American candy) a small piece of sweet food eg chocolate, toffee etc","kẹo, mứt"
(American in telling the time) past,quá
"(American ladybug) a type of little round beetle, usually red with black spots.",con bọ rùa
(American sedan) a motor car with enclosed seating space for driver and at least three passengers,ca-bin dành cho người lái và hành khách
(American someplace) (in or to) some place not known or not named,"trong, ở, đến một nơi nào đó"
"(British and American usually program) a set of data, instructions etc put into a computer",chương trình
