English,Other
aaa,एएए
aani,आनी
aarhus,आरहूस
aaron,हारून
aarti,आरती
aas,आस
ab,अटल बिहारी
aback,नेहरु
abaction,पशुहरण
abacus,अबेकस
abalone,ऐबालोन
abandon,त्याग्न
abandoned,त्यागेर
abandoning,छोडेर
abandonment,परित्याग
abandons,त्याग्नुहुन्न
abasement,बेइज्जती
abashed,परेशान
abated,मत्थर
abatement,कमी
abattoirs,बूचडखाने
abb,एबीबी
abba,अब्बा
abbas,अब्बास
abbe,अब्बे
abbesses,महन्तिनी
abbey,अभय
abbreviate,छोटो पार्नु
abbreviated,संक्षिप्त
abbreviates,छोटो पार्नु
abbreviating,छोटो पार्नु
abbreviation,संक्षिप्त
abbreviations,संक्षिप्त
abby,एबी
abc,एबीसी
abderration,मानसिक चुक
abdicant,पछिल्तिर तान्ने
abdicate,हेलचेक्य्राइँ
abdicated,त्याग
abdication,अधित्याग
abdomen,भुँडी
abdomens,पेट
abdomina,पेट
abdominal,पेट
abdominous,भुँडे
abduct,अपहरण गर्न्
abducted,अपहरण
abductees,अपहरित
abducting,अपहरण गर्न्
abduction,अपहरण
abductions,अपहरण
abductors,अपहरणकारीले
abducts,अपहरण गर्न्
abeam,जहाज को शहतीर पर
abed,खात
abeiosance,पाउलागी
abel,हाबिल
aberrant,न्यायपालिका
aberrations,विकृतिहरु
abet,उकसाना
abetted,मर्जर जरुरी
abetter,मतियार
abettor,मतियार
abeyance,निलम्बन
abhor,घृणा
abhorred,दिक्क
abhorrence,घृणाको
abhorrent,घिनलाग्ने
abhorring,कुरालाई घृणा
abhors,घृणा गर्नुहुन्छ
abid,आबिद
abide,पालन
abides,पालन गर्नु
abiding,पालन
abigail,अबीगेलले
abilene,अबिलेन
abilities,क्षमता
ability,क्षमता
abiotic,जीवेतर
abit,अलिकति
abject,चरम
abjure,प्रतिषेध
abkhazia,अब्खाजिया
abkhazian,अब्खैजियाई
ablation,पृथक्करण
ablative,पन्चमी-विभक्ति
ablaunt,अपश्रुति
ablaze,जल्दै गरेको
able,सक्षम
ablebodied,बलियो
abler,योग्य
ablest,योग्य
ably,प्रवीणतासँग
abm,एबीएम
abn,एबीएन
abner,अबनेर
abnormal,असामान्य
abnormalities,असामान्यताबाट
abnormality,असामान्यता
abnormally,असामान्य
aboard,सवार
abode,पालन गर्नु
abodes,बस्ने ठाउँहरू
abolish,समाप्त गर्न्
abolishable,विलोपनीय
abolished,निर्मूल
abolishes,उठाउन्
abolishing,उठाउन्
abolishment,समाप्त
abolition,उन्मूलनको
abolitionist,उन्मूलनवादी
abominable,घृणित
abominate,तिरस्कार
abomination,घिनलाग्दा
abominations,ती घृणित मूर्तिहरू
abord,पेजमा जानुस्
aboriginal,आदिवासी
aboriginality,आदिम
aboriginals,आदिवासी
aborigine,आदिवासी
aborigines,आदिवासीहरूको
abort,रद्द
aborted,परित्याग
aborting,परित्याग
abortion,गर्भपतन
abortionist,गर्भपतन गराउने
abortions,गर्भपात
abortive,गर्भपतन गराउने किसिमका
abortus,गर्भस्राव
abound,प्रशस्त
abounded,प्रशस्त
abounding,प्रशस्तै
abounds,व्याप्त
about,बारेमा
above,माथि
abovesaid,उपर्युक्त
abrade,रक्सी को मिलावट
abraded,अफलाइन
abraham,अब्राहाम
abrahamic,अब्राहामसित
abram,अब्राम
abrasion,घर्षण
abrasive,घर्षण
abreast,बराबर
abridge,संक्षेपण
abridged,संक्षिप्त
abroad,विदेश
abrogate,रद्द
abrogated,खारेज
abrogation,अभिनिषेध
abrosia,विनाश
abrupt,आकस्मिक
abruptly,अचानक
abruptness,आकस्मिकता
abs,एब्स
absalom,अब्शालोमले
abscess,विद्रधि
abscesses,फोडा
abscissa,भुज
abscond,फरार हुनु
absconded,फरार
abseiling,अब्साइलिङ
absence,अभाव
absences,अभाव
absent,अनुपस्थित
absentee,हाम्रा शिक्षक
absenteeism,अनुपस्थिति
absentees,अनुपस्थितहरूको
absentia,अनुपस्थिति
absenting,दिनुपर्छ
absents,अनुपस्थित
absolute,निरपेक्ष
absolutely,बिल्कुल
absolutes,निरपेक्षता
absolution,मुक्ति
absolve,मुक्त
absorb,अवशोषित
absorbed,अवशोषित
absorbent,अवशोषण
absorber,अवशोषक
absorbers,अवशोषक
absorbing,अवशोषित
absorbingly,तन्मयतापूर्वक
absorbs,अवशोषित
absorption,अवशोषण
absorptive,अवशोषण
abstain,छुँदै
abstained,बसे
abstaining,अलग रहनु
abstains,अलग रहनु
abstemious,फारो गर्नु
abstentions,परिहार
abstergent,प्रक्षालक
abstinence,संयम
abstinent,संयमी
abstract,सार
abstracting,ओपन
abstraction,अमूर्त
abstractionism,अमूर्तवाद
abstractions,एब्सट्रैक्शन
abstracts,सार
absurd,निरर्थक
absurder,असंगत
absurdest,असंगत
absurdism,बे तँकोपन
absurdly,मूर्खता
abu,अबू
abundance,प्रशस्त
abundances,प्रचुरता
abundant,प्रशस्त
abundantly,प्रशस्त मात्रामा
abuse,दुरुपयोग
abused,दुरुपयोग
abusers,दुर्व्यवहार
abuses,दुर्व्यवहार
abusing,दुरुपयोग
abusive,अपमानजनक
abusively,खराबी
abutment,प्रतिक्रिया स्थान
abuttal,प्रतिक्रिया स्थान
abyss,पातालमा
abysses,अगाध खाँदमा फाल्नुहुनेछ
acacia,बबुल
academia,शिक्षा
academic,शैक्षिक
academical,विद्यामूलक
academically,अकादमिक
academician,शिक्षाविद्
academicians,शिक्षाविदों
academics,शैक्षिक
academies,अकादमियों
academy,एकेडेमी
acapulco,अकापुल्को
acara,घटनाएँ
acaricide,सूचना प्रदर्शन को अधिकार
acc,एसीसी
accademy,प्रतिष्ठान
accede,अनुमोदन
acceded,आरोहण गरे
accelerate,मा तेजी
accelerated,त्वरित
accelerates,गति वा चाल बढाउनु
accelerating,बढाने
acceleration,प्रवेग
accelerations,गतिवद्र्घन
accelerator,त्वरक
accelerators,गतिवर्धकपरिवर्तनगरियो
accelerometer,गति
accent,उच्चारण
accented,उच्चारण
accents,महत्तव
accentuate,दबाव
accentuated,ल्याएको
accentuation,स्वरोच्चारण
accept,स्वीकार
acceptability,स्वीकार्यता
acceptable,स्वीकार्य
acceptably,स्वीकार्य
acceptance,स्वीकृति
acceptances,स्वीकारोरक्ति
acceptation,स्वीकार
accepted,स्वीकृत
accepting,स्वीकार
acceptor,स्वीकारकर्ता
acceptors,स्वीकारकर्ताओं
accepts,स्वीकार
access,पहुँच
accessary,सहायक
accessed,पहुँच
accesses,प्रवेश गर्ने वा कसैलाई भेट्ने अधिकार
accessibility,पहुँच
accessible,पहुँचयोग्य
accessing,पहुँच
accession,अभिवृद्धि
accessor,एक्सेसर
accessorial,सहायक
accessories,सामान
accessorizing,एस्सेसोराइजिङ
accessors,पहुँचकर्ताहरूसार्वजनिकछन्
accessory,सहायक
accident,दुर्घटना
accidental,आकस्मिक
accidentally,गल्ति
accidents,दुर्घटना
accipitral,तीक्ष्ण दृष्टि
acclaim,प्रशंसा
acclaimed,प्रशंसित
acclamation,जयजयकार
acclimated,बानी
acclimatisation,रूपांतरण
acclimatise,अभ्यस्त
acclimatization,रूपांतरण
acclivity,भीर
accolades,वाहवाही
accommodate,समायोजित
accommodated,समायोजित
accommodates,ठाउ दिनु
accommodating,ठाउ दिनु
accommodation,आवास
accommodations,आवास
accompanied,सँगसँगै
accompanies,सँगसँगै
accompaniment,साथमा जाने वस्तु
accompaniments,साथमा जाने वस्तु
accompany,साथ दिनु
accompanying,साथमा रहेका
accomplice,सुनेर बस्नुभयो
accomplish,पूरा
accomplished,पूरा
accomplishes,पूरा
accomplishing,पूरा
accomplishment,उपलब्धि
accomplishments,उपलब्धिहरूलाई
accord,अनुसार
accordance,अनुसार
accorded,राखेको
according,अनुसार
accordingly,तदनुसार
accordion,बाजा
accordions,बाजा
accords,सम्झौताहरू
account,खाता
accountability,उत्तरदायित्व
accountable,लेखा
accountancy,लेखा
accountant,लेखापाल
