English,Other
the,
rachis,+ cocean +
graduated,a absolvit
join,a adera
adore,a adora
reposed,a adormit
affect,a afecta
impinging,a afecta
affirmed,a afirmat
asserted,a afirmat
averred,a afirmat
reach,a ajunge
matured,a ajuns la scadență
helped,a ajutat
chose,a ales
threaten,a ameninta
analyse,a analiza
analyze,a analiza
announced,a anunțat
appeared,a apărut
arose,a apărut
emerged,a apărut
showed,a arătat
toland,a ateriza
landed,a aterizat
peaked,a atins punctul culminant
attracted,a atras
ascribed,a atribuit
cautioned,a avertizat
warned,a avertizat
had,a avut
held,a avut loc
occurred,a avut loc
premiered,a avut premiera
benefited,a beneficiat
mens,a bărbaţilor
whose,a caror
search,a cauta
demanded,a cerut
urged,a cerut
apologised,a cerut scuze
apologized,a cerut scuze
coincided,a coincis
commented,a comentat
leadin,a conduce în
drove,a condus
confirm,a confirma
consider,a considera
continued,a continuat
contribute,a contribui
contributed,a contribuit
grew,a crescut
rose,a crescut
criticise,a critica
criticize,a critica
inveighed,a criticat cu asprime
buy,a cumpara
earned,a câștigat
gained,a câștigat
sue,a da in judecata
gave,a dat
nodded,a dat din cap
spawned,a dat nastere
owing,a debitului;
decide,a decide
decided,a decis
ruled,a decis
said,a declarat
stated,a declarat
demonstrated,a demonstrat
discovered,a descoperit
draw,a desena
entailed,a determinat
became,a devenit
reigned,a domnit
feinted,a driblat fundașii adverși
lasted,a durat
perform,a efectua
her,a ei
evaluate,a evalua
highlight,a evidentia
exclaimed,a exclamat
execute,a executa
existed,a existat
explained,a explicat
exploded,a explodat
failed,a eșuat
todo,a face
wink,a face cu ochiul
workout,a face exerciţii fizice
did,a facut
tobe,a fi
betaken,a fi luat
hasbeen,a fost
was,a fost
adjourned,a fost suspendată
fled,a fugit
ran,a fugit
ranaway,a fugit
alluded,a făcut aluzie
found,a gasit
cook,a gati
feed,a hrani
exited,a ieșit
prevent,a impiedica
breaking,a incalca
load,a incarca
rent,a inchiria
encourage,a incuraja
dare,a indrazni
bloom,a inflori
swallow,a inghiti
replace,a inlocui
record,a inregistra
insisted,a insistat
inspire,a inspira
meet,a intalni
strengthen,a intari
misrepresented,a interpretat eronat
intervened,a intervenit
entered,a intrat
wastepaper,a irosi hartie
atoned,a ispășit
played,a jucat
starred,a jucat
alacarte,a la carte
launch,a lansa
launched,a lansat
released,a lansat
broaden,a largi
coolant,a lichidului de răcire
theirs,a lor
took,a luat
liaised,a luat legătura
worked,a lucrat
his,a lui
unfits,a mai face ceva
manifester,a manifesta
mine,a mea
togo,a merge
went,a mers
deviousness,a minți
die,a muri
confessed,a mărturisit
testified,a mărturisit
confinements,a nașterii
denied,a negat
negotiate,a negocia
begat,a născut pe
noticed,a observat
obtain,a obtine
leave,a parasi
cohabitees,a partenerilor de
attended,a participat
participated,a participat
kept,a pastrat
paint,a picta
disenfranchisement,a pierderii drepturilor electorale
plant,a planta
pay,a plati
flyaway,a pleca în zbor
pleaded,a pledat
taxpaying,a plăti impozite
commanded,a poruncit
prepare,a pregati
afforded,a produs
pledged,a promis
promised,a promis
put,a pune
hazarding,a pune în pericol
jeopardising,a pune în pericol
couldnt,a putut
clearway,a părții degajate
remain,a ramane
remained,a ramas
reported,a raportat
reaffirmed,a reafirmat
refused,a refuzat
reiterated,a reiterat
relinquishing,a renunța la
relinquished,a renunțat
accounted,a reprezentat
succeed,a reusi
managed,a reușit
return,a reveni
rebounded,a revenit
returned,a revenit
fightback,a riposta
answereth,a răspuns
dig,a sapa
jump,a sari
decrease,a scadea
decreased,a scazut
write,a scrie
wrote,a scris
turnout,a se dovedi
enrol,a se inscrie
enroll,a se inscrie
arrived,a sosit
told,a spus
establish,a stabili
set,a stabilit
extinguish,a stinge
spoil,a strica
shouted,a strigat
underscored,a subliniat
suffered,a suferit
suck,a suge
support,a sustine
supported,a sustinut
contended,a susținut
erred,a săvârșit o eroare
yours,a ta
tends,a tinde
chop,a toca
fornicated,a trait in concubinaj
lofted,a trimis cu efect
cheat,a trisa
cheating,a trisa
lived,a trăit
forget,a uita
forgot,a uitat
climbed,a urcat
yersel,a va defini
seethrough,a vedea printre
came,a venit
sell,a vinde
spake,a vorbit
tailwind,a vântului de coadă
saw,a văzut
sawe,a văzut
fly,a zbura
ceased,a încetat
closeup,a închide
knowhow,a ști cum
thea,a-ul
bethink,a-și aminti de
obtrude,a-și impune
abacus,abac
lampshade,abajur
lampshades,abajururi
abandonment,abandon
leavers,abandon
abandon,abandona
shelve,abandona
abandoning,abandonarea
abandoned,abandonat
derelict,abandonat
scuttled,abandonat
aborted,abandonată
dropouts,abandonului
abandons,abandonuri
ebony,abanos
hewing,abataj
deviating,abate
swerve,abate
deviation,abatere
misconduct,abatere
deviations,abateri
abattoirs,abatoare
slaughterhouses,abatoare
abattoir,abator
shambles,abator
slaughterer,abator
slaughterhouse,abator
abbey,abație
snorkels,abc
abscess,abces
gumboil,abces gingival
abscesses,abcese
carbuncles,abcese
abdicate,abdica
abdication,abdicare
abdicated,abdicat
abdicating,abdice
abdicates,abdică
crunches,abdomene
abdomens,abdomenele
speller,abecedar
aberrant,aberant
outliers,aberante
aberration,aberație
aberrations,aberații
abijah,abia
scarcely,abia
inaudible,abia auzit
abiathar,abiatar
astute,abil
deft,abil
deftly,abil
skilful,abil
skilfully,abil
skillful,abil
skillfully,abil
empowering,abilitarea
ability,abilitate
astutely,abilitate
abilities,abilități
abimelech,abimelec
abyss,abis
abysmal,abisal
abysmally,abisal
abyssal,abisal
abyssinia,abisinia
abyssinian,abisinian
abysses,abisuri
abjectly,abject
abjure,abjura
abjuration,abjurare
ablative,ablativ
ablation,ablațiune
ablution,abluțiune
abnegation,abnegație
abolition,abolire
abolitionist,aboliționist
abolitionists,aboliționiști
abominable,abominabil
abominably,abominabil
subscription,abonament
subscriptions,abonamente
subscriber,abonat
subscribers,abonați
tackle,aborda
approachable,abordabil
approachability,abordabilă
approach,abordare
tackling,abordare
approached,abordat
broached,abordat
tackled,abordate
tackles,abordează
approaches,abordări
aboriginal,aborigen
aborigines,aborigeni
abrasion,abraziune
abrasive,abraziv
abrasives,abrazive
abbreviate,abrevia
abbreviated,abreviat
abbreviates,abreviaza
abbreviating,abreviere
abbreviation,abreviere
abbreviations,abrevieri
abrogate,abroga
abrogation,abrogare
repeal,abrogare
repealing,abrogare
repealed,abrogat
abrogated,abrogate
repeals,abrogă
abrogations,abrogări
craggy,abrupt
desultory,abrupt
precipitous,abrupt
steep,abrupt
steeply,abrupt
steepest,abrupte
steeps,abrupturi
brutalising,abrutizant
brutishness,abrutizare
brutalised,abrutizat
brutalized,abrutizat
abscissae,abscise
abscissas,abscisei
abscissa,abscisă
absentee,absent
absently,absent
absentmindedly,absent
abstracted,absent
abstractedly,absent
absented,absentat
absenteeism,absenteism
absences,absențe
absentees,absenți
absence,absență
apses,abside
apse,absidă
apsis,absidă
absinthe,absint
absorbs,absoarbe
soaks,absoarbe
absolute,absolut
absolutely,absolut
spoton,absolut corect
absolutes,absolute
absolutists,absolutiști
graduate,absolvent
leaver,absolvent
alumnus,absolvent al unei școli
alumni,absolventi
graduates,absolvenți
absolve,absolvi
graduation,absolvire
graduating,absolvirea
absolved,absolvit
absolves,absolvă
absorbent,absorbant
absorber,absorbant
absorbing,absorbant
absorptive,absorbant
absorb,absorbi
soak,absorbi
absorbed,absorbit
absorbency,absorbție
absorption,absorbție
absorptivity,absorbție
uptake,absorbție
absorptions,absorbții
abstainer,abstinent
teetotal,abstinent
teetotaller,abstinent
abstemiousness,abstinență
abstinence,abstinență
continence,abstinență
teetotalism,abstinență
abstractly,abstract
abstracting,abstractizare
abstraction,abstracție
abstractions,abstracțiuni
absurdly,absurd
preposterous,absurd
absurdity,absurditate
unreason,absurditate
unreasonableness,absurditate
absurdities,absurditati
absurdist,absurdă
abound,abunda
pervades,abunda
abounded,abundat
abundant,abundent
abundantly,abundent
opulent,abundent
plentiful,abundent
profusely,abundent
abundances,abundența
abundance,abundență
luxuriance,abundență
opulence,abundență
profusion,abundență
abounds,abundă
steam,abur
steams,aburi
steaming,aburire
misting,aburirea
fogging,aburirii
steamed,aburit
fogged,aburite
misted,aburite
steamers,aburitoare
steamy,aburos
abuse,abuz
dabbling,abuza
abused,abuzat
abuser,abuzator
misusing,abuzează
abusing,abuzeze
abusive,abuziv
abusively,abuziv
abuses,abuzuri
misuses,abuzuri
abime,abîme
dejected,abătut
disheartened,abătut
dispirited,abătut
downcast,abătut
strayed,abătut
befell,abătut asupra
refrain,abține
abstention,abținere
refraining,abținerea
abstentions,abțineri
forbore,abținut
refrained,abținut
abstaining,abținându-
gulleys,ac
needle,ac
hairpin,ac de păr
pointer,ac indicator
lollipop,acadea
lollies,acadele
academical,academic
