English,Other
aachen,آچین
aadhar,آدھار
aah,آہ
aal,آل
aalandislands,الانڈ آئلینڈز
aalborg,آلبورگ
aam,عام
aar,آر
aardvark,رگڑنے
aardwolf,پرہیز
aargh,اوہو
aarhus,آرہوس
aaron,ہارون
aaronic,ترک
aarti,آرتی
aas,العاص
aasvogel,حادثات
ab,اغوا
aback,دنگ رہ
abactor,شرکت
abadan,آبادان
abaddon,الحاق
abaft,سنیمی
abaisance,سجدہ
abalienate,نفرت کرنا
abalone,منظوری
abandon,ترک
abandoned,ترک کر دیا
abandoning,ترک
abandonment,دستبرداری
abandons,ترک
abandum,ترک
abas,عباس
abase,اپمانت کرنا
abased,ذلیل
abasement,ذلت
abases,ذلیل
abash,مستقل
abashing,غیر معمولی
abashment,ترک
abasing,ذلت
abassi,عباسی
abate,ختم
abated,کم ہوئی
abatedarms,مطابق
abatement,ابیٹمینٹ
abater,اغوا
abates,روشناس کرانے
abating,کمی
abatis,قابل رسائی
abattoir,مذبح خانے
abattoirs,بوچڑھانے
abaxial,قبول
abay,ای
abaya,عبا پہننے
abb,اپمارجک
abba,ابا
abbas,عباس
abbasi,عباسی
abbasid,عباسی
abbassi,عباسی
abbatical,آرام
abbay,تبشتسدسی
abbe,مطلق العنانیت
abbes,مفرور
abbess,ختم
abbesses,کامیابیوں
abbey,ابی
abbot,مٹھادیہر € ا
abbott,ایبٹ
abbr,مخفف
abbreviate,تراش
abbreviated,مختصر
abbreviatedform,گھنونا
abbreviates,تقسیر کرنا
abbreviating,تقسیر کرنا
abbreviation,مخفف
abbreviations,مخففات
abbreviatory,مخفف
abby,یبی
abd,عبد
abdal,ابدال
abdali,ابدالی
abdicant,دستبردار
abdicate,دستبردار
abdicated,ضائع
abdicates,تج
abdication,روگردانی
abdications,سرگرمیوں
abdomen,پیٹ
abdomens,پیٹ
abdomina,پیٹ
abdominal,پیٹ
abdominals,پیٹ
abdominous,منتر
abduce,اکاؤنٹس
abduced,مغوی
abduct,اغوا
abducted,مغوی
abductees,مغویوں
abducting,اغوا
abduction,اغوا
abductions,اغوا
abductor,اغوا
abductors,اغواکاروں
abducts,اغوا
abe,ایبے
abeam,تلفظ
abearing,بیئرنگ
abecedarian,صلاحیت
abed,ایک بستر
abel,ہابل
abele,پیٹ
aberate,آستگت
aberdeen,یبرڈین
aberrance,تیز کرنا
aberrant,معاہدے
aberrate,مکمل کرنا
aberration,وپتن
abet,اعانت
abetment,اکسانے
abetted,مجرمانہ اعانت
abetting,اکسانا
abettor,اچانک
abettors,کی تعیناتی کی منظوری
abeyance,آستگت
abeyancy,آستگت
abhominable,مکروہ
abhor,نفرت
abhorred,نفرت
abhorrence,نفرت
abhorrency,نفرت
abhorrent,گھنونا
abhorrer,حادثاتی
abhorrers,دشمنوں
abhorring,نفرت
abhors,نفرت
abiation,اکاؤنٹنٹ
abib,ابیب
abid,ایک بولی
abidance,معافی دینے کا فیصلہ
abide,ہمیشہ رہیں
abiders,ہمیشہ رہیں
abides,رہتا
abidi,عابدی
abiding,باقی رہنے والا
abidingly,عباس
abidjan,عابد جان
abience,ماحول
abient,محیطی
abies,ایبس
abietic,ایسیٹک
abietite,بھوک
abiezer,ابی عزر
abigail,ابیگیل
abilities,صلاحیتوں
ability,کی صلاحیت
abinitio,اهل
abintestate,روگردانی
abiogenesis,باجا
abiogenist,افراط
abiological,حیاتیاتی
abir,عبیر
abirritant,حد سے زیادہ
abirritate,جلن
abirritation,جلن
abit,تھوڑا سا
abject,گھور
abjectly,بڑھ
abjectness,ذلت
abjeet,کے بارے میں
abjudge,فیصلہ
abjudicate,منصفی
abjudication,انصاف نرنین
abjugate,منسوخ
abjunctive,سبجنکٹاوی
abjuration,اضافہ
abjuratory,واجب
abjure,ایبس
abjuring,ماہرین تعلیم
abkari,کھرچنے
abkhas,ابخازیا
abkhaz,ابخازیا
abkhazia,ابخازیہ
abkhazian,ابقازیان
abl,اے بی ایل
ablactation,تجرید
ablation,قابل قبول
ablative,ببول
ablaut,مکروہ
ablaze,نذر آتش
able,قابل
abled,معذور
ablegate,تخپستیت
ablegation,انکار
ablenorablet,قبول
abler,اهل
ablest,اهل
ablet,گولی
abligate,پابند
ablush,حماقت سے
ablution,وضو
ablutionary,پرہیز
ablutions,وضو
abluvion,خلاصہ
ably,مخفف
abnegate,منسوخ
abnegates,منسوخ
abnegation,انکار
abnegator,انکار
abner,ابنیر
abnormal,غیر معمولی
abnormalities,اسامانیتاوں
abnormality,اسامانیتا
abnormally,غیر معمولی
abnormities,اسامانیتاوں
abnormity,فرار
abo,ایبو
aboard,سوار ہوکر
abode,ٹھکانا
abodes,گھروں
aboding,باقی رہنے والا
abolish,ختم
abolishable,دی
abolished,ختم کر دیا
abolishes,ختم
abolishing,ختم
abolishment,ختم
abolition,خاتمے
abominable,مکروہ
abominableness,جذب
abominably,ابسورپٹاوی
abominate,نفرت کرنا
abomination,مکروہ
abominations,مکروہات
abondance,بیرون ملک
abonnement,فرانس
aborad,بیرون ملک
abord,سوار ہوکر
aboriginal,اصلی النسل
aboriginality,اوپر
aborigine,باشندے
aborigines,دیسی باشنده
aborsive,کھرچنے
abort,اسقاط حمل ہو سکتا
aborted,اسقاط حمل
aborting,اسقاط
abortion,اسقاط حمل
abortional,اسقاط حمل
abortionist,پیٹ
abortionists,اسقاط حمل
abortions,اسقاط حمل ہو سکتا
abortive,ناکام
abortively,رہنے کی جگہ
abortiveness,جارحانہ پن
abound,بھرے
abounded,جکڑے ہوئے
abounding,غنی
abounds,درس
about,کے بارے میں
above,مندرجہ بالا
abovemeasure,نفرت
abp,اے بی پی
abr,جنوری
abracadabra,منتر
abrade,منسوخ
abrader,بہادر
abraham,حضرت ابراہیم علیہ السلام
abrahamic,ابراہیمی
abrahamitic,ابراہیمی
abram,ابرام
abranchial,برانربیل
abrasion,گھرشن
abrasive,کھرچنے
abrasives,رگڑنے
abraumsalts,حضرت ابراہیم علیہ السلام کے نمک
abreacted,منسوخ
abreast,برابر میں
abrenunciation,استرداد
abri,قبول
abridged,مشترکہ
abridgement,اهل
abridges,نیون
abridging,نفرت
abridgment,اسقاط حمل
abris,لائنز
abroach,جگہ
abroad,بیرون ملک
abrogate,منسوخ
abrogated,منسوخ
abrogates,منسوخ
abrogating,منسوخ
abrogation,الرجال
abrupt,اچانک
abruption,خطاب
abruptly,اچانک
abruptness,آکسمکتا
abs,تقسیر کرنا
absalom,ابی سلوم
absam,ساتھیوں
abscess,ودرد
abscesses,پھوڑے
abscind,انخلاء
absciss,ودرد
abscission,غائب
abscond,انخلاء
absconded,مفرور
abscondence,فرار
absconder,مفرور
absconders,مفرور
absconding,مفرور
abscondment,مفرور
absence,عدم موجودگی
absences,غیر حاضری
absent,غیر حاضر
absentation,گریز
absented,اکاؤنٹنٹس
absentee,غیر حاضر
absenteeism,غیرحاضری
absentees,کہیں غائب
absentia,غیر حاضری
absently,توہین
absentment,ناراضگی
absentmindedly,غنی
absentmindednes,اکسانا
absentness,غیر موجودگی
absents,غیر موجودگی
abshe,کے مطابق
absinth,اسقاط حمل ہو سکتا
absis,ودرد
absist,ودرد
absistence,پرہیز
absolute,مطلق
absolutely,بالکل
absoluteness,مطلق
absolutes,مطلق
absolution,گناہ
absolutism,مطلق العنانیت
absolutist,مطلق
absolutizes,مطلق العنانیت
absolve,مستثنی
absolved,ساقط
absolves,معافی دینے کا فیصلہ
absorb,جذب
absorbability,اسامانیتاوں
absorbable,جذب
absorbant,جاذب
absorbed,جذب
absorbent,جاذب
absorbing,جذب
absorbition,جذب
absorbs,اوشوشیت
absorption,جذب
absorptive,ابسورپٹاوی
abstain,پرہیز
abstained,احتراز
abstainer,کمی
abstaining,پرہیز
abstains,اجتناب
abstemious,سنت
abstemiously,مطلق
abstemiousness,پست
abstention,گریز
abstentions,ممالک غیر حاضر
abstentious,سنت
absterge,نفرت
abstergent,اپمارجک
abstersion,غلط استعمال
abstinence,پرہیز
abstinency,پرہیز
abstinent,سنیمی
abstinently,ایبو
abstract,خلاصہ
abstractedly,ذلت
abstractedness,مجرد
abstracter,جذب
abstraction,تجرید
abstractions,رکاوٹ
abstractly,نظریاتی
abstractness,مجرد
abstracts,خلاصہ
abstruse,دقیق
abstrusely,ساتھ
abstruseness,تعلیمی
absumption,مفروضہ
absurd,مضحکہ خیز
absurder,بے ہوده
absurdest,بے ہوده
absurdist,مضحکہ خیز
absurdity,حماقت
absurdly,حماقت سے
abttoir,اغوا
abu,ابو
abuja,ابوجا
abulwalidmohammedibnahmadibnmohammedibnroshd,ابو الولید محمد بن احمد ابن محمد ابن رشد
abundance,کثرت
abundances,افراط
abundant,پرچر
abundantly,بہتایت
abuse,استعمال کی اطلاع دیں
abused,کے ساتھ زیادتی
abuser,بدسلوکی کرنے والے
abusers,نشے
abuses,گالیاں
abusing,گالی
abusive,بدسلوکی
abusively,بدسلوکی
abusiveness,ایکسلریشن
abut,کے بارے میں
abutment,سویقہرکرتاوں
abutted,سرگرمیوں
abutter,گالیاں
abuzz,گونج
abwatt,ختم
abysmal,انتہائی پست
abysmally,انتہائی
abyss,اتاہ کنڈ
abyssal,ویتلیی
abyssinia,حبشہ
abyssinian,حبشی
abyssinians,حبشیوں
ac,اے سی
acacia,ببول
acaciae,ببول
acacias,ببول
academia,تعلیمی اداروں
academial,تعلیمی اداروں
academian,تبشتسدسی
academic,اکیڈمک
