English,Other
cupbearer,-ago
herdsman,-agutan
lambs,-agutan
lambskinnet,-agutan skinnet
economically,-aje
tours,-ajo
bastards,-ale
priesthood,-alufa
egotism,-ara-
egotize,-ara-
wegotism,-ara-
deafness,-ate
sublicensed,-aṣẹ
godly,-bi-
months,-binrin
gateposts,-bode posts
dread,-bojo
tinged,-bulu
milestone,-de
anthropology,-eda
frank,-ede
bluff,-fefe
oracle,-idahùn
oracled,-idahùn
racle,-idahùn
gym,-idaraya
senator,-igbimọ
marathon,-ije
racing,-ije
sweepstakes,-ije
waist,-ikun
wasite,-ikun
taxable,-ilu
estates,-ini
propertied,-ini
properties,-ini
proprieties,-ini
inheritances,-iní
ministration,-iranṣẹ
scholarity,-iwe
scholarly,-iwe
imbox,-iwọle
brotherhood,-iya
trademark,-iṣowo
trademarks,-iṣowo
libation,-jijẹ rẹ
surveillance,-kakiri
facilitation,-kari
matches,-kere
transgress,-kọja
individuals,-kọọkan
courtehouse,-ladota ni
courthouse,-ladota ni
calf,-malu
heifer,-malu
calfskins,-malu awọ
subsidy,-ode
bi,-odi
blasphemies,-odi
blaspheming,-odi
collector,-odè
collectors,-odè
collectorship,-odè omi
soldieries,-ogun
auctions,-oja
economist,-okowo
sheol,-okú
peacocks,-ologe wá
cyclone,-olóoru
professions,-oojo
tax,-ori
taxgatherer,-ori gatherer
taxpaying,-ori san
groves,-oriṣa
ranching,-osin
whiter,-owu
poplar,-poplari
collaborate,-pọ
detected,-ri
diagonal,-rọsẹ
diagonial,-rọsẹ
reintegration,-sawujo
micronesia,-sílẹ
ringstraked,-tototó
censers,-turari
antwerp,-wep
equilibrium,-wonsi
ratings,-wonsi
inn,-èro
sirname,-ìdílé
surname,-ìdílé
verb,-ìse
scum,-ìyà
east,-õrùn
westward,-õrùn
task,-ṣiṣe
dematerialised,-ṣùti si
derided,-ṣùti si
lamentations,-ẹkún
sheepfolds,-ẹran
studies,-ẹrọ
venison,-ọdẹ
gracious,-ọfẹ
graciously,-ọfẹ
conscience,-ọkàn
conscienced,-ọkàn
aplacentata,-ọmọ
placenta,-ọmọ
viewfinder,-ọna
livestock,-ọsin
pubs,-ọti
babes,-ọwọ
cricket,a -ntete
crickets,a -ntete
abear,a agbateru
alist,a akojọ
ascript,a akosile
aflat,a alapin
abox,a apoti
abubble,a ategun
apair,a bata
dialed,a dahunsi
dialled,a dahunsi
pacemakers,a fi si ara
amove,a gbe
aswing,a golifu
aslope,a ite
aband,a iye
awork,a iṣẹ
aleak,a jo
awheel,a kẹkẹ
acritical,a lominu ni
opium,a ma
foams,a ma mu
solvents,a nfo
anight,a night
genealogical,a nkà
fulfilling,a nmu
aflow,a sisan
reprobates,a tanù
acold,a tutu
appoints,a yàn
ahorse,a ẹṣin
adays,a ọjọ
aha,a!
defenses,aabo
protective,aabo
safety,aabo
security,aabo
windshields,aabo afẹfẹ
protects,aabo fun
buhlwork,aabò
bulwark,aabò
welcoming,aabọ
intranet,aad
athar,aadhar
ninety,aadọrun
fiftieth,aadọta
fifty,aadọta
palaeencephalon,aafin encephalon
palaeornithology,aafin ornithology
gap,aafo
clock,aago
timers,aago
watchband,aago iye
watchstrap,aago okun
fullest,aajo
hospitalities,aajo si alejo
hedgehog,aaka
hedgehogs,aaka
arc,aaki
boarder,aala
boarders,aala
border,aala
borders,aala
boundaries,aala
bourder,aala
dot,aami
dots,aami
identical,aami
label,aami
stamping,aami
symbal,aami
symbol,aami
symbols,aami
tiny,aami
trait,aami
tyny,aami
emblem,aami apẹẹrẹ
emblems,aami apẹẹrẹ
birthmark,aami ibi
commas,aami idẹsẹ
punction,aami ifamisi
punctuation,aami ifamisi
punctuist,aami ifamisi
aces,aami kekere
registered,aami-
wins,aamieye
clemency,aanu
commissionate,aanu
compassion,aanu
compassionate,aanu
compassionated,aanu
empassionate,aanu
favoring,aanu
mercy,aanu
sympathies,aanu
