English,Other
sixpence,06:00 penics
sixpences,06:00 penics
sevenpence,07:00 penics
eightpence,08:00 penics
ninepence,09:00 penics
tuppence,2 penics
twopence,2 penics
fourpence,4 penics
aboard,a bord
shipborne,a bord
astride,a cavall
blindly,a cegues
shouldered,a coll
hereunder,a continuació
grudgingly,a contracor
unwillingly,a contracor
openheart,a cor obert
aloof,a distància
ranged,a distància
gabled,a dues aigües
els,a els
nationwide,a escala nacional
respecify,a especificar
fitfully,a estones
afloat,a flotació
thoroughly,a fons
throughly,a fons
impugnable,a impugnar
parte,a instància de part
outdoor,a l'aire lliure
outdoors,a l'aire lliure
haphazard,a l'atzar
randomly,a l'atzar
wholesale,a l'engròs
abroad,a l'estranger
upside,a l'inrevés
alacarte,a la carta
adrift,a la deriva
rightward,a la dreta
rightwards,a la dreta
forcibly,a la força
grilled,a la graella
carelessly,a la lleugera
fashionably,a la moda
whereunto,a la qual cosa
yeasty,a llevat
tome,a mi
halfway,a mig camí
midway,a mig camí
midmorning,a mig matí
halfhearted,a mitges
midafternoon,a mitja tarda
manually,a mà
additionally,a més
ademas,a més
amen,a més
amens,a més
besides,a més
furthermore,a més
globally,a nivell mundial
tous,a nosaltres
whereto,a on
apart,a part
aparte,a part
aside,a part
henceforth,a partir d'ara
thenceforward,a partir de llavors
smallscale,a petita escala
slowly,a poc a poc
abaft,a popa
astern,a popa
apriori,a priori
cerca,a prop
close,a prop
near,a prop
nigh,a prop
apropos,a propòsit
purposefully,a propòsit
purposely,a propòsit
waterproof,a prova d'aigua
bulletproof,a prova de bales
fireproof,a prova de foc
flameproof,a prova de foc
childproof,a prova de nens
republishes,a publicar
nearing,a punt
bareback,a pèl
checkered,a quadres
chequered,a quadres
plaid,a quadres
whomever,a qualsevol
whomsoever,a qualsevol
quartered,a quarts
uproariously,a riallades
namely,a saber
encima,a sobre
debajo,a sota
intime,a temps
earthed,a terra
everywhere,a tot arreu
amain,a tot córrer
countrywide,a tot el país
blaring,a tot volum
foolproof,a tota prova
hurtling,a tota velocitat
across,a través de
through,a través de
piecewise,a trossos
posthumously,a títol pòstum
ling,abadejo
pout,abadejo
abbess,abadessa
abbey,abadia
abbeys,abadies
undersigned,abajofirmante
bead,abaloris
beading,abaloris
beadwork,abaloris
flagging,abanderament
abandons,abandona
forsakes,abandona
abandonment,abandonament
dereliction,abandonament
forsaking,abandonament
dropouts,abandonaments
abandoning,abandonant
abandon,abandonar
forsake,abandonar
abandoned,abandonat
derelict,abandonat
forsaken,abandonat
marooned,abandonat
quitted,abandonat
abandonnee,abandonnée
antes,abans
before,abans
sooner,abans
ere,abans de
primarily,abans de res
cheapens,abarateix
cheapening,abaratiment
cheapen,abaratir
cheapened,abaratit
cramming,abarrotar
outreach,abast
range,abast
scope,abast
earshot,abast de l'oïda
encompassing,abastant
encompass,abastar
encompassed,abastat
spanned,abastat
resupply,abastiment
refuelling,abastiment de combustible
cater,abastir
reaches,abastos
abbe,abat
abbot,abat
casement,abatible
dejection,abatiment
despondency,abatiment
abbots,abats
dejected,abatut
dejectedly,abatut
despondent,abatut
desponding,abatuts
abdicates,abdica
abdication,abdicació
abdicating,abdicant
abdicate,abdicar
abdicated,abdicat
obadiah,abdies
abducts,abdueix
abdomens,abdòmens
abc,abecedari
spellers,abecedaris
abelard,abelardo
abels,abeles
bee,abella
bees,abelles
drone,abellot
aberrations,aberracions
aberration,aberració
abiathar,abiatar
abijah,abies
apparelled,abillada
attire,abillament
accoutred,abillat
arrayed,abillat
attired,abillat
abimelech,abimèlec
abyssinia,abisinia
abysmal,abismal
abysmally,abismalment
abyss,abisme
chasm,abisme
abysses,abismes
chasms,abismes
abyssal,abissal
abyssinian,abissini
abyssinians,abissinis
abjectly,abjectament
abject,abjecte
abjuration,abjuració
abjure,abjurar
forswear,abjurar
forswore,abjurar
abjured,abjurat
ablating,ablació
ablation,ablació
softeners,ablanidors
ablative,ablatiu
ablutions,ablucions
ablution,ablució
abnegation,abnegació
pours,aboca
vierte,aboca
dump,abocador
dustman,abocador
landfill,abocador
weir,abocador
dumps,abocadors
weirs,abocadors
poured,abocament
spill,abocament
gritting,abocament de sorra
pourable,abocar
pouring,abocar
abolishes,aboleix
abolitionist,abolicionista
abolitionists,abolicionistes
abolishing,abolició
abolition,abolició
abolish,abolir
abolished,abolit
flagitious,abominable
abominably,abominablement
abominations,abominacions
abomination,abominació
abominated,abominado
abominate,abominar
manures,abonaments
manuring,abonaments
dented,abonyegat
vierten,aboquen
accosts,aborda
accosting,abordant a
accost,abordar
tackle,abordar
accosted,abordat
boarded,abordat
tackled,abordat
tackling,abordatge
boardings,abordatges
aboriginal,aborigen
haters,aborrecedores
abhorrence,aborriment
loathing,aborriment
abortive,abortiu
aborigines,aborígens
aboute,about
acerca,about
scorches,abrasa
blistering,abrasador
scorching,abrasador
burneth,abrasarà
abrasive,abrasiu
abrasives,abrasius
abrasively,abrasivamente
abrasiveness,abrasivitat
abrasion,abrasió
graze,abrasió
cuddle,abraçada
hug,abraçada
cuddling,abraçades
embraces,abraçades
hugging,abraçades
hugs,abraçades
clamps,abraçadores
embracing,abraçant
embrace,abraçar
cuddled,abraçat
embraced,abraçat
hugged,abraçat
abbreviates,abreuja
abbreviating,abreujant
abbreviate,abreujar
abridge,abreujar
abbreviated,abreujat
abbreviation,abreviatura
abbreviations,abreviatures
coat,abric
overcoat,abric
shelter,abric
topcoat,abric
coats,abrics
overcoats,abrics
wraps,abrics
cherishes,abriga
apr,abril
april,abril
abrogation,abrogació
abrogate,abrogar
abrogating,abrogar
abrogated,abrogat
abruptly,abruptament
steeply,abruptament
abrupt,abrupte
abscesses,abscessos
abscissae,abscisses
abscissas,abscisses
abscess,abscés
absentee,absent
truant,absent
awol,absent sense permís
