English,Other
aaronic,sitere neriri erọn
abandon,ahapụ
abandoned,hapụrụ
abandoning,agbahapụ
abandonment,gbahapụrụ
abandons,ahapụ
abase,dị ala
abased,eweda
abasement,mweda nala
abases,eweda mmadụ ala
abashed,enwekwa mmechuihu
abate,tawa
abated,tawa
abbreviate,debiri
abbreviated,debiri
abbreviates,debiri
abbreviating,debiri
abbreviation,afo
abbreviations,edebiri
abdicate,i leghara
abdomen,afo
abdomens,afo
abdomina,afo
abduct,mee
abducted,dọtịrị
abducting,mee ka obo
abduction,mgbatị
abductions,mkpuru nike
abductor,tọọrọ
abducts,kpuru nike
aberration,ekwekọghị na nkwenkwe
aberrations,ọhụrụ
abhor,ịkpọ asị
abhorred,lelia
abhorrence,asọ
abhorrent,asọ oyi
abhorring,akpọọ
abhors,kpọrọ asị
abide,nọdu
abides,nānọgide
abiding,erube
abiezer,abieza
abilities,ikike
ability,ike
abject,ọnụ ntụ
ablaze,inwu enwu
able,ike
abler,inwe ike
ablest,inwe ike
abner,abnea
abnormal,ndiiche
abnormality,nhata
aboard,anọrọ
abode,we nọgide
abodes,ebe obibi dị
abolish,kwusi
abolished,kagburu
abolishes,kwusi
abolishing,kwusi
abominable,árú
abomination,árú
abominations,árú nile
aboriginal,aborigine
aborigine,dinwe obodo
aborigines,aborigine
abortion,ete ime
abortions,ime
abound,rie nne
abounded,ọtụtụ
abounding,nọtụtụ
abounds,nso juputara
about,banyere
above,nelu
aboveground,dọbara nelu
abrahamic,ebreham
abroad,ná mba ọzọ
abrupt,mberede
abruptly,inikiet inikiet
abscess,etuto
abscesses,ahụ etuto
absence,anọghị
absences,abịaghị
absent,anọghị
absentee,gbahapụrụ
absolute,zuru
absolutely,nnọọ
absolution,ziri
absolve,ịgbaghara
absolved,ketara
absorb,banye
absorbed,etinye obi gị dum
absorbing,adọrọ
absorbs,amịkọrọ
abstain,zere
abstained,zeere
abstaining,ezere
abstains,kwusi
abstract,nkịtị
abstraction,ime
abstractly,nelekwasịghị
absurd,uche naadịghị
absurder,egheri
absurdest,egheri
abundance,nụba
abundances,uju
abundant,ukwuu
abundantly,nụba
abuse,mmetọ
abused,emegbu
abuser,kwuluru
abusers,emegbu
abuses,mkparia
abusing,ịṅụbiga
abusive,mkparị
abusively,ịkparị
abysmal,njọ nke ukwuu
abyss,abis
ac,ọrụ
academic,ọmụmụ
academically,nagụmakwụkwọ
academics,ọmụmụ ha
academies,ulo mmuta
academy,mmuta
acceded,kwenyere
accelerate,mee ngwangwa
accelerated,mee ngwangwa
accelerates,mee ngwangwa
accelerating,ngwa ngwa
acceleration,osooso
accelerations,osooso
accelerator,ome osooso
accelerators,ome osooso
accent,ngwoolu
accents,ngwoolu
accentuate,mee
accentuating,leziri
accept,anabata
acceptability,anabata na
acceptable,anabata
acceptably,anara
acceptance,nnabata
acceptances,nnabata
accepted,nabatara
accepting,ịnakwere
accepts,anabata
access,ohere
accessed,enweta
accesses,uzo
accessible,inweta
accessing,na ịnweta
accession,ịchị
accessories,ngwa
accessory,ngwa
accident,mberede
accidental,na mberede
accidentally,mmadụ na mberede
accidents,ihe mberede
acclaim,tokwara
acclimatisation,acclimatization
accommodate,ịnabata
accommodated,notu ebe
accommodates,nabata
accommodating,nnabata ihe
accommodation,ulo
accommodations,ụlọ
accompanied,esonyere
accompanies,esokwa
accompaniment,ụbọ
accompaniments,nkwadoegwu
accompany,eso
accompanying,ịdọkapụta
accomplice,so
accomplices,nogbugbu
accomplish,mezuo
accomplished,mechawo
accomplishes,emezu uche
accomplishing,nimezu
accomplishment,ịrụzu
accomplishments,rụzuru
accord,dị
accordance,dị
accorded,kwanyeere
according,dị
accordingly,nihi ya
accordion,ubo egwu
accordions,ubo egwu
accords,kwekọrọ
accosted,bịakwutere
account,akaụntụ
accountability,ngosipụta
accountable,aza ajụjụ
accountancy,ego
accountant,na mwepu ego
accountants,onye mgbako ego
accounted,gua
accounting,aza ajụjụ
accounts,akaụntụ
accreditation,nzere ntozu
accrue,mubanye
accrued,nweworo
accrues,mubanye
accruing,mubanye
accumulate,akpọkọtara
accumulated,akwakọba
accumulates,imubanye
accumulating,dum nịkpa
accumulation,ìgwè
accumulations,mkpokota
accuracies,kpomkwem
accuracy,ziri ezi
accurate,ezi
accurately,nụzọ ziri ezi
accursed,ewezugara nye
accusation,ebubo
accusations,ebubo
accusative,nnara
accusatives,nnara
accuse,ebubo
accused,ebo ebubo
accuser,ebo
accusers,ebo ebubo
accuses,ebubo
accusing,ebo
accustomed,agba nkịtị
ace,itu kaadi
aces,itu kaadi
ache,mgbu
aches,ahu mbu
achievable,iru
achieve,imeta
achieved,enweta
achievement,ihe nweta
achievements,rụzuru
achiever,ịrụpụta
achieves,imeta
achieving,ọbọ
achilles,òtù achilles
aching,igbu mgbu
achor,ekoa
acid,kemgbakasi
acids,asịd
acknowledge,ekweta
acknowledged,kwetara
acknowledgement,nkweta
acknowledgements,nkweta
acknowledging,ekweta
acknowledgment,nkweta
acknowledgments,nkweta
acme,kasị
acne,ihe otutu
acnes,oko
acorn,mkpuru osisi
acorns,mkpuru osisi
acoustic,guitar
acquaint,mata
acquaintance,mmata
acquaintances,ọkọfiọkde
acquainted,emehe
acquainting,mata
acquaints,mata
acquiesce,ewere
acquiesced,kwetara
acquiescence,ike kwenye
acquire,nweta
acquired,enwetara
acquires,enweta
acquiring,enweta
acquisition,nnweta
acquisitions,mbụ
acquit,ihapu
acquits,ekpebie
acquittal,ịtọhapụ
acquittals,nhapu
acquitted,tọhapụwo
acquitting,ihapu
acrobat,ihe itu nanya
acrobatics,ihe mgbagwoju anya
acrobats,ihe nkiri
across,gafee
acrylic,na na na
act,eme
acted,mere omume
acting,eme
action,edinam
actions,omume
activate,rụọ ọrụ
activated,ọrụ
activating,rụọ ọrụ
activation,ebighị
active,arụsi ọrụ ike
actively,ifịk ifịk
activist,mmume
activists,oru
activities,eme
activity,ọrụ
actor,omee
actors,eme ihe nkiri
actress,omee
actresses,omee
acts,ọrụ
actual,nezie
actualisation,actualization
actualise,actualize
actuality,nezie
actualization,ọṅụṅụ
actually,nezie
actuating,eduzi uche
acupuncture,igba okpukpu
acupunctures,igba okpukpu
acupuncturists,agbapu
acute,nnukwu
acuteness,ịdị nkọ
acutest,nnukwu
adage,ekwukarị
adamant,isi ike
adamantly,ji isi ọnwụ
adamic,adam kpatara
adapt,imeghari
adaptability,ime mgbanwe
adaptable,eme mgbanwe
adaptation,mmegharị
adapted,emegharị
adapter,nkwụnye
adapters,ihe nkwụnye
adapting,nịgbanwe
adaptive,agbanwe
adaptor,nkwụnye
adaptors,ihe nkwụnye
adapts,imeghari
adar,eda
add,tinye
added,kwukwara
addict,riri ahụ
addicted,riri ahụ
addiction,iri mmadụ ahụ
addictions,eri ahụ
addictive,eri ahụ
addictiveness,iri ahụ
addicts,riri ahụ
adding,agbakwunye
addition,mgbakwunye
additional,ọzọ
additionally,ọzọkwa
additions,ose
additive,mmako
additives,nwekwara
address,okwu
addressed,kwara
addresses,adreesị
addressing,agwa okwu
addressograph,adres
adds,naagbakwụnye
adducted,abịazi
adenine,adenin
adequate,ezigbo
adequately,ọma
adhere,rube
adhered,gbasoro
adherence,rapagidesie
adherent,ekpe
adherents,ekpe
adheres,agbaso
adhering,ana
adhesive,nrapado
adjacent,nakụkụ
adjective,ijere
adjoining,dịkọrọ nso
adjourn,itinyeghari
adjourned,yigharịrị
adjourning,itinyeghari
adjourns,itinyeghari
adjure,enyesi
adjust,kpatụ
adjustable,kemeghi
adjusted,iji ghọọ
adjusting,nịgbanwe
adjustment,ukpụhọde
adjustments,mgbanwe
adjusts,imeghari
adjutant,osote
admin,ha
administer,dọọ
administered,ndinọ
administering,anamde ibọ
administers,si naelekọta
administration,ochichi
administrations,ochichi
administrative,ndutịm
administrator,nchịkwa
administrators,ndị ọchịchị
admirable,ata nti
admiral,ochiagha
admirals,ochiagha
admiration,mmasi
admirations,mmasi
admire,enwe mmasị
admired,enwe mmasị nebe
admires,nwee mmasị
admiring,ekiri
admissible,kwesịghị
admission,mbanye
admissions,nnabata
admit,ekweta
admits,ekweta
admittance,nnabata
admittances,nnabata
admitted,kwetara
admittedly,neziokwu
admitting,kwetasịrị
admonish,adụ ha ọdụ
admonishes,adụ nọdụ
admonishing,adụ ha ọdụ
admonition,ndụmọdụ
adolescence,eto eto
adolescences,ntorobia
adolescent,nwa
adolescents,eto eto
adopt,ịmụta
adopted,nakweere
adopting,nịkpa
adoption,nkuchi
adoptions,nkuchi
adoptive,kuchiri
adopts,ikporo
adorable,mara ezigbo mma
adoration,efe ofufe
adore,akpọ isiala nye
adored,ife
adores,ife
adoring,ife
adorn,chọọ
adorned,chọọkwa ya mma
adorning,chọọ
adornment,ịchọ mma
adornments,ịchọ mma
adorns,naachọ
adrammelech,adramelek
adrift,ebugharị
ads,mgbasa ozi
adullam,adulam
adult,okenye
adulterer,akwa iko
adulterers,akwa iko
adulteress,akwa iko
adulteresses,na ndinyom nākwa iko
adulteries,iko
adulterous,akwa iko
adultery,iko
adulthood,ịghọ okenye
adults,ndị okenye
advance,ọganihu
advanced,keihu
advancement,ọganihu
advancements,ọganihu
advances,ọganihu
advancing,ịka
advantage,uru
advantageous,uru
advantages,uru
advent,biakwa obibia
adventists,adventist
adventure,njem
adventurer,onye njem
adventurers,onye njem
adventures,njem ihe egwu
adverb,nkwuwa
adverbs,nkwuwa
adversaries,iro
adversary,asua
adverse,oghom
adversely,nụzọ dị njọ
adversities,niyi
adversity,ihe isi
advert,mgbasa ozi
advertise,ịkpọsa
advertised,igbasa ozi ahia
advertisement,mgbasa ozi ahia
advertisements,mgbasa ozi
advertiser,mgbasa ozi
advertisers,akpọsa ngwá ahịa
advertises,akpọsa
advertising,mgbasa ozi
adverts,mgbasaozi
advice,ndụmọdụ
advices,ndụmọdụ
advisable,amamihe
advise,nye ndụmọdụ
advised,dụrụ
adviser,ndụmọdụ
advisers,ndị ndụmọdụ
advises,adụ ọdụ
advising,inye ndumodu
advisor,naenye ndụmọdụ
advocacy,onwe
advocate,akwado
advocated,kwalitere
advocates,akwado
advocating,ikwado
aeons,ọtụtụ ijeri afọ
aerated,ji
aerial,efe nelu
aerogel,airgel
aeroplane,ụgbọelu
aeroplanes,ụgbọelu
aeros,eros
aesthete,esthete
aesthetic,ị gwara
aesthetician,esthetician
afar,anya
affair,omume
affairs,omume
affect,emetụta
affected,emetụta
affecting,emetụta
affection,mmetụta ịhụnanya
affectionate,mmetụta ịhụnanya
affectionately,ịhụnanya
affections,mmetụta
affects,emetụta
affidavit,inyi
affidavits,inyi
affiliate,mgbakwunye
affiliated,mmekọ
affiliates,mmekọ
affinity,mmekọrita
affirm,ikwenye
affirmation,nọnu
affirmations,naegosipụta na
affirmative,kemkwenye
affirmatively,ee
affirmed,abasi ọdọhọ
affirming,ikwenye
affirms,ikwenye
affix,ikunye
affixed,kaakwa
affixes,ikunye
affixing,ikunye
afflict,mekpaa ahụ
afflicted,wedara
afflicting,akpa
affliction,emekpa
afflictions,nnanenyịn
afflicts,anwụ
affluence,uba
affluent,abaghị ọgaranya
afford,imeli
affordable,ọnụ
afforded,nagụmakwụkwọ
affording,imeli
affords,enye
affrighted,amawo kwa jijiji
affront,mkparị
afire,nwuru ọkụ
aflame,agbakwa
afloat,sere nelu
aforementioned,hotara na mbụ
aforetime,noge gara aga
afraid,egwu
africa,afirika
african,onye afirika
africans,africa
afro,ụmụ nwanyị isi ojii
after,mgbe
aftereffect,ikpeazụ
aftereffects,akpata
afterlife,ndụ mgbe a nwụsịrị
aftermath,kpara
afternoon,ehihie
afternoons,ehihie
afterward,emesia
afterwards,e mesịa
again,ọzọ
against,megide
agama,atakpotekeme
age,afọ
aged,merela agadi
ageing,merela agadi
ageless,anaghị emebi emebi
agencies,ụlọ ọrụ
agency,gị nụlọnga
agenda,burukwa
agendas,atumatu
agent,gị nụlọnga
agents,elekọta mmadụ
ages,afọ
aggrandisement,aggrandizement
aggravate,ime
aggravated,atalata kawanye njọ
aggravates,ka njọ
aggravating,kenjo
aggravation,nkpasuiwe
aggravations,njokari
aggregate,nchịkọta
aggression,awakpo
aggressions,mbuso agha
aggressive,ike ike
aggressiveness,ime ihe ike
aggressor,onye mwakpo
aggressors,ebido
aghast,ekporopụkwa
agility,kraiptographi
aging,merela agadi
agitate,gwụ
agitated,jijiji
agitates,iruuka iwe
agitating,ikwu
aglow,anụ ọkụ
agnostic,amaghị ma chineke
ago,oge gara aga
agonies,ihe mwute
agonise,agonize
agonised,agonized
agonising,egbu mgbu
agonisingly,dịghị
agonizing,egbu mgbu
agonizingly,dịghị
agony,ihe mwute
agora,asa ahụ
agree,ekweta
agreeable,nabatara
agreeably,si chọọ
agreed,kwetara
agreeing,nikwere
agreement,nkwekọrịta
agreements,nkwekọrịta
agrees,ekweta
agribusiness,ọrụ ugbo azụmahịa
agric,nkuzi
agricultural,ugbo
agriculture,oru ugbo
agricultures,oru ugbo
agronomists,ndị ọkà
agronomy,ndia
aground,ụgbọ mmiri
ahab,ehab
ahead,nihu
ahu,ahụ
aid,enyemaka
aide,osote onyeisi òtù
aided,inyeaka
aides,inyeaka
aiding,ninyere
aids,oria mmikpo
ailing,arịa ọrịa
ailment,ọrịa
ailments,ọrịa
ails,nēme
aim,ebumnuche
aimed,iji
aiming,ibu nobi
aimless,enweghị isi
aims,mbunoobi
air,ikuku
aircraft,ugbo elu
airflow,ofufe ikuku
airline,ụgbọelu
airlines,ụgbọ elu
airmail,ee meelu
airmails,ee meelu
airplane,ụgbọelu
airplanes,ụgbọelu
airport,ọdụ
airports,ọdụ ụgbọelu
airs,buliri onwe ya elu
airsickness,eji agbọ agbọ
airtime,mgbasa
airways,karị
aisle,wara wara
aisles,uzo
aka,aka aka
ake,åke
al,ọc
ala,unu banyere nobodo ha
alabaster,alabasta
aland,åland
alarm,mkpu
alarmclock,kulooku alaam
alarmed,kwusiri
alarming,njo
alarmingly,nụzọ dị egwu
alarms,mkpu
alas,ewoo
alaskan,nalaska
alba,abom
albanians,albania
album,abom
albums,abom
alchemist,my chemical romance
alchemy,my chemical romance
alco,on
alcohol,mmanya
alcoholic,mmanya na
alcoholics,aṅụrụma
alcoholism,aṅụrụma
alcoholisms,mme nanya
alcohols,mmanya naeme nanya
aldermen,omeiwu
alee,eshgham
alert,mụrụ anya
alerted,ijikere
alerter,kenleruanya
alertest,kenleruanya
alerting,ijikere
alerts,njikere
ales,hacke
alexandria,chiefs
alexandrian,aleksandria
algerian,algerie
algorithm,algọridim
algorithms,algọridim
algum,osisi algọm
alia,ọzọ
alias,utu aha
aliases,aha otutu
alibi,mkwado
alibis,mkwado
alien,ọbịa
alienate,adọpụ
alienated,kewapụrụ
alienates,ichupu
alienating,ichupu
alienation,nkewapụ
alienations,mchupu
aliens,ọbịa
alight,iritu
alighted,kwusịrị
alighting,iritu
alights,iritu
align,mmezi
aligned,kwekọọ
aligning,kwado
alignment,itinye nọnọdụ
aligns,mmezi
alike,myiri
alimonies,alimoni
alimony,alimoni
alit,iritu
alive,ndụ
alkyl,nala
all,niile
allay,ibelata
allaying,ibelata
allegation,ebubo
allegations,boro
allege,ebubo
alleged,boro
allegedly,kwuru
allegiance,ịkwado
allegiances,nruwe isi
allegorical,ifo
allegory,akụkọ ifo
allergen,+ nụsụụ
allergic,nfụkasị
allergies,nke ahu anataghi
allergy,nke ahu anataghi
alleviate,belata
alleviated,belatara
alleviates,belata
alleviation,mbelata ihe
alley,uzo warawara
alleys,uzo warawara
alliance,mmekorita
alliances,njikọ aka
allied,kemmekorita
allies,mmekorita
alligator,agu iyi
alligators,agụ iyi
allocate,igbunye
allocated,ekenyela
allocates,igbunye
allocating,igbunye
allocation,oke dị
allocations,oke
allot,ikenye
allotment,òkè
allotments,nòkè
allots,ikenye
allotted,kenyere
allotting,ikenye
allover,agafeela
allow,ekwe ka
allowance,udeme
allowances,kwesịkwara iburu nuche
allowed,ekwe
allowing,ikwe
allows,enye ohere
alloy,aloi
alloys,aloi
allude,ịpụta
alluded,zoro
alludes,atụ aka na
alluding,ezo
allure,ụrà
allured,ido akpiri
allurement,arata
allurements,ndọrọ
allures,arafu
alluring,ido akpiri
ally,mmekorita
allying,nime
almightiness,pụrụ ime ihe nile
almighty,pụrụ ime ihe nile
almon,nalmon
almond,alimondu
almonds,almọnd
almost,fọrọ nke nta
alms,ebere
aloft,akwụgo
alone,naanị
along,tinyere
alongside,nakụkụ
aloud,nkpu
alpha,alfa
alphabet,mkpụrụ okwu
alphabetic,mkpụrụ akwụkwọ abịchịị ede
alphabetical,keabiidii
alphabets,mkpụrụ akwụkwọ abịchịị
alps,nugwu alps
already,ama
alright,na naa
also,na
altar,ịchụàjà
altars,ịchụàjà
alter,agbanwe
alteration,mgbanwe
alterations,mgbanwe
altered,gbanwere
altering,agbanwe
alternate,ọzọ
alternated,isoro
alternates,isoro
alternating,nwetụ
alternation,eri oké nri
alternative,ọzọ
alternatively,nhọrọ
alternatives,uzo ozo
alters,gbanwere
although,ọ bụ ezie na
altiplano,naltiplano
altitude,elu
altitudes,karị
alto,ekwekọrịtawo
altogether,kpam kpam
aluminium,aluminum
aluminum,aluminom
alumni,otu ndị gụchara ụlọ akwụkwọ
always,mgbe niile
am,abụ
ama,ma ọ bụ
amal,emal
amalekite,amalek
amalgam,njikọta
amarillo,namarillo
amass,akpakọba
amassed,kpakọbara
amateur,amu amu
amateurs,enwechaghị ahụmahụ
amaze,itu nanya
amazed,idem akpa
amazement,eju
amazements,ntunanya
amazes,juru
amazing,ịtụnanya
amazingly,oke itunanya
ambassador,nnọchiteanya
ambassadorial,nnọchiteanya
ambassadors,nnọchiteanya
amber,amba
ambers,amba
ambient,ihere
ambiguity,ngwọjuanya ọbụla
ambition,ebumnobi
ambitions,ebumnobi
ambitious,oké ọchịchọ
ambitiously,oké ọchịchọ
ambrosian,ambrose
ambulance,ụgbọ ihe mberede
ambulances,ambulansi
ambush,nbì
ambushed,echechiela
ambushes,uju nēru nbì
ambushing,ime mberede
amend,megharịa
amended,emeziri
amending,ịmegharị
amendment,mmeghari
amendments,mmegharị
amends,kpezie
amenities,eji enyere ndụ aka
america,amerika
american,keamerika
americans,america
americas,america
amiability,omume enyi
amicable,ke udo
amicably,nụzọ udo
amid,gburugburu
amiss,mehiere
ammon,amọn
ammonia,amonia
ammonite,amon
ammonites,amọn
ammonitess,amon
ammunition,mgbọ
ammunitions,mgboagha
amnesia,obi nchefu
amnesias,obi nchefu
amnesties,mgbaghara
amnesty,mgbaghara
amnion,amniọnụ
amniotic,mmiri
among,netiti
amongst,netiti
amorite,amorait
amorous,amalitewo inwe mmasị mmekọahụ
amortisation,amortization
amortised,amortized
amount,ego
amounted,dị iri na
amounts,ichekwa
amour,ma cherie
amp,nkwupụta ụda
amphitheater,ọgbọ egwuregwu
amphitheaters,eme egwuregwu
amphitheatre,ọgbọ egwuregwu
amphorae,nọbu nime ite ụrọ
ample,otutu
ampler,otutu
amplest,otutu
amplified,adịkwu
amplifier,ampilifaya
amplifiers,ampilifaya
amplifies,ikowa
amplify,ikowa
amplifying,anaakọwa
amplitude,njupụta
amply,ndidi
amps,miri
amputate,egbupụ
amputated,bepụ
amputates,ibepu
amputating,ibepu
amputation,bepụ ụkwụ
amputations,mbepu
amputees,ndi ebere ahu no
amuck,malitere ime ara ara
amulet,emere ọtụmọkpọ
amulets,ọgwụ nchebe
amuse,ito ochi
amused,ito ochi
amusement,ntụrụndụ
amusements,ntụrụndụ
amuses,ito ochi
amusing,atọ ọchị
an,ihe
anabaptists,anabaptist
anaemic,ụkọ ọbara
anaesthesia,nkụnwụ
anaesthetic,anestetiiki
anaesthetics,ọgwụ naakụnwụ
anaesthetised,anesthetized
anaesthetist,nkụnwụ
anaesthetists,anesthetists
anal,gbasara ike
analgesic,ịnụ ọgwụ
analog,analọg
analogy,ntụnyere
analyse,nyochaa
analysed,nyochaa
analyser,analyzer
analysers,analyzers
analyses,eneme
analysing,si achọpụta
analysis,nseke
analyst,nyocha
analysts,nnyocha
analytical,gbasara nyocha
analytics,nchịkọta
analyze,nyochaa
analyzed,nyochaa
analyzes,eneme
analyzing,si achọpụta
anarchies,ogba aghara
anarchy,ogba aghara
anathematized,katọrọ
anatomic,akpụpụta
anatomies,anatomi
anatomy,mmewere
ancestor,ndi nna nna
ancestors,nna nna
ancestral,nna nna
ancestress,nne ochie
ancestresses,eka ete
ancestries,okpu
ancestry,okpu
anchor,arịlịka
anchored,arịlịka
anchoring,mado
anchors,anko
anchovies,azu ankovi
anchovy,azu ankovi
ancient,oge ochie
ancients,okenye
and,na
andalusian,andalusia
andante,www flo
android,a gam akporo
ane,afọ
anecdotal,dabeere nahụmahụ
anecdotes,nkenke akụkọ nkụzi
anemia,anaemia
anemic,ụkọ ọbara
anesthesia,nkụnwụ
anesthesiologist,nkụnwụ
anesthesiology,akụnwụ
anesthetic,anestetiiki
anesthetics,ọgwụ naakụnwụ
anesthetist,nkụnwụ
anew,nisi
anga,aka
angel,mmuo ozi
angelic,mmụọ ozi
angelica,angélica
angels,ndị mmụọ ozi
anger,iwe
angered,kpasuru ha iwe
angle,nakuku
angles,akụkụ
anglicans,anglịkan
anglicised,gēme
anglo,briten
angrier,iwe karị
angriest,keiwe
angrily,eji iwe
angry,iwe
anguish,nhụjuanya
ani,britney
animal,anụmanụ
animalistic,anụ
animals,anụmanụ
animate,izubandu
animated,izubandu
animates,eme
animating,ndụ
animation,aga aga
animations,nzubandu
animosities,ibu iro
anker,african
ankle,nkwonkwo ụkwụ
ankles,nkwonkwo ụkwụ
annalise,annalize
annals,mere nụbọchị
annas,anas
annex,mgbakwunye
annexed,weghaara
annexes,mgbakwunye
annihilate,niyi
annihilated,niyi
annihilates,imebisi
annihilating,kpochapụ
annihilation,ebibi
annihilations,mmebisi
anniversaries,emume ncheta
anniversary,ncheta
announce,ịkpọsa
announced,mara ọkwa
announcement,mara ọkwa
announcements,ọkwa
announcer,ogwaokwu
announcers,ogwaokwu
announces,ọkwa na
announcing,ezikwa
annoy,iwe iwe
annoyance,iwe
annoyances,iwe
annoyed,iwe iwe
annoying,manụ
annoys,iwe iwe
annual,kwa afọ
annualised,annualized
annually,kwa afọ
annuity,ala na ụlọ
annul,imesa
annulled,akagbu akagbu
annulling,imesa
annulment,mmesa
annulments,mmesa
annuls,imesa
anoint,etekwa
anointed,e tere mmanụ
anointer,mmanụ
anointing,mmanụ e
anoints,ete
anonyme,amaonye
anonymised,zoo
anonymous,amaonye
another,ọzọ
answer,azịza
answerable,aza ajụjụ
answered,za
ant,ndanda
antagonise,idomokoro
antagonised,antagonized
antagonises,idomokoro
antagonising,ekwugide
antagonism,imegidesi
antagonisms,adomokoro
antagonist,eti ọkpọ
antagonistic,emegide
antagonists,akụ ọkpọ
antagonize,idomokoro
antagonized,idomokoro
antagonizes,idomokoro
antagonizing,ekwugide
antecedent,na ụmụ gị niwu
antelope,ele
antelopes,ele
antenna,poolu
antennae,aji anya
antennas,aji anya
anterior,ihu
anthem,ukwe
anthems,uri otito
anthill,mkpu
anthills,mkpu
anthropologist,bụ ọkà
anthropologists,ọkà mmụta banyere mmadụ
anti,mgbochi
antibiotic,ọgwụ nje
antibiotics,ọgwụ nje
antibodies,alụso ọrịa ọgụ
antibody,amụma ụgha
antichrist,emegide kraịst
antichrists,emegide kraịst
anticipate,atụ anya
anticipated,atụ anya
anticipates,atụ anya
anticipating,mfịn
anticipation,atụmanya
anticipations,nlemeanya
antidote,ngwọta
antidotes,ogwu ngbochi
antifreeze,mmiri nbelata ịjụ oyi
antifreezes,antifirizi
antigens,abụkwara
antimalarial,ịba
antipathy,asị
antiphonically,e kwee
antiquated,mgbe ochie
antique,ochie
antiquities,mgbe ochie
antiquity,noge ochie
antiseptic,antiseptik
antiseptics,antiseptik
antisocial,asọ ndị mmadụ asọ
antitype,sere onyinyo ya
antitypical,atụ
antlers,mpi
antonym,megidere
ants,ndanda
anus,ike
anuses,ike
anvil,igwe anvil
anvils,igwe anvil
anxieties,nchegbu
anxiety,nchegbu
anxious,echegbula onwe unu
anxiously,oké mmasị na
any,ọ bụla
anybody,onye ọ bụla
anyhow,nụzọ ọbụla
anymore,ọzọ
anyone,onye ọ bụla
anything,ihe ọ bụla
anytime,oge obula
anyway,agbanyeghị
anyways,ko
anywhere,nebe ọ bụla
apace,ngwa ngwa
apaches,apache
apart,iche
apartment,ulo
apartments,ụlọ
apathetic,enweghị mmasị nozi
apathy,enweghị mmasị
ape,adaka
aperitifs,aperitif
apes,adaka
apex,onu ire
apexes,onu ire
apices,onu ire
apiece,otu
apnoea,apnea
apocalypse,adị ndụ ọzọ
apocalypses,ẹkefiọhọ
apocrypha,npako
apocryphal,apọkrịfa
apollos,apọlọs
apologetic,rịọ ya mgbaghara
apologetically,weturu
apologies,mgbaghara
apologise,ịrịọ mgbaghara
apologised,rịọ mgbaghara
apologises,arịọ mgbaghara
apologising,ịrịọ mgbaghara
apologists,nkwado okwukwe
apologize,ịrịọ mgbaghara
apologized,rịọ mgbaghara
apologizes,arịọ mgbaghara
apologizing,ịrịọ mgbaghara
apos,nd
apostacy,esiwanye
apostasy,si nezi ofufe dapụ
apostate,si nezi ofufe dapụ
apostates,si nezi ofufe dapụ
apostatizing,nezi ofufe dapụ
apostle,ndi otu
apostles,ndịozi
apostleship,onyeozi
apostrophe,nkwusora
apostrophes,nkwusora
app,ngwa
appal,ume imapu
appalling,jọgburu
appals,ume imapu
apparatus,ngwa
apparatuses,mgwa oru
apparel,nuwe
apparelled,nēyi
apparent,o di
apparently,o doro anya na
apparition,na onyinyo mmụọ
appeal,mkpesa
appealed,kpọkuru
appealing,adọrọ mmasị
appeals,mkpegharị
appear,egosi
appearance,ọdịdị
appearances,anya
appeared,pụtara
appearing,pụtara
appears,egosi
appease,obi jụrụ
appeased,ime obi uto
appeases,ime obi uto
appeasing,ikwa
append,gbakwunyere
appendage,abụba
appendages,gaghịkwa ewebata
appended,gbakwụnyere
appendices,apendiks
appendix,odide ntụkwasị
appendixes,apendiks
appetiser,appetizer
appetising,appetizing
appetite,agụụ
appetites,agụụ
appetize,agụụ
appius,apịọs
applaud,akụ
applauded,jara
applauding,akụ aka
applauds,ikuaka
applause,kụrụ aka
applauses,nkuruaka
apple,apụl
apples,apụl
appliance,ngwa oru
appliances,ngwa
applicable,na ọdabara
applicant,ocho oru
applicants,achọ ịbata
application,ngwa
applications,ngwa
applied,etinyere
applies,emetụta
apply,ide
applying,nitinye
appoint,ndimek
appointed,kara aka
appointees,ẹmek
appointing,nhọpụta
appointment,nhọpụta
appointments,ịhọpụta
appoints,ahọpụta
apportion,eke netiti
apportioned,kère
apportioner,naekere
apportioning,kwụsị
appraisal,ịmata otú mmekọrịta
appraisals,nnyocha aka oru
appraise,were
