English,Other
aaronic,haruna
abandon,bari
abandoned,watsi da
abandoned infant,watsi da jariri
abandoned ship,watsi da jirgin ruwa
abandoning,bar
abandons,barta
abased,sunã ƙasƙantattu
abbot,mazaunin
abbreviated,rage tsawon
abbreviation,raguwa
abdomen,ciki
abdominal,ciki
abdominal cavity,ciki kogo
abdominal delivery,ciki bayarwa
abdominal muscle,ciki tsoka
abdominal pregnancy,ciki ciki
abduct,sata
abducted,sace
abducting,sace wa
abduction,sata
abel,habila
abhor,ji ƙyamar
abhorred,ƙi jinin mutane
abhorrence,ƙin
abhorrent,ji daɗin
abhors,yamar
abide,madawwama
abide by,madawwama by
abiding,kumamafi wanzuwa
ability,ikon
ability to pay,ikon biya
abject,ƙasƙanci
ablaze,a wuta
able bodied,iya bodied
abnormal,mahaukaci
abnormal condition,mahaukaci yanayin
abnormal psychology,mahaukaci tunani
aboard,a kan
abode,makõmarsu
abolish,warware
abolished,soke
abolishes,ya shãfe
abolishing,soke
abolishment,kau
abominable,qyama
abominably,abar banƙyama
abomination,ƙyama
aboriginal,yan asali
abort,qdialogbuttonbox
aborted,zubar waccan
abortion,zubar da ciki
abortion pill,zubar da ciki kwaya
abound,fifita
abound in,fifita a
abound-in,fifita-in
abounding,mai girma
abounds,sun yalwata
abound-with,fifita-da
about,game da
about face,game da fuskarka
about time,game da lokaci
about to,game da zuwa
about turn,game da nuna
about-face,game da-fuska
about-turn,game da-bi da bi
above,sama
above all,sama da kowa
above board,sama hukumar
above mentioned,sama da aka ambata
above named,sama mai suna
above par,bisa daidai
above stairs,bisa mataki
above suspicion,bisa zargin
above the line promotion,bisa line gabatarwa
above yourself,bisa kanka
above-board,sama-hukumar
abraham,ibrahim
abrahamic,ibrahim
abrasive material,abrasive kayan
abreast of,abreast na
abridged,gutsurarren
abroad,kasashen waje
abrogate,shafe
abrogated,shafe
abrogating,shafewar
abrogation,sharewa
abrupt,na ba zato
abscess,ƙurji
absence,rashi
absence makes the heart grow fonder,rashi sa zuciya girma fonder
absence of mind,babu hankali
absence of postage,babu kuɗin wasiƙa
absent,ba ya nan
absent minded,ba ya nan shiryayye
absent mindedly,ba ya nan mindedly
absent mindedness,ba ya nan mindedness
absent oneself,ba ya nan kunya
absentee ballot,absentee kuriar asiri
absentee landlord,absentee mai masauki
absentee rate,absentee kudi
absenteeism rate,absenteeism kudi
absent-minded,ba ya nan shiryayye
absolute,cikakkar
absolute alcohol,cikakken barasa
absolute ceiling,cikakken rufi
absolute frequency,cikakken mita
absolute loader,cikakken loader
absolute majority,cikakken rinjaye
absolute pitch,cikakken farar
absolute scale,cikakken sikelin
absolute space,cikakken sarari
absolute temperature,cikakken zafin jiki
absolute threshold,cikakken bakin kofa
absolute value,cikakken darajar
absolute viscosity,cikakken danko
absolute zero,cikakkar sifili
absolutely,cikakken
absolute-zero,cikakkar sifili-
absolve,kuɓutar da
absolved,barrantar da
absorb,sha
absorb ability,sha ikon
absorb-able,sha-iya
absorbed,tunawa
absorbent cotton,absorbent auduga
absorbent material,absorbent kayan
absorbing,mamaye
absorbing capacity,mamaye iya aiki
absorbs,garwaya da
absorption,sha
absorption band,sha band
absorption coefficient,sha coefficient
absorption indicator,sha nuna alama
absorption unit,sha naúrar
abstain,kauce
abstained,tsare gida
abstaining,guje
abstains,ta kaurace
abstention,gujewa
abstract art,m art
abstract artist,m artist
abstract entity,m mahaluži
abstract expressionism,m expressionism
abstract noun,m suna
abstract thought,m tunani
absurdities test,absurdities gwajin
absurdity,wauta
abundance,yawa
abundant proof,m hujja
abundantly,yalwa
abused,azaba
abuses,muzguna
abusing,waxansu
abut on,abut a kan
abyssinia,abisiniya
academia,masana ilimi
academic,ilimi
academic administrator,ilimi shugaba
academic costume,ilimi kaya
academic degree,ilimi digiri
academic department,ilimi sashen
academic freedom,ilimi yanci
academic gown,ilimi riga
academic relation,ilimi aboki
academic requirement,ilimi da ake bukata
academic robe,ilimi tufafi
academic session,ilimi zaman
academic term,ilimi ambatacce
academic year,ilimi shekara
academy,makarantar kimiyya
academy award,makarantar kimiyya lambar yabo
academy of music,makarantar kimiyya na music
accelerate,hanzarta
accelerated,kara
acceleration,hanzari
acceleration unit,hanzari naúrar
accelerator,totur
accent,lafazi
accept,yarda
accept a bid,yarda a karo
acceptability,kuma karbar
acceptably,zai amince
acceptance,yarda
acceptance sampling,yarda daukan samfur
accepted,yarda
accepting,yarda
acceptor,mai karɓar
