English,Other
aa,ee
aaronsrod,ang kasalungat ng nakalimutan rod
ababeinarms,isang babe sa arm
abaci,abako
abackseatdriver,isang back-seat driver
abacloth,aba tela
abacus,abako
abacuses,abako
abadan,sa abadan
abaddon,impyerno
abaddream,isang masamang panaginip
abadegg,isang masamang itlog
abadlot,isang masamang maraming
abadsailor,isang masamang marino
abaft,sa popa
abagofbones,isang supot ng buto
abagofnerves,ang isang bag ng nerbiyos
abakersdozen,isang bakers dosena
aballoffire,isang bola ng apoy
aballparkfigure,ang isang halos katumbas na-figure
abalone,abulon
abalones,abulon
abandon,pabayaan
abandoned,abandonado
abandonedchild,ang inabandunang mga bata
abandonedclaim,ang inabandunang mga claim
abandonedinfant,mga inabandunang mga sanggol
abandonedperson,ang inabandunang mga tao
abandonedship,inabandunang barko
abandoning,lisanin
abandonment,pagpapabaya
abandonmentofoffice,pag-abanduna ng opisina
abandonments,pagpapabaya
abandononeselfto,iwanan ang sarili sa
abandons,lisanin
abaptismoffire,isang pagbibinyag ng apoy
abase,humamak
abased,mabababa
abasement,pagpapababa
abasements,pagpapababa
abaseoneself,humamak sa sarili
abases,ibinababa
abash,tarantahin
abashed,napahiya at nalito
abashes,tarantahin
abashing,tarantahin
abashment,pagkalito
abashments,pagkalito
abasing,humamak
abatablenuisance,abatable istorbo
abate,pahupain
abated,pahupain
abatement,paghulaw
abatementofanuisance,paghulaw ng isang istorbo
abatements,paghulaw
abatementsuit,paghulaw suit
abates,pahupain
abating,pahupain
abattoir,katayan ng hayop
abattoirs,katayan ng hayop
abatvent,abat-magbulalas
abbacies,tungkulin ng pari
abbacy,tungkulin ng pari
abbe,abbé
abbecondenser,abbé pampalapot
abbess,pryora
abbesses,pryora
abbey,kumbento
abbeys,kumbento
abbot,pryor
abbots,pryor
abbreviate,paikliin
abbreviated,pinaikli
abbreviates,paikliin
abbreviating,paikliin
abbreviation,pagpapaikli
abbreviations,daglat
abbs,diary
abc,alpabeto
abcs,alpabeto
abdicate,magbitiw sa tungkulin
abdicated,magbitiw sa tungkulin
abdicatedemperor,abdicated emperador
abdicates,magbitiw sa tungkulin
abdicating,magbitiw sa tungkulin
abdication,pagbibitiw sa tungkulin
abdicationofthrone,pagbibitiw sa tungkulin ng trono
abdications,pagbibitiw sa tungkulin
abdomen,tiyan
abdomens,tiyan
abdomina,tiyan
abdominal,ng tiyan
abdominalactinomycosis,sakit ng davao
abdominalaneurysm,tiyan aneurysm
abdominalaorta,sakit ng aorta
abdominalbandage,sakit ng bendahe
abdominalcavity,tiyan lukab
abdominalchills,sakit ng panginginig
abdominaldelivery,sakit ng paghahatid
abdominalmuscle,tiyan kalamnan
abdominalpregnancy,sakit ng pagbubuntis
abdominaltyphus,sakit ng tipus
abdominous,malaki ang tiyan
abducensmuscle,abducens kalamnan
abducensnerve,abducens magpalakas ng loob
abducentnerve,abducent magpalakas ng loob
abduct,umagaw
abducted,dinukot
abducting,umagaw
abduction,pag-agaw
abductions,pag-agaw
abductor,mangangagaw
abductores,mangangagaw
abductormuscle,kalamnan mangangagaw
abductors,mangangagaw
abeam,sa trabers ng
abear,amakakaya
abeautifulwoman,isang magandang babae
abecedarian,ayon sa abakada
abed,isang kama
abedofroses,sa isang kama ng mga rosas
abedofthorns,sa isang kama ng tinik
abelia,puwetan babe
aberdeen,sa aberdeen
aberdeenangus,sa aberdeen angus
aberrant,nagkaligaw
aberration,pagkaligaw
aberrations,pagkaligaw
abet,tumulong
abetment,pag-uudyok
abetments,pag-uudyok
abets,tumulong
abetted,tumulong
abetting,tumulong
abettor,kasapakat
abettors,kasapakat
abextra,ab dagdag na
abeyance,pagpapaliban
abeyances,pagpapaliban
abhor,mapoot
abhorred,kinayamutan
abhorrence,diri
abhorrences,poot
abhorrent,kasuklam-suklam
abhorring,mapoot
abhors,mapoot
abidance,pagsuko
abidances,pagsuko
abide,tumahan
abideby,sumunod sa pamamagitan ng
abidebytherules,sumunod sa pamamagitan ng ang mga patakaran
abides,nananatili
abiding,matibay
abidingplace,masunurin sa lugar
abigfishinalittlepond,ang isang malaking isda sa isang maliit na pond
abilities,kakayahan
ability,abilidad
abilitytopay,kakayahan upang bayaran ang
abilitytowork,kakayahan upang gumana
abiogeneses,abyohenesis
abiogenesis,abyohenesis
abiology,agwalbuhay
abird,isang ibon
abirdinthehandisworthtwointhebush,ang isang ibon sa kamay ay nagkakahalaga ng dalawang sa ang bush
abirdofpassage,isang ibon ng pagpasa sa
abirdseyeview,isang ibon eye view
abit,konti
abitmuch,ang isang bit magkano
abitof,ang isang bit ng
abitofa,ang isang bit ng isang
abitofallright,ang isang bit ng lahat ng karapatan
abitofcrumpet,ang isang bit ng krampet
abitofdoughtomakeachapatti,ang isang bit ng pera upang gumawa ng isang chapatti
abitoffluff,ang isang bit ng pahimulmulin
abitofskirt,ang isang bit ng palda
abitofstuff,ang isang bit ng mga bagay-bagay
abittercup,isang mapait na saro
abitterpillfortoswallow,isang mapait na tableta para sa lunok
abitthick,ang isang bit makapal
abject,kasuklam-suklam
abjected,pagtatali nanay mga babaeng dominante
abjection,dawal
abjections,dawal
abjure,magtakwil
abjured,magtakwil
abjures,magtakwil
abjuring,magtakwil
ablacklentil,isang itim na lentil
ablacklook,isang itim na hitsura
ablacksheep,isang itim na tupa
ablation,pagputol
ablations,pagputol
ablative,ablatibo
ablativeabsolut,ablatibo absolut
ablativecase,ablatibong kaso
ablatives,ablatibo
ablaze,naglalagablab
able,may kakayahan
ablebodied,magagawang bodied
ablebodiedism,magagawang bodiedism
ablebodiedseaman,magagawang-bodied seaman
ablebodism,magagawang bodism
ablehand,magagawang kamay
ableman,magagawang tao
ableofmakingevil,kakayahang ng paggawa ng masama
ableperson,magagawang tao
abler,may kakayahan
ables,ang nagpapahintulot
ableseaman,magagawang marino
ablessingindisguise,isang pagpapala sa magkaila
ablest,may kakayahan
abletobechanged,magagawang upang maging nagbago
abletobetakenapart,magagawang upang maging kinuha hiwalayin
abletopay,magagawang magbayad
abletowork,magagawang upang gumana
abloom,namumulaklak
ablotonthelandscape,isang mantsa sa landscape
ablowbyblowaccount,isang blow-by-blow account
ablowbyblowdescription,isang blow-by-blow paglalarawan
ablush,namumula
ablution,paghuhugas
ablutions,paghuhugas
ably,sanay
abnegate,magtakwil
abnegated,magtakwil
abnegates,magtakwil
abnegating,magtakwil
abnegation,pagpapakasakit
abnegations,pagpapakasakit
abner,si abner
abneylevel,abney antas
abnormalcondition,abnormal na kondisyon
abnormalcreature,abnormal na nilalang
abnormalities,kaalanganan
abnormality,kaalanganan
abnormalsubstancecirculatingintheblood,abnormal sangkap na nagpapalipat-lipat sa dugo
aboard,sakay
aboardaship,lulan ng isang barko
abode,tahanan
abodeofafaquir,tahanan ng isang faquir
abodeofdemons,tinitirahan ng mga demonyo
abodeofgods,tahanan ng mga diyos
abodes,tahanan
abogroup,abo grupo
abolish,buwagin
abolished,buwag
abolishes,alisin
abolishing,buwagin
abolishment,pagpawi
abolishments,pagpawi
abolition,pagpawi
abolitionists,aalipin
abolitions,pagpawi
aboltfromtheblue,ang isang tornilyo mula sa asul na
abomb,a-bomba
abominable,kasuklam-suklam
abominablehabit,kasuklam-suklam na ugali
abominablepractice,karumal-dumal na kasanayan
abominablesnowman,nakapopoot taong yari sa niyebe
abominate,mapoot
abominated,mapoot
abominates,mapoot
abominating,kinayayamutan
abomination,pagkasuklam
abominations,pagkasuklam
abonmarche,isang bon marche
aboriginal,taal
aboriginalaustralian,aboriginal australya
aboriginals,sa mga aboriginals
abort,mabigo
aborted,nabigo
abortedfetus,iniurong sanggol
abortedfoetus,iniurong sanggol
aborting,mabigo
abortion,pagpapalaglag
abortioninducingdrug,pampalaglag na gamot
abortionist,labag sa batas na dalubhasa sa pagpapaanak
abortionists,labag sa batas na dalubhasa sa pagpapaanak
abortionpill,pagpapalaglag tableta
abortions,pagpapalaglag
abortivebirth,abortive kapanganakan
abortively,maagang
aborts,mabigo
abound,makapal
abounded,makapal
aboundin,makapal sa
abounding,makapal
aboundinginwater,abounding sa tubig
abounds,makapal
aboundwith,makapal na may
about,tungkol sa
aboutface,tungkol sa mukha
aboutperson,tungkol sa tao
abouts,nakarating
aboutthat,tungkol sa na
abouttime,tungkol sa oras
aboutto,tungkol sa
abouttodieout,tungkol sa upang mamatay out
abouttogoout,tungkol sa upang pumunta out
abouttoweep,tungkol sa umyak
aboutturn,tungkol sa i
above,sa itaas
aboveall,higit sa lahat
aboveaverage,sa itaas average na
aboveboard,sa itaas board
abovecriticism,itaas ang mga pintas
abovegiven,sa itaas ibinigay na
aboveground,sa itaas ng lupa
abovehead,sa itaas ng ulo
abovementioned,sa mga nabanggit sa itaas
abovenamed,sa itaas na may pangalang
abovepar,sa itaas par
abovesaid,sa itaas sinabi
abovestairs,sa itaas ng hagdan
abovestatement,pahayag sa itaas
abovesuspicion,sa itaas hinala
abovethat,sa itaas na
aboveyourself,itaas ang iyong sarili
abracadabra,kalokohan
abrade,magbura
abraded,magbura
abrades,magbura
abrading,magbura
abradingstone,abrading bato
abrahamsbosom,abrahams dibdib
abram,si abram
abranchial,walang hasang
abranchiate,walang hasang
abrasion,hadhad
abrasioncoin,hadhad barya
abrasions,hadhad
abrasive,nakasasakit
abrasivematerial,nakasasakit na materyal
abreast,magkatabi
abrege,abrégé
abridge,magpaikli
abridged,magpaikli
abridgedversion,abridged bersyon
abridgement,pagpapaikli
abridgements,pagpapaikli
abridgers,nagpaikli ng mga tala
abridges,magpaigsi
abridging,magpaikli
abridgment,pagpapaikli
abridgments,pagpapaikli
abrightspark,isang maliwanag na spark
abroad,nasa ibang bansa
abrogate,magpawalang-bisa
abrogated,magpawalang-bisa
abrogates,magpawalang-bisa
abrogating,magpawalang-bisa
abrogation,pagpapawalang-bisa
abrogations,pagpapawalang-bisa
abrupt,bigla
abruption,paghihiwalay
abruptions,paghihiwalay
abruptly,biglang
abruptlypinnate,biglang nakaayos sa dalawang gilid
abruptlypinnateleaf,biglang-nakaayos sa dalawang gilid dahon
abruptness,pagkabigla
abruptnesses,pagkabigla
abscess,maga
abscessedtooth,abscessed ngipin
abscesses,paltos
abscissa,absisa
abscissae,absisa
abscissas,abscissa
abscission,pagputol
abscissions,pagputol
abscond,tumakas
absconded,tumakas
absconding,tumakas
absconds,tumakas
absence,kawalan
absenceofattachment,kawalan ng attachment
absenceofdelay,kawalan ng pagka-antala
absenceofdesire,kawalan ng pagnanais
absenceofdevotion,kawalan ng katapatan
absenceofhumanhabitation,kawalan ng tirahan ng tao
absenceofinterest,kawalan ng interes
absenceoflight,kawalan ng liwanag
absenceoflonging,kawalan ng pag-asam
absenceofpossession,kawalan ng pag-aari
absences,kawalan
absencewithoutleave,kawalan nang-iwan
absent,wala
absentee,manliliban
absenteeballot,manliliban balota
absenteeism,pagliban
absenteeismrate,pagliban rate
absenteeisms,pagliban
absenteelandlord,balotang may-ari ng lupa
absenteerate,manliliban rate
absentees,manliliban
absentia,pagliban
absently,na lumilipad ang isip
absentminded,lumilipad ang isip
absintheoil,absinthe langis
absolute,lubos
absolutealcohol,ganap na alak
absoluteauthority,ganap na kapangyarihan
absolutebeing,ganap na pagiging
absoluteceiling,ganap na kisame
absoluteconviction,ganap na pananalig
absolutefrequency,ganap na dalas
absolutely,walang pasubali
absolutelynecessary,ganap na kinakailangan
absolutemajority,absolute karamihan
absolutemonarchy,ganap na monarkiya
absoluteness,sariling katotohanan
absolutenesses,sariling katotohanan
absoluteorder,ganap na pagkakasunod-sunod
absolutepower,ganap na kapangyarihan
absolutereality,ganap na katotohanan
absoluterule,ganap na panuntunan
absolutesafety,ganap na kaligtasan
absolutescale,ganap na sukat
absolutespace,ganap na espasyo
absolutetemperature,ganap na temperatura
absolutethreshold,ganap na limitasyon
absoluteviscosity,ganap na lapot
absolutezero,ganap na zero
absolution,pagpapawalang-sala
absolutions,kapatawaran
absolutism,absolutismo
absolutisms,absolutismo
absolutist,absolutista
absolutists,absolutista
absolve,magpawalang-sala
absolved,basbasan
absolves,basbasan
absolving,basbasan
absorb,sumipsip
