English,Other
descried,.описан
peradventure,: може да
unhidden,_възстановени са досега скрити
alfreds,alfrēds
armee,armée
arrete,arrêté
assemblee,assemblée
autorite,autorité
avoue,avoué
breathalysed,breathalyzed
brutalising,brutalizing
burgerlichen,bürgerlichen
ca©tait,ca © тейт
ca'ta©,ca'ta ©
ca¦sar,ca|sar
cheminee,cheminée
comite,comité
communaute,communauté
couldna,couldnâ
crus,cru
da¨s,das
dagli,dağlı
deputised,deputized
derniere,dernière
despua©s,despua © ите
didna,didnâ
døde,dode
duree,durée
decouverte,découverte
elal,elal съобщи в неделя
entendre,entender
espa©rance,espa © ранс
espanoles,españoles
espece,espèce
eulogising,eulogizing
eum,eüm
brach,eад клон
faculte,faculté
facultes,facultés
fenetre,fenêtre
fidele,fidèle
foure,fouré
franzosische,französische
fruh,früh
felicite,félicité
forsta,första
funf,fünf
furst,fürst
furstin,fürstin
genets,genêts
gør,gor
grunen,grünen
generaux,généraux
høre,hore
hyva,hyvä
hohere,höhere
hutte,hütte
jerusala©n,jerusala © п
jetee,jetée
jested,ještěd
kilometers,km
kilometres,km
kilowatt,kw
kilowatts,kw
konige,könige
konigin,königin
korper,körper
lincolns,lincoln
lagrimas,lágrimas
legerement,légèrement
levai,lévai
ma­,ma
macs,mac ове
malgra©,malgra ©
marechale,maréchale
ministere,ministère
millimetre,mm
millimetres,mm
melisande,mélisande
mullers,müllers
muur,müür
na©tait,na © тейт
njal,njål
nomme,nõmme
nonce,nведнага щом
oppe,oppé
pardonne,pardonné
passa©,passa ©
pensa©e,pensa © д
pensees,pensées
prest,perst
plucker,plücker
poetes,poètes
pra¨s,pras
precieux,précieux
presente,présente
pummelling,pummeling
pyha,pyhä
perouse,pérouse
pecheur,pêcheur
qualitat,qualität
responsabilite,responsabilité
rucken,rücken
sa©cria,sa © cria
sa©tait,sa © тейт
sacree,sacrée
savours,savors
schlussel,schlüssel
schone,schöne
schonen,schönen
schoner,schöner
schones,schönes
schonheit,schönheit
sea±or,sea ± или
sempre,semper
societes,sociétés
sodomising,sodomizing
stadte,städte
suden,süden
tambia©n,tambia © п
tha©ra¨se,tha © фитоендесатураза
traite,traité
troisieme,troisième
tras,trás
tra¨s,trás
tunc,tunç
tochter,töchter
vare,v са
wasna,wasnâ
wa¦s,wa|s
warme,wärme
wolfert,wölfert
zuruck,zurück
qua©,© условие
deg,° с
asmund,åsmund
dyd,ðÿð
offentlichen,öffentlichen
hopefully,а дано
namely,а именно
lampshade,абажур
lampshades,абажури
abacus,абака
ebony,абанос
abbas,абас
abbe,абат
abbeys,абатства
abbey,абатство
abdication,абдикация
abdicated,абдикира
abdicates,абдикира
abdicating,абдикира
abdicate,абдикирам
abe,абе
abelard,абелар
abele,абеле
abend,абенд
aberrations,аберации
aberration,аберация
indent,абзац
abbie,аби
abby,аби
aby,аби
abidjan,абиджан
abydos,абидос
abyssinia,абисиния
abyssinian,абисински
abyssinians,абисински
graduation,абитуриентски
ablative,аблатив
ablate,аблация
ablating,аблация
abolitionists,аболиционистите
subscription,абонамент
subscriptions,абонаменти
subscriber,абонат
subscribers,абонати
subscribe,абонирай се
subscribing,абонирането
aboriginal,абориген
aborigines,аборигени
abortion,аборт
abortionists,аборти
abortions,аборти
miscarriages,аборти
abort,абортира
aborts,абортира
miscarried,абортиралите
abrasive,абразив
abrasives,абразиви
abrasively,абразивно
abrasiveness,абразивност
abrasion,абразия
abbreviation,абревиатура
absinthe,абсент
absolue,абсолю
absolutes,абсолю
absolute,абсолютен
veriest,абсолютен
absolutism,абсолютизъм
absolutist,абсолютист
absolutely,абсолютно
desideratum,абсолютно недостатъчно
nary,абсолютно никакви
extractor,абсорбатор
absorbent,абсорбент
absorber,абсорбер
absorbers,абсорбери
absorbed,абсорбира
absorb,абсорбират
absorptive,абсорбиращ
absorbing,абсорбиращи
absorption,абсорбция
absorptions,абсорбция
absorptivity,абсорбция
abstract,абстрактен
abstractly,абстрактно
abstractions,абстракции
abstraction,абстракция
abstracting,абстрахиране
absurdity,абсурд
absurdist,абсурда
absurd,абсурден
preposterous,абсурден
absurdities,абсурди
ridiculously,абсурдно
ridiculousness,абсурдност
abscess,абсцес
abscesses,абсцеси
abscissa,абсциса
abscissae,абсциса
abscissas,абсцисната
abul,абул
aberdeen,абърдийн
abbotsford,абътсфорд
vanguard,авангард
garde,авангарден
avantgarde,авангардната
backfire,аванс
advances,аванси
upfront,авансово
overextended,авантюри
brinkmanship,авантюризма
adventurism,авантюризъм
adventurer,авантюрист
adventurers,авантюристи
adventurous,авантюристичен
adventurously,авантюристично
adventuress,авантюристка
vamp,авантюристка
troubleshooter,авариен монтьор
breakdown,авария
aug,август
august,август
augustus,август
augustine,августин
augustina,августина
augustan,августовата
ave,аве
avea,авеа
abel,авел
aven,авен
abner,авенир
averil,аверил
absalom,авесалом
avesta,авеста
abiathar,авиатар
aviator,авиатор
flier,авиатор
airmen,авиатори
aviators,авиатори
aircrews,авиация
aviation,авиация
aviso,авизо
abimelech,авимелех
airbase,авиобаза
airlines,авиокомпании
airline,авиолиния
avionics,авионика
airlift,авиотранспорт
avicenna,авицена
abijah,авия
oriole,авлига
avocado,авокадо
abraham,авраам
abram,аврам
aurelian,аврелиан
aurelius,аврелий
avril,аврил
aurora,аврора
australian,австралийската
wombat,австралийско двуутробнтно
wallabies,австралийци
aussies,австралийците
australians,австралийците
australasia,австралия
australia,австралия
austrian,австрийската
austrians,австрийци
austria,австрия
authentic,автентичен
authentically,автентично
authenticity,автентичност
autobiographies,автобиографии
resumes,автобиографии
autobiographical,автобиографичен
autobiography,автобиография
abus,автобус
banc,автобус
bus,автобус
buses,автобуси
autograph,автограф
autographed,автограф
autographs,автографи
autoimmune,автоимунно
retorting,автоклавиране
motorcade,автоколона
autocrat,автократ
autocrats,автократи
autocratically,автократично
autocracies,автокрации
autocracy,автокрация
dealership,автокъща
dealerships,автокъщи
autolycus,автолик
motorways,автомагистрали
autobahns,автомагистралите
automat,автомат
automata,автомати
automates,автомати
automats,автомати
bindings,автомати
machinegun,автомати
automation,автоматизация
automaton,автоматизация
automate,автоматизиране
automating,автоматизиране
mechanise,автоматизиране
automated,автоматизирано
automatics,автоматика
auto,автоматичен
automatic,автоматичен
automatically,автоматично
automobile,автомобил
automotive,автомобилен
automobiles,автомобили
motoring,автомобилизъм
motorist,автомобилист
motorists,автомобилистите
tire,автомобилна гума
tyre,автомобилна гума
tires,автомобилни гуми
tyres,автомобилни гуми
autonomous,автономен
autonomy,автономия
autonomously,автономно
autopilot,автопилот
selfportrait,автопортрет
author,автор
parodist,автор на пародии
romancer,автор на рицарски романи
authors,автори
songwriters,автори на песни
lyricists,автори на текстове
authoritarian,авторитарен
authoritarianism,авторитаризъм
authoritarians,авторитарни
framers,авторите
authoritative,авторитетен
magisterial,авторитетен
authoritatively,авторитетно
authoress,авторка
authorial,авторова
royalties,авторски и лицензионни възнаграждения
copyrightable,авторски или сродни права
copyrights,авторските права
auteur,авторско
copyright,авторско право
authoring,авторство
authorship,авторство
stesso,авторството споделяне на споделеното
hitchhike,автостоп
hitchhiked,автостоп
hitchhiking,автостоп
autos,автотехника
aga,ага
agag,агаг
againe,агайн
agamemnon,агамемнон
agar,агар
hagar,агар
agaragar,агар агар
agassiz,агаси
agatha,агата
agathe,агате
agathon,агатон
agent,агент
agents,агенти
agencies,агенции
agency,агенция
agens,агенция която работи
aggie,аги
agi,аги
hagiography,агиография
aguirre,агире
agis,агис
agitator,агитатор
agitators,агитатори
campaigning,агитация
canvassing,агитация
agitates,агитира
agitate,агитирам
agitprop,агитпроп
agglomerations,агломерации
conurbations,агломерации
agglomeration,агломерация
conurbation,агломерация
agglomerated,агломериран
agglomerating,агломериращо
agglutinative,аглунитиращ
agne,агне
lambing,агнене
lambs,агнета
lambswool,агнешка вълна
lambskin,агнешка кожа
plucks,агнешки дреболии
lamb,агнешко
agnostic,агностик
agnosticism,агностицизъм
agnostics,агностиците
agnew,агню
agonisingly,агонизиращо
agonies,агонии
agonist,агонист
agonists,агонисти
agony,агония
agora,агора
agoraphobia,агорафобия
agostino,агостино
aggravations,агравитации
agrarian,аграрен
agriculturally,аграрно
aggregate,агрегат
aggregates,агрегати
aggregation,агрегация
slugged,агрегира
aggregated,агрегиран
slugging,агрегиране
aggressive,агресивен
scrappy,агресивен
thuggish,агресивни
aggressively,агресивно
truculently,агресивно
aggressiveness,агресивност
truculence,агресивност
aggressions,агресии
aggression,агресия
aggressor,агресор
aggressors,агресори
agricol,агрикол
agrippa,агрипа
agrippina,агрипина
agribusiness,агробизнеса
agriculturist,агроном
agronomist,агроном
agriculturalists,агрономи
agriculturists,агрономи
agronomists,агрономи
agronomy,агрономия
agrochemicals,агрохимикали
agrochemical,агрохимически
aguas,агуас
agustin,агустин
agouti,агути
hades,ад
hell,ад
hells,ад
inferno,ад
tartarus,ад
adhoc,ад хок
adda,ада
adagio,адажио
adam,адам
adamson,адамсън
adaptations,адаптации
adaptation,адаптация
adapter,адаптер
adaptor,адаптер
adapters,адаптери
adaptors,адаптери
adaptive,адаптивно
adaptively,адаптивно
adaptivity,адаптивност
adapt,адаптира
adapts,адаптира
adapted,адаптиран
namesake,адаш
attorney,адвокат
avocat,адвокат
counsel,адвокат
lawyer,адвокат
pleader,адвокат
solicitor,адвокат
barrister,адвокат който пледира
attorneys,адвокати
barristers,адвокати
lawyers,адвокати
