English,Other
off,-დან
at,-ზე
on,-ზე
up,-ზე
for,-თვის
to,-მდე
naphthene,-ნაფთენურ
transports,-სატრანსპორტო
in,-ში
mushroomer,: riot
aggrandisement,aggrandizement
agonise,agonize
agonised,agonized
aerogel,airgel
anaesthetists,anesthetists
anaesthetised,anesthetized
annalise,annalize
stithy,anvil ონლაინ
appetiser,appetizer
appetising,appetizing
appliqued,appliquéd
arabisation,arabization
archaeopteryx,archeopteryx
ardour,ardor
armouries,armories
arse,ass
auslanders,ausländers
axe,ax
backpedalled,backpedaled
backpedalling,backpedaling
barrelled,barreled
barrelling,barreling
bedevilled,bedeviled
bedevilling,bedeviling
bejewelled,bejeweled
bolson,bolsón
breathalysed,breathalyzed
brutalised,brutalized
brutalising,brutalizing
nonconservation,bug არასამთავრობო კონსერვაციის
bucko,bučko
busing,büsing
cabries,cabriès
caddie,caddy
calo,caló
camaron,camarón
cancelli,cancelli- ს
cannibalise,cannibalize
cannibalising,cannibalizing
capitalising,capitalizing
casualisation,casualization
cataloguing,cataloging
coeliac,celiac
centring,centering
channelise,channelize
chaine,chaîne
chequebook,checkbook
chequebooks,checkbooks
chequered,checkered
cire,ciré
cognisance,cognizance
cognisant,cognizant
coloureds,coloreds
colourings,colorings
consomme,consommé
councillorship,councilorship
cosier,cozier
cosying,cozying
crannogs,crannógs
crepy,crépy
creches,crêches
cere,cère
coteaux,côteaux
decolonisation,decolonization
defencemen,defensemen
dehumanising,dehumanizing
demeanour,demeanor
demobilise,demobilize
demonisation,demonization
demutualisation,demutualization
demutualise,demutualize
demutualised,demutualized
deputise,deputize
deputising,deputizing
decani,dečani
dialler,dialer
diallers,dialers
digitised,digitized
dishevelled,disheveled
diene,diène
doughnut,donut
doughnuts,donuts
draughtsman,draftsman
duelling,dueling
empanelled,empaneled
engenders,engen კვლევის
enrolments,enrollments
enthral,enthrall
equalisers,equalizers
aeros,eros
aesthetician,esthetician
oestrogen,estrogen
eulogised,eulogized
eulogising,eulogizing
externalisation,externalization
externalising,externalizing
faggot,fagot
fantasise,fantasize
fantasised,fantasized
fervour,fervor
foeticide,feticide
fiancees,fiancées
fiances,fiancés
fibreglass,fiberglass
fictionalised,fictionalized
immoderately,flared მკვეთრად
fogey,fogy
formalisation,formalization
fowl,fowl დოკუმენტის ნახვა
frise,frize
funnelled,funneled
galvanising,galvanizing
gemutlichkeit,gemütlichkeit
glamour,glamor
gluhwein,glühwein
gonorrhoea,gonorrhea
greyer,grayer
greys,grays
grovelling,groveling
gruelling,grueling
grone,grône
guilloche,guilloché
gaum,gäum
genoise,gènoise
harbour,harbor
hectolitres,hectoliters
haemophiliacs,hemophiliacs
humoured,humored
humourless,humorless
heroe,héroe
indigenisation,indigenization
internalise,internalize
itemised,itemized
jewellers,jewelers
gybe,jibe
kilolitre,kiloliter
kilolitres,kiloliters
kummel,kümmel
kyte,kýtè
lacklustre,lackluster
trashed,latest მობილური
leveller,leveler
lupin,lupine
lustre,luster
manoeuvrability,maneuverability
marvellously,marvelously
materialising,materializing
medalled,medaled
mesmerised,mesmerized
mesmerising,mesmerizing
midsize,mid ზომის
millilitres,milliliters
mineralised,mineralized
miniaturisation,miniaturization
misjudgement,misjudgment
mitre,miter
bewail,moan შესახებ
moderniser,modernizer
moisturiser,moisturizer
moisturising,moisturizing
mould,mold
mouldings,moldings
mouldy,moldy
moralising,moralizing
multicoloured,multicolored
marchen,märchen
medaillon,médaillon
monsteras,mönsterås
nanometre,nanometer
nanometres,nanometers
neighbourliness,neighborliness
nonfarm,nonfarm გადახდილი
nosey,nosy
ochre,ocher
odours,odors
optimises,optimizes
outmanoeuvred,outmaneuvered
pyjama,pajama
pyjamas,pajamas
panelled,paneled
paralyses,paralyzes
parcelled,parceled
patronising,patronizing
pedalled,pedaled
pedalling,pedaling
pedestrianised,pedestrianized
paedophile,pedophile
paedophiles,pedophiles
paedophilia,pedophilia
pembrokes,pembroke უელსის
penalises,penalizes
pencilled,penciled
pencilling,penciling
predy,perdy
prest,perst
picturised,picturized
plagiarised,plagiarized
ploughman,plowman
ploughshares,plowshares
poitin,poitín
powwows,powwow შეხვედრები
pretences,pretenses
prising,prizing
probit,probit- ის
proller,pröller
pummelling,pummeling
damns,q ქოქოლას აყრის
queueing,queuing
rancour,rancor
rankly,rankly შეურაცხყოფა
recapitalise,recapitalize
refuelling,refueling
regularisation,regularization
detacher,remover რეკომენდაციები
reprised,reprized
retraite,retraité
reveller,reveler
revellers,revelers
revelling,reveling
revitalising,revitalizing
rigour,rigor
rivalling,rivaling
rivo,rivö
rontgen,röntgen
sabre,saber
sabres,sabers
saleable,salable
saltires,saltiers
sanitaria,sanitària
sapor,sapör
saviours,saviors
savour,savor
savoured,savored
savours,savors
scenographies,scénographies
securitisation,securitization
sememes,sememes რომლის
sempre,semper
sensationalised,sensationalized
sensitisation,sensitization
sensitising,sensitizing
serialisation,serialization
serialised,serialized
senoras,señoras
shadeless,shadeless ახალი ამბები
shovelled,shoveled
shovelling,shoveling
shrivelled,shriveled
signallers,signalers
siloed,siled
syphon,siphon
siecle,siècle
skua,skuâ
smoulder,smolder
socialised,socialized
socialising,socializing
sodomising,sodomizing
solemnised,solemnized
spectres,specters
spires,spiers
spatlese,spätlese
stigmatise,stigmatize
stigmatising,stigmatizing
buriti,style
succour,succor
superate,supérate
swivelled,swiveled
swivelling,swiveling
synergise,synergize
senas,sénas
seraphin,séraphin
tantalising,tantalizing
technicolour,technicolor
teetotaller,teetotaler
thio,thio სატრანსპორტო
thae,thæ
tikas,tikas კატეგორია: ნახატები
towelling,toweling
traumatises,traumatisés
tricolour,tricolor
tricolours,tricolors
trivialise,trivialize
trivialising,trivializing
underutilised,underutilized
undines,undinės
unionised,unionized
unravelled,unraveled
unrecognisable,unrecognizable
unsavoury,unsavory
untrammelled,untrammeled
urbanised,urbanized
urena,ureña
urubu,urubú
vandalisation,vandalization
vandalise,vandalize
vellon,vellón
velour,velor
vilde,vildé
villany,villány
vags,vágs
waggoner,wagoner
whata,whatâ
womaniser,womanizer
womanising,womanizing
worshipper,worshiper
worshipping,worshiping
repute,· ციტირება · ^
cark,çark
etoiles,étoiles
salal,şalāl
swarmed,აავსო
fuse,აალება
fuses,აალება
flammable,აალებადი
inflammable,აალებადი
igniter,აალების
igniting,აალების
elevate,აამაღლოს
remunerate,აანაზღაუროს
analyses,აანალიზებს
analyzes,აანალიზებს
mannered,აანალიზებს
noncommittal,აარიდა
eschew,აარიდოს
shrinks,აარიდოს
thrusted,აარიდოს
blew,ააფეთქეს
waved,ააფრიალეს
activates,ააქტიურებს
rejuvenate,აახალგაზრდავებს
rejuvenated,აახალგაზრდავებს
rejuvenates,აახალგაზრდავებს
bathroom,აბაზანა
bathtub,აბაზანა
baths,აბაზანები
bathtubs,აბაზანები
spas,აბაზანები
refutes,აბათილებს
rebalances,აბალანსებს
bath,აბანო
bathhouse,აბანოს
donating,აბარებენ
indention,აბზაცი
indentions,აბზაცი
paragraphing,აბზაცით
indent,აბზაცის
wormwood,აბზინდა
pill,აბი
pills,აბი
pollute,აბინძურებს
pollutes,აბინძურებს
enrollees,აბიტურიენტებს
leavers,აბიტურიენტებს
abiturient,აბიტურიენტთა
entrants,აბიტურიენტთა
matriculates,აბიტურიენტთათვის
entrant,აბიტურიენტი
graduators,აბიტურიენტმა გაიარა
laundrymen,აბიჯანელი
ablaut,აბლაუტისათვის
ablated,აბლაცია
ablation,აბლაცია
baffle,აბნევა
baffled,აბნევა
baffles,აბნევა
baffling,აბნევა
ignitable,აბოლებადი
interlending,აბონემენტი
subscribers,აბონენტებს
costumers,აბონენტი
subscriber,აბონენტი
caller,აბონენტის
subscribes,აბონენტს
aboriginal,აბორიგენი
aborigine,აბორიგენი
autochthonous,აბორიგენი
abortions,აბორტების
abortion,აბორტი
postabortion,აბორტის შემდგომი
signboard,აბრა
abrasion,აბრაზიას
abrasive,აბრაზიული
abrasives,აბრაზიული
nameplates,აბრები
signboards,აბრები
silks,აბრეშუმი
silk,აბრეშუმის
silky,აბრეშუმისებრი
silkworm,აბრეშუმხვევიას
stupefies,აბრუებს
absinth,აბსენტი
absinthe,აბსენტი
absolutory,აბსოლიტურად
absolutising,აბსოლუტიზაცია
absolutism,აბსოლუტიზმის
absolutely,აბსოლუტურად
eminently,აბსოლუტურად
absolute,აბსოლუტური
absoluteness,აბსოლუტურობა
absorptiometer,აბსორბციომეტრი
absorbable,აბსორბციული
abstract,აბსტრაქტული
abstractive,აბსტრაქტული
abstraction,აბსტრაქცია
abstractions,აბსტრაქციები
abstractionism,აბსტრაქციონიზმის
absurdist,აბსურდის
absurdly,აბსურდულად
absurd,აბსურდული
absurdities,აბსურდული
absurdity,აბსურდული
nonsensical,აბსურდული
preposterous,აბსურდული
abscesses,აბსცესები
abscess,აბსცესი
castor,აბუსალათინის
armors,აბჯარი
dachas,აგარაკები
summerhouses,აგარაკები
dacha,აგარაკი
summerhouse,აგარაკის
eject,აგდებს
persue,აგდებს
disparagingly,აგდებულად
erects,აგება
agents,აგენტები
agent,აგენტი
agential,აგენტურულ
agger,აგერი
settles,აგვარებს
august,აგვისტოს
sends,აგზავნის
excitability,აგზნებადობას
excitation,აგზნების
reviled,აგინებდეს
agitators,აგიტატორები
agitator,აგიტატორი
agitate,აგიტაცია
agitates,აგიტაცია
agitation,აგიტაცია
agitating,აგიტაციას
agitations,აგიტაციის
sintering,აგლომერაციის
agglomerated,აგლომერირებული
sintered,აგლომერირებული
smoothens,აგლუვებს
clumping,აგლუტინაცია
agglutination,აგლუტინაციის
agglutinins,აგლუტინინები
agglutinate,აგლუტინირდება
agnostic,აგნოსტიკი
agony,აგონიაშია
agonist,აგონისტების
agonists,აგონისტების
agranulocytosis,აგრანულოციტოზი
agrarians,აგრარიკოს
agronomical,აგრარულ
agrarian,აგრარული
aggregates,აგრეგატები
aggregate,აგრეგატის
aggregating,აგრეგაცია
aggregation,აგრეგაციას
aggregated,აგრეგირებული
xylographic,აგრეთვე ქსილოგრაფიული
aggression,აგრესია
militancy,აგრესია
aggressions,აგრესიისგან
bellicose,აგრესიულ
aggressively,აგრესიულად
aggressive,აგრესიული
assertive,აგრესიული
belligerent,აგრესიული
hawkish,აგრესიული
aggressors,აგრესორები
aggressing,აგრესორი
aggressor,აგრესორი
agria,აგრია
agribusiness,აგრობიზნესის
collects,აგროვებს
enlists,აგროვებს
gathers,აგროვებს
reassembling,აგროვებს
agronomists,აგრონომები
agriculturist,აგრონომი
agronomist,აგრონომი
agronomy,აგრონომია
agronomic,აგრონომიული
agritourism,აგროტურიზმის
agrotourism,აგროტურიზმის
agrochemicals,აგროქიმიკატების
agrochemical,აგროქიმიკატის
perpetuates,აგრძელებს
proceeds,აგრძელებს
bricks,აგური
brick,აგურის
bricklaying,აგურის დამგები
humans,ადამიანები
traffickers,ადამიანებით მოვაჭრეთა
aforetime,ადამიანებს
human,ადამიანის
humanly,ადამიანურად
humanise,ადამიანური
accuse,ადანაშაულებენ
accuses,ადანაშაულებს
blames,ადანაშაულებს
adaptations,ადაპტაცია
