English,Other
cwt,100ポンド
million,100万
millionth,100万分の1
hundredfold,100倍
hundredth,100分の1
centenary,100周年
centennial,100周年
decem,10の
tenfold,10倍に
billion,10億
billionth,10億分の1
tenth,10分の1
decade,10年
oct,10月
october,10月
decimus,10番目の
decimal,10進数
xi,11
nov,11月
november,11月
novembre,11月1日
twelve,12
xii,12
dec,12月
december,12月
dodecahedral,12面体の
xiii,13
thirteen,13個
fourteen,14
xiv,14
fifteen,15
xv,15
sixteen,16
xvi,16
hexadecimal,16進数
hex,16進法
xvii,17
seventeen,17歳
xviii,18
fiftieth,18264
eighteen,18歳
engarde,19
nineteen,19
xix,19
pennyworth,1ペニーで買える分
quid,1ポンド
oner,1ポンドのお金
trillion,1兆
trainload,1列車分の貨物
once,1回
january,1月
twenty,20
bicentenary,200周年
bicentennial,200年祭
twenties,20歳代
twentieth,20番目
icosahedron,20面体
icosahedral,20面体の
xxi,21
xxiii,23
roundtheclock,24時間体制で
circadian,24時間周期の
twopenny,2ペンス
twopence,2ペンス貨
twofold,2倍
diploid,2倍体
twice,2回
biennial,2年に一度の
sophomore,2年生
feb,2月
february,2月
second,2番目
fortnight,2週間
fortnightly,2週間ごとの
disyllabic,2音節
disyllable,2音節語
dyadic,2項の
thirty,30個
thirties,30歳代
trilingual,3カ国語の
threepence,3ペンス硬貨
cubed,3乗の
trebled,3倍
threefold,3倍に
trebling,3倍に
triplication,3倍にすること
thrice,3回
triennial,3年ごとの
mar,3月
trilogy,3部作
forty,40
forties,40代
four,4つの
fourpence,4ペンス
foursome,4人組
quartette,4人組
quadruple,4倍
fourfold,4倍に
quadroon,4分の1黒人
threequarters,4分の3
quadripartite,4分割
quartering,4分割
apr,4月
april,4月
tetrahedron,4面体
tetrahedral,4面体の
fifty,50
quincentenary,500年祭
fifties,50年代
fiver,5ドル紙幣
quintuple,5倍
fivefold,5倍に
quinquennial,5年ごとの
pentathlete,5種競技選手
pentagonal,5角形の
pentasyllabic,5音節の
sixty,60
sixties,60年代
sixpence,6ペンス
sixpenny,6ペンスの
sixfold,6倍に
sixths,6分
jun,6月
june,6月
hexameter,6歩格
sextuplet,6連音符
seventies,70年代
seventy,70歳
sevenfold,7倍に
jul,7月
july,7月
eighty,80人
octogenarian,80代
eighties,80年代
fourscore,80歳
eightpence,8ペンス
eights,8人乗りの
eightfold,8倍に
quaver,8分音符
aug,8月
august,8月
octal,8進数の
octahedron,8面体
octahedral,8面体の
ninety,90
nineties,90年代
nine,9人
ninefold,9倍に
ninths,9分
sep,9月
september,9月
abondance,abondanceの
aboot,abootの
abord,abordの
societys,acsの
adieus,adieuの複数形
adieux,adieuの複数形
admen,admanの複数形
advancer,advanceするもの
akt,aktの
albinia,albiniaの
alcides,alcidesの
aldermen,aldermanの複数形
alluvia,alluviumの複数形
alts,altの
alway,alwaysの古語
amico,amicoの
amie,amieの
amroth,amrothの
ancestress,ancestorの
anselme,anselmeの
anstey,ansteyの
antitheses,antithesisの複数形
aparte,aparteの
apis,api
arbol,arbolの
arbres,arbresの
archiepiscopal,archbishopの
archbishopric,archbishopの職
archdeaconry,archdeaconの任期
arisen,ariseの過去分詞形
armouries,armories
articulacy,articulateなこと
ashurst,ashurstの
asie,asieの
assignats,assignatの複数形
assuages,assuages​​が
atwell,atwellの
aurons,auronsの
aussicht,aussichtの
avantage,avantageは
avec,avecの
averring,averringが
awoken,awakeの過去分詞
awoke,awakeの過去形
ayesha,ayeshaさん
ayes,aはい
babblers,babblersは
backpedalled,backpedaled
backpedalling,backpedaling
bagley,bagleyの
barby,barbyの
barneveld,barneveldの
barres,barresに
bash,bashの
batmen,batmanの複数形
batsmen,batsmanの複数形
beaus,beauの複数形
beeves,beefの複数形
befallen,befallの過去分詞形
befell,befallの過去形
befinden,befin​​den
befindet,befin​​det
begot,begetの過去・過去分詞形
begotten,begetの過去分詞形
begat,begetの過去形
begirt,begirdの過去・過去分詞
beheld,beholdの過去過去分詞
behooves,behoofの複数形
behoves,behoofの複数形
belford,belfordの
belge,belge製
belli,belliの
belloni,belloniは
beppo,beppoの
berge,bergeの
berts,bert
bespake,bespeakの過去形
bestaande,bestaan​​de
betook,betakeの過去形
bethought,bethinkの過去・過去分詞形
bidden,bidの過去分詞形
bipeds,biped
episcopate,bishopの地位
blairs,blairsの
bleich,bleich氏
blent,blendの過去・過去分詞形
bleue,bleueの
bleus,bleusの
bmus,bmu
bodys,bodysの
bogeymen,bogeymanの複数形
boileau,boileauの
bondmen,bondmanの複数形
bordet,bordetおよび
bornes,bornesの
boswells,boswellsの
boulet,bouletさん
bourgeoise,bourgeoisieの女性形
boylan,boylanの
bracciolini,braccioliniの
braccia,braccioの複数形
brach,brachの
brande,brandeの
breathalysed,breathalyzed
brede,bredeの
brung,bringの過去・過去分詞
browbeaten,browbeatの過去分詞形
brutalised,brutalized
brutalising,brutalizing
bruyere,bruyereの
budgie,budgieに
bumpier,bumpierに
bunkum,bunkumが
busmen,busmanの複数形
ça,ca
cabeza,cabezaの
cabmen,cabmanの複数形
candelabra,candelabrumの複数形
cannings,cannings氏
canst,canの二人称・単数・現在形
couldst,canの二人称単数・直説法・過去形
cardross,cardrossの
catchier,catchyの比較級
ca¦sar,ca|sar
ca©tait,ca©テイト
cevennes,cevennesの
chaine,chain​​e
chairwomen,chairwomanの複数形
chancellorship,chancellorの任期
chaplaincy,chaplainの職
charioteer,chariotの御者
charlemagnes,charlema​​gnes
choix,choixの
chomped,chompさ
chomps,chompし
choses,chosesが
chunkier,chunkierの
churchmen,churchmanの複数形
ci,ciの
clansmen,clansmanの複数形
cloven,cleaveの過去分詞形
clept,clepeの過去・過去分詞
cleves,clevesの
clung,clingの過去・過去分詞形
clorinda,clorindaの
cn,cnは
cochon,cochonの
codices,codexの複数
cognoscenti,cognoscenteの複数形
comites,comesの複数形
connexions,connexionsの
convulses,convul​​ses
coram,coramの
cordeliers,cordeliersの
couldnt,couldntの
countrywomen,countrywomanの複数形
coxs,coxを
cosier,cozier
cuire,cuireの
cuir,cuirアンリークイール
curatorial,curatorの
curial,curialも
curst,curseの過去・過去分詞形
deadend,deadendが
deanery,deanの権威
decriminalising,decriminalizing
delphiniums,delphiniumの複数形
deputised,deputized
deputising,deputizing
desiderata,desideratumの複数形
despua©s,despua©秒
dicta,dictumの複数形
didna,did notの縮約形
didnt,didntの
didn,didnの
dieses,diesisの複数形
dints,dint
directorial,directorの
disgracefully,disgr​​acefully
disgraces,disgr​​aces
disgracing,disgr​​acing
divinest,divinestが
dinna,do notの縮約形
doesnt,doesntの
doin,doinの
dois,doiを
dorpen,dorpenの
dovecot,dovecotの
doeth,doの3人称単数形
doest,doの主語がthouの時の直説法・現在形
didst,doの二人称単数
drachmas,drachmaの複数形
drams,dramの
draughtsmen,draughtsma​​nの複数形
drest,dressの過去・過去分詞形
drools,droolsの
dropt,dropの過去・過去分詞形
drunker,drunkerを
dryeyed,dryeyedが
duelled,dueled
dustmen,dustmanの複数形
dwelt,dwellの過去・過去分詞形
ea»t,ea»トン
ebbs,ebbsの
ecus,ecu
edens,edensに
effluvia,effluviumの複数形
eglise,egliseの
egremont,egremontの
einbildungskraft,einbildungs​​kraft
elend,elendの
eller,ellerの
emphases,emphasisの複数形
encyc,encycです
enemys,enemysに
englishwomen,englishwomanの複数形
entendre,entender
epiphenomena,epiphenomenonの複数形
errington,erringtonの
erzaehlen,erza​​ehlen
erzaehlt,erza​​ehlt
erzaehlte,erza​​ehlte
erzahlen,erza​​hlen
erzahlt,erza​​hlt
erzahlte,erza​​hlte
escalier,escalierの
esquimaux,esquimauの複数形
est,est（東部基準時
etain,etainの
ethels,ethelsが
eulogising,eulogizing
evas,eva
eveque,evequeの
everyones,everyonesの
evje,evjeの
excepts,exceptsで
exes,exeファイル
exhorted,exhortedを
eyen,eyeの複数形
eysvogel,eysvog​​el
email,eメール
fabrik,fabrikは
facta,factumの複数形
fadrique,fadriqueの
faggots,fagots
fait,faitが
famiglia,famigliaの
familys,familysの
fanes,fanesの
favoris,favorisこの
faxed,fax送信
fa»t,fa»トン
feds,fbi捜査官
fibs,fib
fi,fiの
flambeaux,flambeauの複数形
flatters,flattersを
florentin,florentinの
foemen,foemanの複数形
folles,follisの複数形
forborne,forbearの過去分詞形
forbore,forbearの過去形
forbade,forbidの過去形
força,forca
forgave,forgiveの過去形
forsook,forsakeの過去形
forsworn,forswearの過去分詞形
fourcy,fourcyの
freedmen,freedmanの複数形
fulvia,fulviaで
gaen,gaeの過去分詞
gamesmen,gamesmanの複数形
gan,gan系
gassiest,gass​​iest
gawk,gawkは
gazon,gazonの
gelsomina,gelsominaの
gentes,gensの複数形
gentil,gentilの
gentlewomen,gentlewomanの複数形
gianluca,gianlucaさん
git,gitリポジトリ
glacis,glacisの
gloire,gloireが
giu,gluの
goatees,goateesが
godefroid,gode​​froid
gør,gor
goulds,gouldsの
goeth,goの三人称単数現在形
goest,goの二人称単数現在形
grails,grailsの
greyer,grayer
greate,greateの
gus,gusの
habra,habraの
halfpence,halfpenceの複数形
halloway,hallowayが
havent,haventは
hadst,haveの二人称単数・過去形
hazlewood,hazlewoodの
headmen,headmanの複数形
hearties,heartiesは
heen,heenさん
helas,helasさん
helden,heldenの
henchmen,henchmanの複数形
hermoso,hermosoの
herrin,herrinの
hideux,hideuxの
highwaymen,highwaymanの複数形
hippopotami,hippopotamusの複数形
hiver,hiverの
hombres,hombresが
hoofdstad,hoofdstadが
hoor,hoorの
horizontals,horizo​​ntals
ides,ide
iis,iisの
ingenio,ingenioの
inne,inneの
int,int型
ir,ir情報
isole,isoleの
isps,isp
ith,i番目
japans,japansの
jerrys,jerrysは
jeux,jeuの複数形
jokin,jokinが
jove,joveの
joyeuse,joyeuseの
jubilees,jubileesに
jurymen,jurymanの複数形
kapelle,kapelleの
kennon,kennonの
kindles,kindleは
klok,klokの
knelt,kneelの過去・過去分詞形
korb,korbに
korte,korteの
konige,königeの
lavoir,lavoirに
lawmen,lawmanの複数形
leant,leanの過去・過去分詞形
leapt,leapの過去・過去分詞形
leons,leonsの
leges,lexの複数形
lhorizon,lhorizo​​n
libri,liberの複数形
libretti,librettoの複数形
lifeboatmen,lifeboatmanの複数形
liftmen,liftmanの複数形
limites,limesの複数形
linemen,linemanの複数形
linesmen,linesmanの複数形
linnet,linnetが
lisps,lisp
lissomness,lissomne​​ss
loaves,loafの複数形
lonelier,lonelierが
longs,long型
loopt,looptの
lors,lor
lous,lou
lousteau,loust​​eau
lus,lu
lumbermen,lumbermanの複数形
lures,lurの複数形
lutte,lutteの
machten,machtenと
mesdames,madameの複数形
mafiosi,mafiosoの複数形
mailmen,mailmanの複数形
