English,Other
aback,atgalios
abacus,skaitytuvai
abaft,laivagalyje
abalone,jūrinė ausinukė
abandon,palikti
abandoned,apleistas
abandoning,atsisakyti
abandonment,atsisakymas
abandons,apleidžiami
abase,nužeminti
abased,pažemintas
abasement,pažeminimas
abash,sukonfūzyti
abashed,sukonfūzytas
abate,sumažinti
abated,utena
abatement,mažinimas
abating,lėtėja
abattoir,skerdykla
abattoirs,skerdyklos
abbas,m.abbasas
abbe,kunigas
abbess,abatė
abbeville,blankas
abbey,abatija
abbeys,vienuolynai
abbot,abatas
abbreviate,sutrumpinti
abbreviated,sutrumpintai
abbreviation,santrumpa
abbreviations,santrumpos
abc,abėcėlė
abdicate,atsisakyti
abdicated,atsižadėjo sosto
abdicating,neužkraudami
abdication,išsižadėjimas
abdomen,pilvas
abdominal,pilvo
abduct,pagrobti
abducted,pagrobtas
abducting,pagrobęs
abduction,abdukcija
abductions,pagrobimai
abductor,pagrobėjas
abductors,atitraukėjų
abeam,traversu
abed,lova
aberrant,nenormalus
aberration,aberacija
aberrations,aberacijos
abet,kurstyti
abets,bendrininkas
abetted,kurstė
abetting,bendrininkavimas
abeyance,laikinas sustabdymas
abhor,neapkęsti
abhorred,bjaurėjosi
abhorrence,pasibjaurėjimas
abhorrent,nekenčiamas
abhors,bjaurisi
abiathar,abjataraskunigai
abide,tvirtai laikytis
abided,laikėsi
abides,laikosi
abideth,pasilieka
abiding,patvarus
abigail,abigailė
abijah,abija
abilities,gebėjimai
ability,gebėjimas
abimelech,abimelechas
abject,apgailėtinas
abjectly,apgailėtinai
abjuration,išsižadėjimas
abjure,išsižadėti
abjured,neigė
ablate,amputuoti
ablation,pašalinimas
ablative,įnagininko
ablaze,liepsnojantis
able,pajėgus
ablebodied,darbingi
abloom,sužydęs
ablution,abliucija
ablutions,protu
ably,sumaniai
abnegation,paneigimas
abner,abneras
abnormal,nenormalus
abnormalities,anomalijos
abnormality,anomalija
abnormally,neįprastai
aboard,laive
abode,buveinė
abodes,supresyvius
abolish,panaikinti
abolished,panaikino
abolishes,panaikina
abolishing,panaikinant
abolition,panaikinimas
abolitionist,panaikinimo šalininkas
abolitionists,abolicionistai
abominable,bjaurus
abominably,bjauriai
abominate,bjaurėtis
abomination,pasibjaurėjimas
abominations,bjaurystes
aboriginal,aborigenas
aborigines,čiabuviai
abort,nutraukti
aborted,nutrauktas
aborting,nutraukiu
abortion,abortas
abortionist,abortų
abortionists,aborcji
abortions,abortai
abortive,neišsiplėtojęs
aborts,nutraukia
abound,gausu
abounded,gausu
abounding,pertekęs
abounds,gausu
about,apie
above,aukščiau
abraded,šlifuojami
abraham,abraomas
abram,abramas
abrasion,trinčiai
abrasions,įbrėžimai
abrasive,abrazyvinis
abrasiveness,abrazyvinių
abrasives,abrazyvai
abreast,greta
abridge,sutrumpinti
abridged,sutrumpintas
abridgement,konspektas
abridgment,sutraukimas
abroad,užsienyje
abrogate,panaikinti
abrogated,panaikintas
abrogating,panaikinančius
abrogation,panaikinimas
abrupt,staigus
abruptly,staiga
abruptness,staigumas
absalom,abšalomas
abscess,abscesas
abscesses,abscesai
abscissa,abscisė
abscissae,abscisių ašyje
abscond,pasislėpti
absconded,slapstosi
absconder,asmuo paslėpti
absconding,nepasislėptų
absconds,slapstosi
abseil,nusileisti virve
abseiling,alpinizmas
absence,nebuvimas
absences,nebuvimas
absent,nėra
absentee,neatvykęs
absenteeism,praleidinėjimas
absentees,nedalyvaujantys
absenting,nedalyvavusiais
absently,neatidžiai
absentminded,bezpamiętny
absentmindedness,išsiblaškymas
absinthe,absentas
absolute,absoliutus
absolutely,visiškai
absoluteness,absoliutumas
absolutes,absoliutai
absolution,išrišimas
absolutism,absoliutizmas
absolve,atleisti
absolved,atleidžiamas
absolves,atleidžia
absolving,atleisdami
absorb,absorbuoti
absorbe,absorbavimui
absorbed,absorbuojamas
absorbency,dengimas
absorbent,absorbentas
absorber,absorberis
absorbers,amortizatoriai
absorbing,absorbuojantis
absorbs,sugeria
absorption,absorbcija
absorptions,absorbcijos
absorptive,sugeriantis
absorptivity,suvartoti
abstain,susilaikyti
abstained,susilaikė
abstainer,abstinentas
abstainers,abstinentais
abstaining,susilaikant
abstains,susilaiko
abstemious,saikingas
abstemiously,susilaikyti
abstemiousness,susilaikymas
abstention,susilaikymas
abstentions,susilaikiusių
abstinence,abstinencija
abstinent,blaivus
abstract,abstraktus
abstracted,užsisvajojęs
abstractedly,abstrakčiai
abstracting,atsiribotų
abstraction,abstrakcija
abstractions,abstrakcijos
abstractly,abstrakčiai
abstracts,santraukos
abstruse,painus
absurd,absurdas
absurdist,absurdo
absurdities,ambaje
absurdity,absurdas
absurdly,absurdiškai
abundance,gausa
abundances,gausos
abundant,gausus
abundantly,gausiai
abus,autobusas
abuse,piktnaudžiavimas
abused,piktnaudžiaujama
abuser,prievartautojas
abusers,prievartautojai
