English,Other
aa,usa
aarti,phodi
aback,nakurat
abandon,sa pagbiya
abandoned,mibiya
abandoning,pagsalikway
abandonment,pagbiya
abandons,mobiya
abase,ipaubos
abased,pagkinabuhi nga makalolooy
abasement,pagpaubos
abasing,nagpaubos sa
abate,paghubas
abated,miagi na
abatement,pagkunhod
abattoir,ihawan
abbots,ka abbots
abbreviate,mub-on
abbreviated,mub-on
abbreviates,mub-on
abbreviating,mub-on
abbreviation,pinamubo
abbreviations,pinamubo
abdication,pagkanaog sa gahom
abdomen,tiyan
abdomens,tiyan
abdomina,tiyan
abdominal,sa tiyan
abduct,pagdagit
abducted,gidagit
abductees,nga gindukot
abducting,nga pagdagit
abduction,pagdagit
abductions,pagkuot
abductors,gidagit
aberrations,mong mahitabo
abhor,magdumot
abhorred,gidumtan
abhorrence,pagkasilag
abhorrent,makaluod
abhorring,dumtan ninyo ang
abhors,nagdumot sa
abide,pabilin
abided,magkatugbang nga pito
abides,nagpabilin
abiding,sa pagsunod
abilities,abilidad
ability,abilidad
abject,tumang
abjects,talamayon
ablaze,nagdilaab
able,makahimo
abled,lihok
abler,makahimo
ablest,labing maayo nga
ablutions,paghugas
ably,makahimo sa
abnormalities,abnormalidad
aboard,sakay
abode,nagpuyo
abodes,nga puloy-anan
abolish,molaglag sa
abolished,mangawagtang
abolishes,wagtangon
abolishing,magwagtang sa
abolishment,nga pagkalaglag
abolition,pagwagtang
abominable,dulumtanan
abominated,lubay
abomination,dulumtanan
abominations,mga dulumtanan
aborigine,lumad
aborigines,aborigine
abort,makahunong
aborted,mapuo
abortion,aborsyon
abortions,pagpakuha
abound,modagaya
abounded,midagaya
abounding,puno
abounds,puno
about,mahitungod sa
above,sa ibabaw
abram,si abram
abreast,nga istilo
abridge,momubo sa
abridged,minubo nga
abridgers,tigpamubo
abridges,mimubo
abridging,gimubo
abridgment,minubo
abroad,sa gawas sa nasud
abrogate,pagbakwi
abrogated,napala
abrogation,pagbasura
abrupt,kalit
abruptly,kalit
abscess,nana
abscesses,nana
abscissa,handaganós
abscond,ang bandang abscond
absence,wala
absences,pagpalta sa tra
absent,wala
absolute,hingpit
absolutely,hingpit nga
absolutes,nga mga kamatuoran
absolution,ug pagpasaylo
absolve,abswelto
absolved,abswelto
absorb,mosunop
absorbed,masuhop
absorbers,mosuyop
absorbing,mosunop
absorbs,mosuhop
absorption,pagsuyup
abstain,paglikay
abstained,nagapahilayo
abstaining,paglikay
abstains,magkaon
abstention,paglikay
abstinence,nga paglikay
abstract,sa hunahuna lang
abstractly,sa tiningob
abstracts,mga abstrak
absurd,kalataw-anan
absurder,kalataw-anan
absurdest,kalataw-anan
absurdity,makataronganon
abundance,kadagaya
abundances,gidaghanon
abundant,daghan
abundantly,sa madagayaon gayud
abuse,pag-abuso
abused,-abuso sa
abuser,nang-abuso
abusers,mapatuyangon
abuses,abuso
abusing,abuso
abusive,abusado
abusively,mapasipalahon
abuzz,ubang dapit
aby,aron
abyss,bung-aw
acacia,kahoy nga acacia
acacias,akasya
academes,mga tunghaan ang
academic,akademiko
academicians,akademiko
academics,akademik
academies,akademiya
academy,akademya
acai,açaí
accede,mosugot
acceded,misanong
accelerate,pagpadali
accelerated,paspasan
accelerates,paspasan
accelerating,paspasan
acceleration,katulin
accelerations,katulin
accelerator,gasolinador
accelerators,gasolinador
accent,punto sa paglitok
accents,paglitok
accept,modawat
acceptability,madawat
acceptable,nahamut-an
acceptably,sa dalawatong paagi
acceptance,pagdawat
acceptances,pagdawat
acceptation,pagadawaton
accepted,gidawat
accepting,pagdawat
accepts,midawat
access,paagi sa pagduol o pagsulod
accessed,naablihan
accesses,paagi sa pagduol o pagsulod
accessible,sayon duolan o adtoan
accessing,maka-access sa
accession,paglingkod sa trono
