639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s),Scripts
aa,aar,,aar,,Afar,Individual,Living,Qafaraf; ’Afar Af; Afaraf; Qafar af,,Latn
ab,abk,,abk,,Abkhazian,Individual,Living,Аҧсуа бызшәа Aƥsua bızšwa; Аҧсшәа Aƥsua,Abkhaz,Cyrl
,ace,,ace,,Achinese,Individual,Living,بهسا اچيه,Acehnese,Latn
,ach,,ach,,Acoli,Individual,Living,Lwo,Acholi,Latn
,ada,,ada,,Adangme,Individual,Living,Dangme,Dangme,Latn
,ady,,ady,,Adyghe; Adygei,Individual,Living,Адыгабзэ; Кӏахыбзэ,West Circassian,Cyrl
,afa,,,afa,Afro-Asiatic languages,Collective,,,,
,afh,,afh,,Afrihili,Individual,Constructed,El-Afrihili,,
af,afr,,afr,,Afrikaans,Individual,Living,Afrikaans,,Latn
,ain,,ain,,Ainu,Individual,Living,アイヌ・イタㇰ Ainu-itak,,Kana Latn
ak,aka,,aka,,Akan,Macrolanguage,Living,Akan,,Latn
,akk,,akk,,Akkadian,Individual,Ancient,𒀝𒅗𒁺𒌑,,Xsux
,ale,,ale,,Aleut,Individual,Living,Уна́ӈам тунуу́; Унаӈан умсуу,,Latn
,alg,,,alg,Algonquian languages,Collective,,,,
,alt,,alt,,Southern Altai,Individual,Living,Алтай тили,,Cyrl
am,amh,,amh,,Amharic,Individual,Living,አማርኛ Amârıñâ,,Ethi
,ang,,ang,,"English, Old (ca.450-1100)",Individual,Historical,Ænglisc; Anglisc; Englisc,,Latn
,anp,,anp,,Angika,Individual,Living,,,Deva
,apa,,,apa,Apache languages,Collective,,,Southern Athabaskan languages,
ar,ara,,ara,,Arabic,Macrolanguage,Living,العَرَبِيَّة al'Arabiyyeẗ,,Arab Syrc
,arc,,arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),Individual,Ancient,,,Armi Nbat Palm
an,arg,,arg,,Aragonese,Individual,Living,aragonés,,Latn
,arn,,arn,,Mapudungun; Mapuche,Individual,Living,,,Latn
,arp,,arp,,Arapaho,Individual,Living,Hinónoʼeitíít,,Latn
,art,,,art,Artificial languages,Collective,,,,
,arw,,arw,,Arawak,Individual,Living,Lokono,Lokono,Latn
as,asm,,asm,,Assamese,Individual,Living,অসমীয়া,,Beng
,ast,,ast,,Asturian; Bable; Leonese; Asturleonese,Individual,Living,Asturianu,,Latn
,ath,,,ath,Athapascan languages,Collective,,,Athabaskan languages,
,aus,,,aus,Australian languages,Collective,,,,
av,ava,,ava,,Avaric,Individual,Living,Магӏарул мацӏ; Авар мацӏ,Avar,Cyrl
ae,ave,,ave,,Avestan,Individual,Ancient,,,Avst
,awa,,awa,,Awadhi,Individual,Living,अवधी,,Deva
ay,aym,,aym,,Aymara,Macrolanguage,Living,Aymar aru,,Latn
az,aze,,aze,,Azerbaijani,Macrolanguage,Living,Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили,,Arab Cyrl Latn
,bad,,,bad,Banda languages,Collective,,,,
,bai,,,bai,Bamileke languages,Collective,,Bamiléké,,
ba,bak,,bak,,Bashkir,Individual,Living,Башҡорт теле; Başqort tele,,Cyrl
,bal,,bal,,Baluchi,Macrolanguage,Living,بلوچی,Balochi,Arab Latn
bm,bam,,bam,,Bambara,Individual,Living,ߓߊߡߊߣߊߣߞߊߣ,,Latn Nkoo
,ban,,ban,,Balinese,Individual,Living,ᬪᬵᬱᬩᬮᬶ; ᬩᬲᬩᬮᬶ; Basa Bali,,Bali Latn
,bas,,bas,,Basa,Individual,Living,Mbene; Ɓasaá,Basaa,Latn
,bat,,,bat,Baltic languages,Collective,,,,
,bej,,bej,,Beja; Bedawiyet,Individual,Living,Bidhaawyeet,,Arab
be,bel,,bel,,Belarusian,Individual,Living,Беларуская мова Belaruskaâ mova,,Cyrl
,bem,,bem,,Bemba,Individual,Living,Chibemba,,Latn
bn,ben,,ben,,Bengali,Individual,Living,বাংলা Bāŋlā,,Beng
,ber,,,ber,Berber languages,Collective,,Tamaziɣt; Tamazight; ⵜⴰⵎⴰⵣⵉⵖⵜ; ⵝⴰⵎⴰⵣⵉⵗⵝ; ⵜⴰⵎⴰⵣⵉⵗⵜ,Amazigh languages,
,bho,,bho,,Bhojpuri,Individual,Living,भोजपुरी,,Deva
bh,bih,,,bih,Bihari languages,Collective,,,,
,bik,,bik,,Bikol,Macrolanguage,Living,,,Latn
,bin,,bin,,Bini; Edo,Individual,Living,Ẹ̀dó,,Latn
bi,bis,,bis,,Bislama,Individual,Living,,,Latn
,bla,,bla,,Siksika,Individual,Living,ᓱᖽᐧᖿ,Blackfoot,Latn
,bnt,,,bnt,Bantu languages,Collective,,,,
bo,bod,tib,bod,,Tibetan,Individual,Living,བོད་སྐད་ Bodskad; ལྷ་སའི་སྐད་ Lhas'iskad,,Tibt
bs,bos,,bos,,Bosnian,Individual,Living,bosanski,,Cyrl Latn
,bra,,bra,,Braj,Individual,Living,,Braj Bhāshā,Deva
br,bre,,bre,,Breton,Individual,Living,Brezhoneg,,Latn
,btk,,,btk,Batak languages,Collective,,,,
,bua,,bua,,Buriat,Macrolanguage,Living,буряад хэлэн,Buryat,Cyrl
,bug,,bug,,Buginese,Individual,Living,ᨅᨔ ᨕᨘᨁᨗ,,Bugi Latn
bg,bul,,bul,,Bulgarian,Individual,Living,български език bălgarski ezik,,Cyrl
,byn,,byn,,Blin; Bilin,Individual,Living,ብሊና; ብሊን,Bilen,Ethi
,cad,,cad,,Caddo,Individual,Living,Hasí:nay,,Latn
,cai,,,cai,Central American Indian languages,Collective,,,,
,car,,car,,Galibi Carib,Individual,Living,Kari'nja,Carib,Latn
ca,cat,,cat,,Catalan; Valencian,Individual,Living,català,,Latn
,cau,,,cau,Caucasian languages,Collective,,,,
,ceb,,ceb,,Cebuano,Individual,Living,Sinugbuanong Binisayâ,,Latn
,cel,,,cel,Celtic languages,Collective,,,,
cs,ces,cze,ces,,Czech,Individual,Living,čeština; český jazyk,,Latn
ch,cha,,cha,,Chamorro,Individual,Living,Finu' Chamoru,,Latn
,chb,,chb,,Chibcha,Individual,Extinct,Muysccubun,,
