639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s)
aa,aar,,aar,,Afar,Individual,Living,Qafaraf; ’Afar Af; Afaraf; Qafar af,
ab,abk,,abk,,Abkhazian,Individual,Living,Аҧсуа бызшәа Aƥsua bızšwa; Аҧсшәа Aƥsua,Abkhaz
,ace,,ace,,Achinese,Individual,Living,بهسا اچيه,Acehnese
,ach,,ach,,Acoli,Individual,Living,Lwo,Acholi
,ada,,ada,,Adangme,Individual,Living,Dangme,Dangme
,ady,,ady,,Adyghe; Adygei,Individual,Living,Адыгабзэ; Кӏахыбзэ,West Circassian
,afa,,,afa,Afro-Asiatic languages,Collective,,,
,afh,,afh,,Afrihili,Individual,Constructed,El-Afrihili,
af,afr,,afr,,Afrikaans,Individual,Living,Afrikaans,
,ain,,ain,,Ainu,Individual,Living,アイヌ・イタㇰ Ainu-itak,
ak,aka,,aka,,Akan,Macrolanguage,Living,Akan,
,akk,,akk,,Akkadian,Individual,Ancient,𒀝𒅗𒁺𒌑,
,ale,,ale,,Aleut,Individual,Living,Уна́ӈам тунуу́; Унаӈан умсуу,
,alg,,,alg,Algonquian languages,Collective,,,
,alt,,alt,,Southern Altai,Individual,Living,Алтай тили,
am,amh,,amh,,Amharic,Individual,Living,አማርኛ Amârıñâ,
,ang,,ang,,"English, Old (ca.450-1100)",Individual,Historical,Ænglisc; Anglisc; Englisc,
,anp,,anp,,Angika,Individual,Living,,
,apa,,,apa,Apache languages,Collective,,,Southern Athabaskan languages
ar,ara,,ara,,Arabic,Macrolanguage,Living,العَرَبِيَّة al'Arabiyyeẗ,
,arc,,arc,,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),Individual,Ancient,,
an,arg,,arg,,Aragonese,Individual,Living,aragonés,
,arn,,arn,,Mapudungun; Mapuche,Individual,Living,,
,arp,,arp,,Arapaho,Individual,Living,Hinónoʼeitíít,
,art,,,art,Artificial languages,Collective,,,
,arw,,arw,,Arawak,Individual,Living,Lokono,Lokono
as,asm,,asm,,Assamese,Individual,Living,অসমীয়া,
,ast,,ast,,Asturian; Bable; Leonese; Asturleonese,Individual,Living,Asturianu,
,ath,,,ath,Athapascan languages,Collective,,,Athabaskan languages
,aus,,,aus,Australian languages,Collective,,,
av,ava,,ava,,Avaric,Individual,Living,Магӏарул мацӏ; Авар мацӏ,Avar
ae,ave,,ave,,Avestan,Individual,Ancient,,
